layer,dataset_path,domain,description,attestation_status
S5,ayurveda/virya.csv,nature,Vīrya (potency),inferred_coherent
S5,ayurveda/vipaka.csv,nature,Vipāka (post-digestive),inferred_coherent
S5,ayurveda/sapta_dhatu.csv,nature,Seven dhātus (tissues),inferred_coherent
S5,ayurveda/herb_spine_108.csv,nature,108 key herbs,inferred_coherent
S5,ayurveda/herb_exemplars.csv,nature,Herb exemplars,inferred_coherent
S5,ayurveda/amidha_herbs.csv,nature,Amidha herb formulations,inferred_coherent
S5,ayurveda/dinacharya_panchanga.csv,nature,Dinacharya daily routine rules,inferred_coherent
S5,ayurveda/dosha_nakshatra_matrix.csv,nature,Dosha-nakshatra matrix,inferred_coherent
S5,ayurveda/coherence_rules.csv,nature,Āyurveda coherence rules,inferred_coherent
S5,plants/nakshatra_plants.csv,nature,Nakshatra plant correspondences,inferred_coherent
S5,plants/nakshatra_agriculture.csv,nature,Nakshatra agriculture timing,inferred_coherent
S5,plants/sacred_plants.csv,nature,Sacred plant correspondences,inferred_coherent
S5,yoga/marma_master.csv,nature,Marma master points,inferred_coherent
S5,yoga/nakshatra_body_map.csv,nature,Nakshatra body map,inferred_coherent
S5,yoga/asana_core.csv,nature,Asana core dataset,inferred_coherent
S5,yoga/pranayama_core.csv,nature,Pranayama core dataset,inferred_coherent
S5,ratna/graha_gems.csv,nature,Graha gemstone prescriptions,inferred_coherent
S6,semantics/vedic_arts_semantic_layer.csv,lila,64 Vedic arts semantic layer,inferred_coherent
S6,cosmology/vedic_arts_64.csv,lila,64 Vedic arts,inferred_coherent
S6,ritual/plant_ritual.csv,lila,Plant ritual correspondences,inferred_coherent
S6,ritual/vaishnava_calendar.csv,lila,Vaishnava festival calendar,inferred_coherent
S6,compositions/gaudiya_compositions.csv,lila,Gauḍīya compositions,inferred_coherent
S6,compositions/nakshatra_kritis.csv,lila,Nakshatra kṛti assignments,inferred_coherent
S6,compositions/narottama_padas.csv,lila,Narottama Dāsa padas,inferred_coherent
S6,cosmology/goloka_topology.csv,lila,Goloka topology,inferred_coherent
S6,cosmology/ashtakala.csv,lila,Aṣṭakāla daily program,inferred_coherent
S6,cosmology/vraja_forests.csv,lila,12 Vraja forests,inferred_coherent
S6,cosmology/gaudiya_festivals.csv,lila,Gauḍīya festival calendar,inferred_coherent
S6,cosmology/daily_program.csv,lila,Daily program schedule,inferred_coherent
