species_id,common_name,medicine_quality,contrary_quality,medicine_direction,dosha_primary,guna_primary,graha_resonance,nakshatra_association,vedic_deity_parallel,vedic_vahana_for,convergence_notes,confidence_score,attestation
mc_21,Owl,Deception — seeing through illusion,Living in illusion — unwilling to see truth,West,Vata,Tamas,Rahu-Saturn,Bharani,Lakshmi (alternate) / Yama,Lakshmi (alternate tradition) / Nirriti,Owl = Lakshmi's night vahana in certain traditions; Rahu-Saturn = seeing through material illusion; Bharani = Yama's gateway; owl as death-omen in Shakuna Shastra,0.83,SYNTHESIS
mc_22,Beaver,Builder — dream made real,Workaholic obsession — no play,Center,Kapha,Rajas,Saturn-Mercury,Vishakha,Vishvakarma — divine architect,None,Beaver as builder-dam-maker = Vishvakarma the cosmic architect; Saturn = disciplined construction; Mercury = clever engineering; Vishakha = the forked road of purposeful action,0.76,SYNTHESIS
mc_23,Opossum,Strategy — playing dead to outwit enemy,Overusing drama — crying wolf,West,Vata-Kapha,Tamas,Rahu-Saturn,Shatabhisha,Maya — the great illusionist,None,Opossum = death-feigning strategy = Maya the cosmic illusion-weaver; Rahu = master of disguise; Shatabhisha = the hundred healers hiding in plain sight,0.70,SYNTHESIS
mc_24,Crow,Sacred law — keeper of divine order,Being out of integrity — breaking sacred law,West,Vata-Saturn,Tamas,Saturn,Swati,Shani — lord of karma,Shani (crow vahana),Crow = Shani's vahana — most direct convergence; sacred law = dharma = Saturn's domain; Swati = independence within dharmic order; Kakatantra = crow wisdom,0.95,SYNTHESIS
mc_25,Fox,Camouflage — invisibility and cunning,Paranoia and excessive hiding,Center,Vata-Pitta,Tamas,Mercury-Rahu,Ardra,Narada (fox-like cunning),None,Fox cunning = Narada's tactical wisdom; Mercury-Rahu = clever disguise and hidden agendas; Ardra = disruptive intelligence cutting through pretense,0.69,SYNTHESIS
mc_26,Squirrel,Gathering — preparation for the future,Hoarding and inability to share,Center,Vata-Kapha,Rajas,Mercury-Saturn,Pushya,Ganesha — obstacle-preparer,None,Squirrel hoarding = preparation = Mercury-Saturn prudence; Pushya = nourishment storage; Ganesha removes obstacles by anticipating them,0.63,SYNTHESIS
mc_27,Dragonfly,Illusion — breaking illusions of the physical,Glamour addiction — lost in appearances,East,Vata,Rajas,Rahu-Venus,Chitra,Maya Devi / Mohini,None,Dragonfly = iridescent illusion-breaker = Mohini (Vishnu's illusion form); Rahu = compelling illusion; Chitra = dazzling light; Venus = beauty of form,0.74,SYNTHESIS
mc_28,Armadillo,Personal protection — boundaries,Hiding from life — over-armored,Center,Kapha,Tamas,Saturn-Mars,Uttara Bhadrapada,Kurma,None,Armadillo shell = armor = Kapha-Saturn; Kurma the cosmic tortoise-armor; Uttara Bhadrapada = deep protective withdrawal; boundary-setting as Saturn's gift,0.72,SYNTHESIS
mc_29,Badger,Aggressiveness — relentless pursuit,Relentless to the point of self-destruction,South,Pitta,Rajas,Mars-Ketu,Mula,Durga / Bhumi Devi,None,Badger = relentless digger = Mars-Ketu into root earth; Mula nakshatra = the root — digging to find truth; Durga as unstoppable force,0.66,SYNTHESIS
mc_30,Rabbit,Fear — facing fears leads to healing,Frozen by fear — self-fulfilling prophecy,West,Vata,Tamas,Moon-Ketu,Mrigashira,Chandra (moon-hare),Chandra (hare in moon),Rabbit = hare in the moon = Chandra's mark; Mrigashira = the deer-head = gentle fearful quality; Moon = fear and imagination; Ketu = releasing attachment to fear,0.91,SYNTHESIS
mc_31,Turkey,Give-away — generosity and sharing,Giving to feed ego — martyrdom,South,Kapha,Sattva,Jupiter,Uttara Phalguni,Lakshmi — goddess of abundance-given,None,Turkey as Thanksgiving giveaway = Jupiter's generosity; Uttara Phalguni = Aryaman's patronage and giving; Lakshmi's abundant bestowal,0.68,SYNTHESIS
mc_32,Ant,Patience and perseverance,Blind persistence — work without purpose,Center,Kapha,Rajas,Saturn,Uttara Phalguni,Vishvakarma — patient builder,None,Ant = disciplined collective labor = Saturn; Vishvakarma's patient construction; Uttara Phalguni = the fruits of sustained labor; Kapha patience,0.72,SYNTHESIS
mc_33,Weasel,Stealth — cunning perception,Sneakiness and betrayal,Center,Vata-Pitta,Tamas,Mercury-Rahu,Ashlesha,Naga (serpentine intelligence),None,Weasel's sinuous cunning = serpent energy = Ashlesha naga; Mercury-Rahu = stealth perception; cunning without malice vs. cunning with,0.65,SYNTHESIS
mc_34,Grouse,Sacred spiral — movement as prayer,Dizzy from spinning — losing center,Center,Vata-Kapha,Rajas,Moon-Saturn,Hasta,Shiva Nataraja — cosmic dance,None,Grouse's drumming spiral dance = Shiva's Tandava; sacred movement as cosmic ordering; Hasta = the hand of creation; Moon-Saturn = rhythm and structure,0.71,SYNTHESIS
mc_35,Horse,Power — freedom and travel,Power without responsibility,East,Pitta-Vata,Rajas,Sun-Mars,Ashvini,Hayagriva / Revanta,Revanta (son of Surya),Horse = Hayagriva (horse-faced Vishnu) = solar horse power; Ashvini = the divine horsemen healers; Sun-Mars freedom-power; Revanta the horse-riding solar deity,0.88,SYNTHESIS
mc_36,Lizard,Dreaming — the dream before the deed,Escaping into dreams to avoid action,West,Vata,Tamas,Ketu-Moon,Swati,Vishnu resting in Yoga Nidra,None,Lizard dreaming = Yoga Nidra = Vishnu sleeping on cosmic ocean; Ketu = dissolution into dream; Swati = independence in the invisible realms,0.67,SYNTHESIS
mc_37,Antelope,Action — knowledgeable action without hesitation,Scattered action — no focus,Center,Vata-Pitta,Rajas,Ketu-Mars,Krittika,Agni — swift decisive fire,None,Antelope = swift purposeful movement = Agni's speed; Krittika ruled by Agni; Ketu-Mars = decisive instant action; mriga/antelope in Vedic as symbol of swift spiritual pursuit,0.74,SYNTHESIS
mc_38,Frog,Cleansing — emotional clearing by rain,Inability to release — chronic grief,West,Kapha-Vata,Sattva,Moon-Jupiter,Uttara Bhadrapada,Varuna — lord of waters and cleansing,None,Frog = rain-caller = Varuna's domain; Moon rules water and emotion; Jupiter rules cleansing and grace; Uttara Bhadrapada = the cosmic ocean rains,0.77,SYNTHESIS
mc_39,Swan,Grace — acceptance of what is,Inability to accept impermanence,Center,Kapha,Sattva,Jupiter-Venus,Hasta,Brahma-Sarasvati,Brahma / Sarasvati (Hamsa vahana),Hamsa = swan = Brahma-Sarasvati's vahana = direct definitive Vedic convergence; grace = sattva; Jupiter-Venus = wisdom-beauty; Hasta = the creative hand,0.96,SYNTHESIS
mc_40,Dolphin,Breath — connected manna and breath of life,Forgetting to breathe — disconnected from spirit,Center,Vata-Kapha,Sattva,Moon-Jupiter,Revati,Varuna — lord of ocean,Makara vahana (Varuna's crocodile-dolphin),Makara = Varuna's sea creature = dolphin-crocodile hybrid; ocean breath = prana = Moon-Jupiter; Revati = the last star of the ocean,0.79,SYNTHESIS
mc_41,Whale,Record keeper — ancient memory of Earth,Lost in ancient memories — unable to act now,West,Kapha,Sattva,Saturn-Jupiter,Uttara Bhadrapada,Ananta-Shesha — the cosmic record,None,Whale = great deep record-keeper = Ananta Shesha who holds all knowledge; Saturn-Jupiter = ancient accumulated wisdom; Uttara Bhadrapada = cosmic serpent in deep waters,0.81,SYNTHESIS
mc_42,Bat,Rebirth — death and transformation of ego,Inability to let the old die,West,Vata,Tamas,Ketu-Rahu,Bharani,Yama — lord of transformation through death,None,Bat = darkness and rebirth = Ketu liberation; Bharani ruled by Yama; Rahu-Ketu axis = ego death; cave-dwelling = underworld journey,0.79,SYNTHESIS
mc_43,Spider,Weaving — creativity and the web of fate,Negative thoughts entrapping self,Center,Vata,Rajas,Mercury-Rahu,Chitra,Maya Devi / Brahma (weaver of creation),None,Spider's web = Maya's web of creation; Mercury-Rahu = clever construction of reality; Chitra = brilliant creative weaving; Brahma as cosmic weaver,0.78,SYNTHESIS
mc_44,Hummingbird,Joy — love in living,Inability to experience joy,East,Pitta-Vata,Sattva,Venus-Sun,Pushya,Kamadeva — lord of joy and beauty,None,Hummingbird = nectar-seeker = Kamadeva's bliss-arrows; Venus-Sun = love of radiance; Pushya = the nourishing bloom,0.72,SYNTHESIS
mc_45,Blue Heron,Self-reflection and self-determination,Over-introspection — self-absorption,Center,Vata-Kapha,Tamas,Saturn-Moon,Uttara Bhadrapada,Vishnu — the stillwater gazer,None,Heron's still-water contemplation = Vishnu in Yoga Nidra; Saturn-Moon = patient deep reflection; Uttara Bhadrapada = the cosmic stillness,0.71,SYNTHESIS
mc_46,Raccoon,Generosity — the generous protector,Hiding behind the mask — deception,Center,Vata-Pitta,Rajas,Mercury-Rahu,Swati,Narada — generous trickster,None,Raccoon's masked generosity = Narada's joyful disguised gifts; Mercury-Rahu = playful concealment; Swati = independence and giving from surplus,0.63,SYNTHESIS
mc_47,Prairie Dog,Retreat — strategic withdrawal,Permanent withdrawal — cutting off from life,West,Kapha-Vata,Tamas,Saturn-Ketu,Ashlesha,Kurma — the cosmic withdrawer,None,Prairie dog underground retreat = Kurma's withdrawal into shell; Saturn-Ketu = calculated retreat as strategy; Ashlesha = the underground serpent,0.64,SYNTHESIS
mc_48,Wild Boar,Confrontation — facing the truth,Aggressive over-confrontation,West,Pitta,Rajas,Mars-Ketu,Mula,Varaha — the boar avatar of Vishnu,None,Wild Boar = Varaha = direct avatar of Vishnu = highest convergence for confrontation-of-truth theme; Varaha dives into cosmic ocean to retrieve Earth-truth; Mula = root confrontation,0.93,SYNTHESIS
mc_49,Salmon,Wisdom — inner knowing and homecoming,Swimming upstream in the wrong direction,West,Vata-Kapha,Sattva,Jupiter-Moon,Revati,Matsya — the fish avatar of Vishnu,None,Salmon = Matsya avatar = fish returning to source = highest Vedic convergence; wisdom-homecoming = Revati the last star of return; Jupiter-Moon = wisdom of cycles,0.89,SYNTHESIS
mc_50,Thunderbird,Honoring ancestors — storm power and renewal,Losing the connection to ancestral wisdom,East,Pitta,Rajas,Jupiter-Sun-Indra,Vishakha,Indra — lord of thunder and storm,Airavata (Indra's elephant); Garuda (storm-eagle),Thunderbird = Garuda = storm-eagle = direct Vedic convergence; Indra's thunder = Vajra; Vishakha = the forked lightning; Jupiter-Sun = thunder-sovereignty,0.87,SYNTHESIS
mc_51,Corn_Snake,Patience in the hunt,Overwaiting and missing opportunity,Center,Pitta-Vata,Rajas,Ketu-Mars,Ashlesha,Naga (patient hunter),None,Corn snake = patient hunting naga; Ashlesha = naga nakshatra; Ketu-Mars = precise patient strike; Panchatantra snake as patient strategic force,0.74,SYNTHESIS
mc_52,Red_tailed_Hawk,Observation — elevated perspective,Arrogance from the heights,East,Pitta-Vata,Rajas,Sun-Mars,Hasta,Jatayu,None,Red-tailed hawk = Jatayu the hawk-eagle of Ramayana; solar observer; Sun-Mars = elevated martial perspective; Hasta = the grasping hand of hawk,0.78,SYNTHESIS
mc_53,Great_Horned_Owl,Night vision — seeing through darkness,Paralyzed by what one sees,West,Vata,Tamas,Rahu-Saturn,Bharani,Nirriti — goddess of darkness and dissolution,Lakshmi (alternate tradition),Great Horned Owl = Rahu-Saturn night seeing; Bharani = Yama's threshold; Nirriti the goddess of dissolution and night; deepest seeing in darkness,0.81,SYNTHESIS
mc_54,Monarch_Butterfly,Transformation through long journey,Restlessness without direction,East,Vata,Rajas,Venus-Rahu,Chitra,Mohini — the enchanting transformer,None,Monarch butterfly migration = transformative journey = Mohini's enchanting passage; Venus-Rahu = beautiful illusion in motion; Chitra = dazzling transformation,0.72,SYNTHESIS
mc_55,Black_Bear,Grounded introspection — winter hibernation wisdom,Isolation and refusal to emerge,West,Kapha,Tamas,Saturn-Moon,Uttara Phalguni,Bhumi Devi — the Earth mother in winter,None,Black bear hibernation = Saturn-Kapha withdrawal to earth; Bhumi Devi as the mother earth who holds all in winter; Uttara Phalguni = the resting place of Aryaman,0.73,SYNTHESIS
mc_56,River_Otter,Playful woman medicine,Jealousy of others' joy,East,Vata-Kapha,Sattva,Venus-Moon,Revati,Rati / Ganga,None,River otter = joyful waters = Ganga's playful currents; Venus-Moon = feminine water joy; Revati = the blessed last star of the river's mouth,0.70,SYNTHESIS
mc_57,Bison,Abundance through prayer — the great giveaway,Lack of gratitude leading to scarcity,West,Kapha,Sattva,Jupiter-Moon,Rohini,Nandi — sacred bovine abundance,Shiva (Nandi),Bison/Buffalo = Nandi = sacred bull of abundance; Rohini = Moon's exaltation = milky abundance; Jupiter-Moon = prayer bringing abundance; direct vahana convergence,0.88,SYNTHESIS
mc_58,Jaguar,Integrity and impeccability,Loss of integrity — corruption,South,Pitta,Rajas,Sun-Mars,Magha,Durga — fierce sovereign of jungle,Durga (lion=jaguar functional parallel),Jaguar = jungle sovereign = Durga's fierce domain; Sun-Mars = kingly fire; Magha = the throne of regal ancestors; lion and jaguar as functional equivalents,0.79,SYNTHESIS
mc_59,Puma,Leadership through service,Leadership for ego gratification,East,Pitta-Vata,Rajas,Sun-Saturn,Uttara Phalguni,Indra — servant-leader,None,Puma = mountain lion = Sun-Saturn servant-leader; Indra leading through service to cosmic order; Uttara Phalguni = Aryaman patron of noble service,0.74,SYNTHESIS
mc_60,Lynx_blank,Secrets — keeper of hidden knowledge,Paranoia and deception,North,Vata-Pitta,Tamas,Ketu-Saturn,Ashlesha,Dhumavati — the smoky veiled one,None,Blank card lynx = same as primary Lynx; Ketu-Saturn hidden knowledge; Ashlesha serpentine concealment; Dhumavati the veiled wisdom,0.69,SYNTHESIS
mc_61,Jaguar_blank,Impeccability — walking with power,Losing the sacred way,South,Pitta,Rajas,Sun-Ketu,Magha,Shiva as Mahakala — the impeccable,None,Blank Jaguar = impeccability of the predator without ego = Shiva as Mahakala walking in pure power; Sun-Ketu = solar force beyond ego; Magha = sovereign ancestral power,0.77,SYNTHESIS
