vahana_id,animal_common,animal_sanskrit,animal_iast,primary_deity,deity_domain,element,guna,dosha,graha_resonance,nakshatra_association,body_correspondence,symbolic_meaning,iconographic_notes,source_text,attestation
vah_14,Owl,Uluka,Ulūka,Lakshmi (certain traditions) / Nirriti,Hidden wealth and night wisdom,Ether-Air,Tamas,Vata,Rahu-Saturn,Bharani-Ashlesha,Night perception; pineal gland,Seeing wealth hidden in darkness — and destroying it through dissolution,Lakshmi's owl vahana in certain regional traditions; also associated with Nirriti and dark powers,Regional tradition; Lakshmi iconography variants,OBSERVED:TRADITIONAL
vah_15,Swan,Hamsa,Haṃsa,Brahma (primary),Creation and discrimination,Air-Ether,Sattva,Vata-Kapha,Jupiter,Hasta-Swati,Breath; prana cycle,Pure discriminating wisdom that separates milk from water,White swan; Brahma four-faced rides swan; shares vahana with Sarasvati; sohamsa breath-mantra,Brahma Vaivarta Purana,OBSERVED:TRADITIONAL
vah_16,Peacock,Mayura,Mayūra,Kartikeya (primary),Victory in battle over ignorance,Fire,Rajas,Pitta,Mars-Venus,Vishakha,Vision and iridescent awareness,Tramples serpents — destroys lower energies with beauty,Kartikeya (Skanda/Murugan) seated on peacock; peacock eats serpents symbolizing ego destruction,Skanda Purana,OBSERVED:TRADITIONAL
vah_17,Ram / Goat,Aja,Aja,Agni / Pushan,Sacred fire and pastoral paths,Fire,Rajas,Pitta,Mars-Sun,Krittika-Bharani,Digestive fire; solar plexus,Sacrificial fire power — the sacred flame made mobile,Ram or goat as Agni's vehicle; fire carries the sacrifice; Pushan as path-finder rides goat,Rigveda; Atharva Veda,OBSERVED:TRADITIONAL
vah_18,Dog,Shvan,Śvan,Bhairava / Dattatreya,Fierce guardianship and unconditional devotion,Earth-Fire,Rajas,Pitta-Kapha,Mars-Saturn,Jyeshtha-Mula,Root and threshold energy; instinct,Threshold guardian — fearless at the boundary of worlds,Bhairava always depicted with dog; Dattatreya with four dogs; dogs as boundary-keepers,Bhairava Tantra; Dattatreya tradition,OBSERVED:TRADITIONAL
vah_19,Jackal,Shrgala,Śṛgāla,Chamunda / Kali,Destruction and consuming of the dead,Earth,Tamas,Vata-Pitta,Rahu-Saturn,Mula-Jyeshtha,Root chakra; consuming and processing,Consuming impurity — the scavenger as sacred transformer,Chamunda rides a jackal; jackals associated with Kali's cremation ground,Devi Mahatmya; Chamunda iconography,OBSERVED:TRADITIONAL
vah_20,Cat,Marjara,Mārjāra,Shashthi,Birth protection and child welfare,Earth,Sattva,Kapha,Venus-Moon,Rohini-Ashvini,Womb and neonatal protection,Gentle guardian of the threshold of birth,Cat goddess Shashthi protects newborns; cat-vahana in Bengal tradition,Bengali folk tradition; Shashthi Purana,OBSERVED:TRADITIONAL
vah_21,Crocodile,Makara / Nakra,Nakra,Ganga,Sacred river and purification,Water,Tamas,Kapha,Saturn-Rahu,Uttara Bhadrapada,Deep abdominal organs; lymphatic,Ancient primordial water-power — the river as living force,Ganga depicted riding crocodile-makara; sometimes specific crocodile (nakra) distinguished from makara,Ganga stotra texts; Puranic tradition,OBSERVED:TRADITIONAL
vah_22,Fish,Matsya,Matsya,Varuna / Yamuna,Cosmic waters and legal order,Water,Sattva,Kapha,Jupiter-Moon,Uttara Bhadrapada-Revati,Reproductive organs; deep unconscious,Divine navigation through the deep — finding the sacred in the formless,Fish as symbol of Varuna's domain; Yamuna river associated with fish; Matsya avatar connection,Vishnu Purana (Matsya avatar); Varuna hymns,OBSERVED:TRADITIONAL
vah_23,Tortoise,Kurma,Kūrma,Vishnu / Yamuna,Cosmic foundation and preservation,Earth-Water,Sattva,Kapha,Saturn-Moon,Uttara Bhadrapada,Spine and cosmic foundation; dorsal protection,Cosmic support — bearing the weight of the world with stillness,Vishnu's Kurma avatar as cosmic tortoise bearing Mount Mandara during churning; Yamuna's vehicle,Bhagavata Purana; Vishnu Purana,OBSERVED:TRADITIONAL
vah_24,Cobra,Naga,Nāga,Shiva,Transformation and kundalini,Fire-Water,Rajas,Pitta-Kapha,Rahu-Ketu,Ashlesha,Spine and kundalini channel; nervous system,Transmuted desire — the coiled energy at the base of consciousness,Shiva wears cobra around neck; Vasuki as his ornament; cobra raised hood = awakened kundalini,Shiva Purana; Tantric texts,OBSERVED:TRADITIONAL
vah_25,Eagle Owl,Uluka,Ulūka,Varahi,Fierce tantric power and underground forces,Earth-Ether,Tamas,Vata-Kapha,Rahu-Saturn,Bharani,Occult vision; third eye in darkness,Fierce night vision — seeing through the deepest veils of maya,Varahi the boar-headed goddess rides eagle owl in some traditions; fierce tantric deity,Tantric tradition; Varahi worship,OBSERVED:TRADITIONAL
vah_26,Goat,Aja,Aja,Agni (primary) / Pushan,Fire sacrifice and pathfinding,Fire,Rajas,Pitta,Mars,Krittika,Solar plexus; digestive fire,The sacred pathway of the flame — guide through the forest of karma,Agni's vahana is the ram/goat; Pushan the path-finder deity uses goat,Rigveda 1.1; Atharva Veda,OBSERVED:TRADITIONAL
