emoji,unicode_name,varna,graha,element,layer,nakshatra,vastu_zone,rasa,dosha,notes,attestation
👩‍💼,woman office worker,vaishya,budha,air,S6,,north,,vata,office/executive – Mercury rules business and communicationhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,SYNTHESIS
👨‍✈️,man pilot,kshatriya,rahu,air,S6,,northwest,vira,pitta,pilot – aviation & fast-paced careers influenced by Rahuhttps://amesadass.com/rahu-related-profession/#:~:text=Top%20Rahu,SYNTHESIS
👩‍✈️,woman pilot,kshatriya,rahu,air,S6,,northwest,vira,pitta,pilot – aviation & fast-paced careers influenced by Rahuhttps://amesadass.com/rahu-related-profession/#:~:text=Top%20Rahu,SYNTHESIS
👨‍🚀,man astronaut,sannyasa,ketu,ether,S0,,up,adbhuta,vata,astronaut – space & mysticism governed by Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=2,SYNTHESIS
👩‍🚀,woman astronaut,sannyasa,ketu,ether,S0,,up,adbhuta,vata,astronaut – space & mysticism governed by Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=2,SYNTHESIS
👮,police officer,kshatriya,mangala,fire,S6,,south,vira,pitta,police – Mars rules police and defensehttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👮‍♀️,woman police officer,kshatriya,mangala,fire,S6,,south,vira,pitta,police – Mars rules police and defensehttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👷,construction worker,shudra,shani,earth,S6,,west,vira,pitta,construction – Saturn governs labor and buildinghttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👷‍♀️,woman construction worker,shudra,shani,earth,S6,,west,vira,pitta,construction – Saturn governs labor and buildinghttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
💂,guard/soldier,kshatriya,mangala,fire,S6,,south,vira,pitta,guard/soldier – Mars governs soldiers and defensehttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
💂‍♀️,woman guard/soldier,kshatriya,mangala,fire,S6,,south,vira,pitta,guard/soldier – Mars governs soldiers and defensehttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
🧙,wizard/mage,sannyasa,ketu,ether,S1,,northeast,shanta,vata,wizard/mage – mystical professions listed under Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=Ketu,SYNTHESIS
🧙‍♀️,woman wizard/mage,sannyasa,ketu,ether,S1,,northeast,shanta,vata,wizard/mage – mystical professions listed under Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=Ketu,SYNTHESIS
🧝,elf,sannyasa,ketu,air,S1,,northeast,shanta,vata,elf – mythical being; Ketu governs mystical professionshttps://amesadass.com/ketu-related-profession/#:~:text=Ketu,SYNTHESIS
🧝‍♀️,woman elf,sannyasa,ketu,air,S1,,northeast,shanta,vata,elf – mythical being; Ketu governs mystical professionshttps://amesadass.com/ketu-related-profession/#:~:text=Ketu,SYNTHESIS
🧛,vampire,universal,rahu,water,S1,,southwest,bhayanaka,kapha,vampire – Rahu rules illusion and outcast professionshttps://amesadass.com/rahu-related-profession/#:~:text=,Glamour%20Industry,SYNTHESIS
🧛‍♀️,woman vampire,universal,rahu,water,S1,,southwest,bhayanaka,kapha,vampire – Rahu rules illusion and outcast professionshttps://amesadass.com/rahu-related-profession/#:~:text=,Glamour%20Industry,SYNTHESIS
🕵️,detective,brahmana,ketu,air,S6,,northwest,adbhuta,vata,detective – secretive and investigative professions associated with Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=4,Professions,SYNTHESIS
🕵️‍♀️,woman detective,brahmana,ketu,air,S6,,northwest,adbhuta,vata,detective – secretive and investigative professions associated with Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=4,Professions,SYNTHESIS
⚖️,balance scale,brahmana,guru,ether,S4,,northeast,shanta,vata,law/justice – Jupiter rules law and ethics; brahmanas are judgeshttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
🔭,telescope,brahmana,ketu,ether,S1,,up,adbhuta,vata,astronomy/observation – Ketu governs astronomy and astrophysics professionshttps://amesadass.com/ketu-related-profession/#:~:text=2,SYNTHESIS
📿,mala beads,sannyasa,guru,ether,S6,,northeast,shanta,vata,prayer beads – spiritual practice under Jupiter and brahmanashttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
🏹,bow and arrow,kshatriya,mangala,fire,S6,,south,vira,pitta,weapon of war – kshatriyas enter battle with weaponshttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Administrators,TRADITIONAL
👑,crown,kshatriya,surya,fire,S1,,east,adbhuta,pitta,crown – symbol of royal authority; Sun rules kingsfile:///home/oai/redirect.html#:~:text=East%20,Aryak%20occupy%20the%20eastern%20sector,OBSERVED
🛡️,shield,kshatriya,mangala,fire,S6,,south,vira,pitta,shield – protective equipment of warriorshttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Administrators,OBSERVED
⚔️,crossed swords,kshatriya,mangala,fire,S6,,south,vira,pitta,weapon – Mars governs soldiers and warfarehttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Administrators,OBSERVED
🔨,hammer,shudra,shani,earth,S6,,west,vira,pitta,hammer – tool of laborers; Saturn governs workers and manufacturinghttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
⛏️,pickaxe,shudra,shani,earth,S6,,west,vira,pitta,pickaxe – mining and excavation; Saturn rules miners and laborershttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
🌾,sheaf of grain,vaishya,chandra,earth,S5,,north,madhura,kapha,agriculture/harvest – Moon governs food and vaishyas protect landhttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Business%20People,OBSERVED
💊,pill,brahmana,chandra,water,S5,,northwest,tikta,kapha,medicine – Moon rules health and healinghttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,SYNTHESIS
🩺,stethoscope,brahmana,chandra,air,S6,,northwest,,vata,medical tool – Moon governs healthcare professionshttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,SYNTHESIS
📚,books,brahmana,guru,ether,S6,,northeast,shanta,vata,books/learning – brahmanas study and teachhttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
🎨,artist palette,vaishya,shukra,water,S6,,southeast,shringara,kapha,artist palette – Venus rules arts and beautyhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
🎵,musical note,vaishya,shukra,air,S2,,southeast,shringara,kapha,music – Venus governs music and performing artshttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
🎶,musical notes,vaishya,shukra,air,S2,,southeast,shringara,kapha,music – Venus governs music and performing artshttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
💰,money bag,vaishya,guru,earth,S5,,north,madhura,kapha,wealth/money – Jupiter rules finance and prosperityhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
💴,yen banknote,vaishya,guru,earth,S5,,north,madhura,kapha,wealth/money – Jupiter rules finance and prosperityhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
🏛️,classical building,brahmana,guru,earth,S1,,east,shanta,kapha,institution/temple – brahmanas guide spiritual institutionshttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
⚗️,alembic,brahmana,budha,fire,S6,,southeast,tikta,pitta,alchemical flask – scientific and analytical work under Mercuryhttps://amesadass.com/ketu-related-profession/#:~:text=2,SYNTHESIS
🔱,trident,universal,ketu,fire,S1,,southeast,raudra,pitta,trishula – mystical weapon linked to occult Ketuhttps://amesadass.com/ketu-related-profession/#:~:text=4,Professions,SYNTHESIS
🕉️,om symbol,sannyasa,surya,ether,S0,,northeast,shanta,vata,om – sacred cosmic sound associated with the soul (Sun)file:///home/oai/redirect.html#:~:text=Ishaan%20,Paijanya%2C%20Jayanta%2C%20Aap%20and%20Aapvatsa,TRADITIONAL
☸️,dharma wheel,sannyasa,guru,ether,S0,,northeast,shanta,vata,dharma wheel – symbol of dharma and law; Jupiter rules ethics and philosophyhttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
🙏,folded hands,universal,guru,air,S6,,northeast,shanta,vata,anjali/namaste – gesture of respect and prayer under Jupiterhttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,OBSERVED
