"deck_id","nakshatra_number","nakshatra_name","zodiac_span","padas","rashi_overlap","deity","planetary_lord","sacred_symbol","shakti_statement","yoni_animal","species_correspondence","primary_plant","secondary_plants","biodynamic_category","astrobotanical_timing","gana","varna","nadi","dosha_profile","body_region","gift_expression","shadow_expression","gandanta_flag","gandanta_polarity","tithi_group_preference","boundary_harmonic_mode","nodal_interior_pattern","prime_signature","morphology_correlates","svara_link","raga_link","visual_palette_logic","panel_layout","motto","attestation_level","source_file","citation_status","operational_status","core_completeness_score","conflict_flag"
"nak_11","11","Purva Phalguni","13d20m Simha - 26d40m Simha","4","Simha","Bhaga","Venus","hammock","Enjoyment","rat (female)","Mouse (yoni_female)","Palasha","Palash (Butea monosperma); Rose","Fruit/Seed","earth/rest; do: rest; avoid: field work; crops: flowers","manushya","Vaishya","Antya","Pitta/Kapha: pitta↑ pleasure seeking","genitals","creative pleasure; relaxation","indulgence; laziness","no","","","","","","","","Puriya","#ffa9dc; earth-toned","rose/gold; hammock arc; open relaxed composition","Rest is not the opposite of creation.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_12","12","Uttara Phalguni","26d40m Simha - 10d00m Kanya","4","Simha/Kanya","Aryaman","Sun","bed","Patronage","cow (male)","Cow (yoni_male)","Rudraksha","Plaksha (Ficus microcarpa); Ashwagandha","Fruit/Seed/Root (cusp)","earth/stable; do: planting perennials; crops: trees/long-cycle crops","manushya","Vaishya","Adi","Vata/Kapha: vata↑ duty + movement","genitals","steady patronage; alliance-building","over-obligation; dryness","no","","","","","","","","Bihag","#ffbe26; earth-toned","amber/earth; bed frame lines; stable grid","The contract holds when both sides hold.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_13","13","Hasta","10d00m Kanya - 23d20m Kanya","4","Kanya","Savitar","Moon","hand","Manifestation","buffalo (female)","Buffalo (yoni_male)","Soapnut","Kakodumbar (Ficus hispida); Banana","Root","air/skilled; do: all crafts + planting; crops: vegetables/herbs","deva","Brahmana","Madhya","Vata/Pitta: vata↑ hands/work","hands","skillful manifestation; craft","control; compulsive busyness","no","","","","","","","","Miyan ki Todi","#ffffff; air-toned","white/silver; open hand center; fine craft-line detail","The hand knows what the mind forgets.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_14","14","Chitra","23d20m Kanya - 06d40m Tula","4","Kanya/Tula","Tvashtar","Mars","pearl","Creation","tiger (female)","Tiger (yoni_male)","Bael","Bilva (Aegle marmelos); Brahmi","Root/Flower (cusp)","fire/bright; do: flowers/beauty; crops: ornamentals/flowers","rakshasa","Kshatriya","Antya","Pitta/Vata: pitta↑ perfectionism","forehead","brilliant design; architectural beauty","perfectionism; vanity","no","","","","","","","","Ahir Bhairav","#922610; fire-toned","jewel tones; pearl/gem focal; architectural frame","Beauty is the first proof of structure.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_15","15","Swati","06d40m Tula - 20d00m Tula","4","Tula","Vayu","Rahu","young_shoot","Independence","buffalo (male)","Buffalo (yoni_female)","Arjuna","Cardamom","Flower","air/independent; do: composting; avoid: planting","deva","Vaishya","Adi","Kapha/Vata: kapha-vata swings","teeth","independent exploration; freedom","rootlessness; instability","no","","","","","","","","Desh","#6500aa; air-toned","violet/air; young shoot rising; asymmetric wind lines","The wind carries no luggage.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_16","16","Vishakha","20d00m Tula - 03d20m Vrischika","4","Tula/Vrischika","Indra-Agni","Jupiter","triumph_arch","Achievement","tiger (male)","Tiger (yoni_female)","Wood Apple","Bakul (Mimusops elengi); Turmeric","Flower/Leaf (cusp)","fire/goal; do: harvest; crops: legumes/beans","rakshasa","Kshatriya","Madhya","Kapha/Pitta: kapha↑ ambition; heaviness","arms","determined achievement; ambition","obsession; jealousy","no","","","","","","","","Jaunpuri","#ffdd43; fire-toned","gold/fire; triumphal arch frame; goal-directed axis","The archer and the gate are one act.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_17","17","Anuradha","03d20m Vrischika - 16d40m Vrischika","4","Vrischika","Mitra","Saturn","lotus","Devotion","deer (female) [CONFLICT: species.csv=Rabbit]","Rabbit (yoni_male)","Tulsi","Bakul (Mimusops elengi); Lotus Root","Leaf","water/devotion; do: flowers/sacred plants; crops: sacred plants/tulsi","deva","Brahmana","Antya","Pitta/Kapha: pitta stable devotion","chest","loyal devotion; friendship","codependence; suppressed anger","no","","","","","","","","Malkauns","#4e6175; water-toned","water/devotion blue; lotus center; friendship dyad","Devotion is the shortest distance.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","unresolved","partial","100","yes"
"nak_18","18","Jyeshtha","16d40m Vrischika - 00d00m Dhanu","4","Vrischika","Indra","Mercury","earring","Leadership","deer (male) [CONFLICT: species.csv=Rabbit]","Rabbit (yoni_female)","Silk Cotton","Chir Pine (Pinus roxburghii); Clove","Leaf","fire/elder; do: pest control; avoid: planting","rakshasa","Kshatriya","Adi","Vata/Pitta: vata↑ sharpness","neck","protective authority; responsibility","arrogance; isolation","yes","water-leaving","Purna (water-ending gandanta prefers Purna tithis)","elevated tithi-group differentiation (1.6x, p<0.0001)","","","","","Bageshri","#0d7a39; air-toned","emerald; protective earring motif; elder border","The elder guards what the young forget.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","unresolved","partial","100","yes"
"nak_19","19","Mula","00d00m Dhanu - 13d20m Dhanu","4","Dhanu","Nirriti","Ketu","root","Destruction","dog (female)","Dog (yoni_male)","Sal","Sandalwood (Santalum album); Long Pepper","Fruit/Seed","fire/root; do: root harvest; avoid: planting; crops: root vegetables","rakshasa","Rakshasa","Madhya","Vata/Pitta: vata↑ uprooting","feet","root investigation; uprooting falsehood","nihilism; destructiveness","yes","fire-entering","Nanda (fire-starting gandanta prefers Nanda tithis)","elevated tithi-group differentiation (1.6x, p<0.0001)","","","","","Shree","#685d48; air-toned","root brown; root system radiating down; stripped composition","Pull the root and the whole field shifts.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_20","20","Purva Ashadha","13d20m Dhanu - 26d40m Dhanu","4","Dhanu","Apas","Venus","fan","Invigoration","monkey (female)","Monkey (yoni_male)","Lotus","Coconut; Water Lily","Fruit/Seed","water/purify; do: irrigation; crops: water plants/rice","manushya","Brahmana","Antya","Pitta/Vata: pitta↑ willpower","thighs","courageous declaration; invigoration","fanaticism; grandiosity","no","","","","","","","","Kedar","#ffa9dc; water-toned","water blue/rose; fan spread; upward declaration","Declare before you are ready.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_21","21","Uttara Ashadha","26d40m Dhanu - 10d00m Makara","4","Dhanu/Makara","Vishvadevas","Sun","elephant_tusk","Victory","monkey (male) [CONFLICT: species.csv=Mongoose]","Mongoose (yoni_female)","Jackfruit","Plantain","Fruit/Seed/Root (cusp)","earth/victory; do: planting staples; crops: grains/staples","manushya","Kshatriya","Adi","Kapha/Pitta: kapha↑ burden","thighs","enduring victory; ethical leadership","rigidity; workaholism","no","","","","","","","","Hamir","#ffbe26; earth-toned","amber/earth; elephant tusk vertical; enduring column","The last standing wins without fighting.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","unresolved","partial","100","yes"
"nak_22","22","Shravana","10d00m Makara - 23d20m Makara","4","Makara","Vishnu","Moon","ear","Listening","monkey (female)","Monkey (yoni_female)","Arka","Black Sesame","Root","water/learning; do: irrigation/transplant; crops: leafy greens","deva","Vaishya","Madhya","Kapha/Vata: kapha-vata: hearing + rhythm","ears","receptive listening; sacred learning","gossip; passive withdrawal","no","","","","","","","","Durga","#ffffff; air-toned","silver/white; ear motif; concentric listening rings","Listen until the silence speaks.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_23","23","Dhanishta","23d20m Makara - 06d40m Kumbha","4","Makara/Kumbha","Vasus","Mars","drum","Fame","lion (male)","Lion (yoni_male)","Shami","Drumstick","Root/Flower (cusp)","air/wealth; do: all crops; crops: all","rakshasa","Kshatriya","Antya","Pitta/Vata: pitta↑ drive","back","rhythmic prosperity; community wealth","possessiveness over resources","no","","","","","","","","Sarang","#cc2100; fire-toned","red/fire; drum center; rhythmic horizontal bands","The drum calls the wealth.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_24","24","Shatabhisha","06d40m Kumbha - 20d00m Kumbha","4","Kumbha","Varuna","Rahu","empty_circle","Healing","horse (female)","Horse (yoni_female)","Kadamba","Babool (Acacia arabica); Bael","Flower","air/healing; do: medicinal herbs; crops: herbs/medicine","rakshasa","Brahmana","Adi","Vata/Pitta: vata↑ detox impulse","mouth","solitary healing; esoteric research","isolation; paranoia","no","","","","","","","","Lalit","#4e0d7a; air-toned","deep violet; empty circle center; 100-dot surround","A hundred physicians in an empty circle.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_25","25","Purva Bhadrapada","20d00m Kumbha - 03d20m Meena","4","Kumbha/Meena","Aja Ekapada","Jupiter","front_legs_of_bed","Spiritual Fire","lion (female)","Lion (yoni_female)","Mango","Neem","Flower/Leaf (cusp)","fire/sacrifice; do: —; avoid: planting","manushya","Brahmana","Madhya","Vata/Pitta: vata↑ intensity","sides","transformative fire; ascetic intensity","fanaticism; rage","no","","","","","","","","Basant","#e5c11c; fire-toned","fire/gold; lightning bolt diagonal; intense edge","The fire that transforms is not gentle.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_26","26","Uttara Bhadrapada","03d20m Meena - 16d40m Meena","4","Meena","Ahirbudhnya","Saturn","back_legs_of_bed","Stability","cow (female)","Cow (yoni_female)","Neem","Lotus","Leaf","water/depth; do: planting deep roots; crops: deep root crops","manushya","Kshatriya","Antya","Pitta/Kapha: pitta stable depth","sides","patient depth; wisdom through endurance","lethargy; emotional suppression","no","","","","","","","","Jayjaywanti","#4e6175; water-toned","deep ocean blue; serpent bed base; patient depth","The deep serpent waits in water.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_27","27","Revati","16d40m Meena - 00d00m Mesha","4","Meena","Pushan","Mercury","fish","Prosperity","elephant (male)","Elephant (yoni_female)","Mahua","Fennel","Leaf","water/completion; do: harvest/completion","deva","Brahmana","Adi","Kapha/Vata: kapha↑ softness","abdomen","compassionate guidance; safe passage","over-softness; boundary dissolution","yes","water-leaving","Purna (water-ending gandanta prefers Purna tithis)","elevated tithi-group differentiation (1.6x, p<0.0001)","","","","","Hansadhwani","#00c34e; water-toned","sea green; fish motif; flowing completion arc","The journey ends where the fish swim home.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
