species_id,common_name,scientific_name,biogeographic_region,habitat,ecoregion,primary_dosha,secondary_dosha,tertiary_dosha,short_description,guna_primary,guna_secondary,behavioral_profile,primary_element,secondary_element,embodied_traits,shadow_traits,planetary_ruler,archetype_short,nakshatra_association,primary_physiology_system,size_category,trophic_level,social_structure,locomotion,defensive_offense_behaviors,ecological_role,culturally_attested,cultural_sources,cultural_notes,confidence_score,evidence_basis,short_justification,vetting_notes
peregrine_falcon,Peregrine Falcon,Falco peregrinus,Global (cosmopolitan),"Cliffs, coasts, mountains and increasingly urban high structures",Variable; often temperate and coastal systems,Pitta,Vata,unspecified,Widely distributed raptor famous for high-speed stooping dives and aerial predation of birds.,Rajas,Sattva,High-precision aerial hunter; strong territory defense; rapid kinetic 'stoop' with controlled targeting.,Air,Fire,precision focus|speed mastery|sharp discernment|territorial clarity|aerial sovereignty,overdrive|aggression|burnout-like depletion,Sun,Sky spear,Krittika,Visual and neuromuscular systems,Medium,Carnivore,Pairs during breeding; otherwise solitary/territorial,High-speed flight; stooping dives,Stooping strike; talons; aerial pursuit; nest defense,Top avian predator regulating bird prey populations; indicator species for contaminants,Yes,IUCN Red List (Falco peregrinus; BirdLife); PLOS ONE aerodynamics study (dive speeds); falconry traditions (regional),Falconry traditions are widespread but culturally distinct; treat as multiple traditions rather than a single canonical meaning.,0.88,SYNTHESIS,Pitta is inferred from sharp predatory intensity and 'penetrating' focused attack; Vata secondary reflects air-dominant speed and mobility. Air–Fire captures movement as the medium and lethal transformative intent as the core.,"Dive-speed numbers depend on measurement context (trained vs wild, wind, slope); avoid presenting a single value as universal."
tasmanian_devil,Tasmanian Devil,Sarcophilus harrisii,Australasian (Tasmania),"Eucalyptus forests, woodlands, coastal scrub, agricultural mosaics",Temperate broadleaf forests and woodlands,Pitta,Vata,unspecified,"Stocky carnivorous marsupial scavenger with strong jaw force and intense vocal aggression, threatened by devil facial tumor disease.",Rajas,Tamas,Nocturnal scavenger-predator; competitive feeding frenzies; high reactivity and sound-based intimidation.,Fire,Earth,raw appetite|auditory intimidation|bone-crushing persistence|night scavenger efficiency|survival grit,frenzy|resource conflict|disease vulnerability,Mars,Night feast warrior,Mrigashira,Digestive and immune systems,Medium,Carnivore/Scavenger,Mostly solitary; congregates at carcasses,Low ground trot; short bursts,Bite force; vocal displays; competition at carrion,Scavenger limiting carrion persistence and influencing disease ecology; mesopredator,unspecified,IUCN Red List (Sarcophilus harrisii); Australian conservation agencies on DFTD,unspecified,0.82,INFERRED:BIOLOGY,"Pitta is inferred from intense appetite, sharp aggression and competitive confrontation; Vata secondary reflects nervous vocalization and reactive movement. Fire–Earth captures hot metabolic drive in a dense grounded body.",Avoid sensational 'demonic' framing; keep language neutral and conservation-aligned; include Aboriginal Tasmanian perspectives if used.
african_savanna_elephant,African Savanna Elephant,Loxodonta africana,Afrotropical (Sub-Saharan Africa),"Savannas, woodlands, forests edges, riverine systems",Tropical savannas and woodlands,Kapha,Vata,unspecified,"Largest terrestrial mammal with matriarchal social structure, long memory, and ecosystem engineering via browsing and water access creation.",Sattva,Kapha,"Social, strongly bonded matrilines; deliberate movement; high emotional intelligence; can shift to forceful defense when threatened.",Earth,Water,ancestral memory|protective leadership|steady endurance|ecosystem shaping|grief and bonding,overattachment|destructive force when threatened|human-wildlife conflict,Jupiter,Great memory keeper,Punarvasu,Nervous and musculoskeletal systems,Very Large,Herbivore,Matriarchal family groups; male dispersal,Slow steady walking; long-distance seasonal ranging,"Group defense, charging; tusk use; protective circles around calves","Keystone mega-herbivore and ecosystem engineer shaping vegetation, waterholes, and habitat mosaics",Yes,IUCN Red List (Loxodonta africana, 2021); IUCN SSC African Elephant Specialist Group report; regional African oral traditions (varies),"Many African societies hold elephants as symbols of memory, authority, and lineage; meanings and taboos are not uniform across regions.",0.88,SYNTHESIS,"Kapha dominates through massive structure, steadiness, and long-lived social continuity; Vata secondary reflects seasonal ranging and migratory movement. Earth–Water emphasizes grounded mass with deep relational/emotional hydrology.",Do not conflate African elephant cultural meanings with South Asian/Vedic elephant symbolism; document community-specific sources where used.
galapagos_giant_tortoise,Galápagos Giant Tortoise (species complex),Chelonoidis niger (complex; taxonomy includes multiple lineages/subspecies),Neotropical (Galápagos Islands),"Dry lowlands to humid highlands; shrubland, grassland, woodland",Island dry forests and shrublands; highland grasslands,Kapha,unspecified,unspecified,Long-lived island herbivore with slow movement and strong ecosystem-shaping grazing/browsing effects; many lineages are threatened.,Tamas,Sattva,"Extremely slow, deliberate movement; high tolerance and persistence; habitat shaping via trails, grazing and seed dispersal.",Earth,Water,deep time patience|unhurried persistence|protective shell stability|ecosystem shaping|resource conservation,inertia|overreliance on stability|vulnerability to introduced threats,Saturn,Time-holder,Uttara Bhadrapada,Skeletal/integumentary system,Large,Herbivore,Mostly solitary; loose aggregations at resources,Slow walking; high endurance over time,Protective shell; withdrawal; size,Large herbivore and seed disperser; island ecosystem engineer,No,IUCN Red List (Chelonoidis niger, 2017 assessment and related); Galápagos conservation authorities (general),Often treated as a global conservation icon; local cultural context should be sourced from Galápagos communities if needed.,0.8,SYNTHESIS,"Kapha is inferred from heavy, stable structure and slow metabolism; Tamas–Sattva captures inertia tempered by enduring steadiness. Earth–Water reflects grounded embodiment with high hydration storage and long-life persistence.","Brief references to extreme lifespans (e.g., 300 years) are not well supported; treat longevity as 'over a century' unless verified per lineage and record."
hippopotamus,Common Hippopotamus,Hippopotamus amphibius,Afrotropical (Sub-Saharan Africa),"Rivers, lakes, wetlands; grazes on nearby grasslands at night",Freshwater wetlands and adjacent savannas/grasslands,Kapha,Pitta,unspecified,"Large semi-aquatic herbivore with massive body and territorial aggression, especially in water.",Tamas,Rajas,Daytime water-anchored stillness; nighttime grazing; intense territorial defense and unpredictable charge responses.,Water,Earth,massive grounding|territorial boundary|water refuge|nocturnal routine|resource defense,unpredictable aggression|stagnation|overprotection,Mars,River boundary enforcer,Chitra,Musculoskeletal and integumentary systems,Very Large,Herbivore,Loose pods; territorial males,Slow on land; agile in water; short charges,"Charging, biting; group clustering; water-based dominance","Ecosystem engineer via grazing, nutrient transfer to waterbodies, and habitat disturbance",unspecified,IUCN Red List (Hippopotamus amphibius, 2017),unspecified,0.83,INFERRED:BIOLOGY,"Kapha derives from extreme mass, stability, and water-bound routine; Pitta secondary reflects sharp territorial aggression and heat surges. Water–Earth expresses aqueous anchoring with heavy terrestrial impact.",Human-danger narratives are common; balance with ecological-role framing and local coexistence research.
american_bison,American Bison,Bison bison,Nearctic (North American grasslands),"Prairie grasslands, steppe, parklands",Temperate grasslands, savannas and shrublands,Kapha,Vata,unspecified,Large grazing bovid historically forming vast herds; key shaper of prairie ecology and a central species in Plains lifeways.,Sattva,Rajas,Herd-based wandering grazer; steady strength and endurance with seasonal movement; explosive defense when threatened.,Earth,Air,collective abundance|grounded endurance|migration rhythm|protective strength|prairie shaping,stampede panic|resource depletion under pressure|trauma imprint,Jupiter,Abundance provider,Vishakha,Digestive system,Very Large,Herbivore,Herds (sex/age structured),Steady walking with fast gallop when alarmed,Herd defense; charging; horns/headbutt,"Keystone grazer shaping plant communities, soil disturbance, and prairie biodiversity",Yes,"IUCN Red List (Bison bison, 2017/2018); Plains Indigenous oral traditions (buffalo); ethnographic accounts (e.g., Black Elk via Joseph Epes Brown)",Often treated as a relative/provider species in Plains traditions; cultural protocols and community specificity are essential.,0.86,SYNTHESIS,"Kapha reflects heavy stability, ruminant digestion, and herd cohesion; Vata secondary reflects migration and open-land movement. Earth–Air captures grounded abundance moving as a wind-like herd-field.","Do not generalize across all Plains nations; cultural use requires respectful sourcing and, where possible, indigenous consultation."
mountain_gorilla,Mountain Gorilla,Gorilla beringei beringei,Afrotropical (Albertine Rift),Montane and bamboo forests,Afro-montane forests,Kapha,Vata,unspecified,Large-bodied great ape with cohesive social groups and predominantly herbivorous diet; known for calm strength and protective leadership.,Sattva,Kapha,"Slow, deliberate movement; strong family bonds; protective yet generally non-aggressive unless threatened.",Earth,Water,gentle strength|protective leadership|social bonding|vegetarian power|presence calm,overprotection|territorial tension|disease vulnerability,Jupiter,Gentle giant protector,Punarvasu,Musculoskeletal system,Large,Herbivore/Omnivore (largely folivore),Troops led by a silverback,Knuckle-walking; climbing (less than lowland gorillas),"Display charging, chest beating; group defense",Seed dispersal and vegetation shaping; flagship for montane forest conservation,unspecified,IUCN Red List (Gorilla beringei beringei); great ape conservation guidelines,unspecified,0.85,INFERRED:BIOLOGY,"Kapha dominates through heavy, grounded body and steady social cohesion; Vata secondary reflects group ranging and alert communication. Earth–Water emphasizes stabilizing presence with relational attachment and care.","Avoid anthropomorphic 'gentle' stereotypes; integrate context of stressors (habitat, disease) and avoid cultural claims without local sources."
west_indian_manatee,Manatee (West Indian/American Manatee),Trichechus manatus,"Neotropical + Nearctic coastal (Caribbean, Gulf, W. Atlantic)","Shallow coastal waters, estuaries, rivers, seagrass beds",Coastal marine and estuarine systems,Kapha,unspecified,unspecified,Large slow-moving aquatic herbivore adapted for buoyant grazing and calm social contact; historically linked to mermaid mythology in maritime folklore.,Tamas,Sattva,Gentle grazer with low aggression; slow movement and long resting periods; strong site fidelity in some regions.,Water,Earth,peaceful presence|buoyant steadiness|nourishing gentleness|slow rhythm|nonviolent coexistence,complacency|vulnerability to collision|dependency on calm habitat,Moon,Ocean gentle nourisher,Rohini,Digestive system,Large,Herbivore,Loose aggregations; mother-calf bonds,Slow swimming,Minimal; relies on size and aquatic refuge,Seagrass grazer influencing aquatic plant dynamics; indicator for water quality,Yes,IUCN Red List (Trichechus manatus); coastal maritime folklore (mermaid associations),Mermaid associations are common in post-contact maritime narratives; indigenous interpretations require separate sourcing.,0.78,SYNTHESIS,"Kapha derives from slow, heavy, stabilizing water-body and gentle grazing; Tamas–Sattva reflects inertia and gentleness. Water–Earth captures aquatic nourishment grounded in herbivory.",Avoid treating mermaid folklore as indigenous evidence; consult relevant coastal communities if indigenous links are claimed.
wombat,Wombat (Common wombat as exemplar),Vombatus ursinus (family Vombatidae),Australasian (Australia),Temperate forests and grasslands; burrows,Temperate broadleaf forests and grasslands,Kapha,unspecified,unspecified,Stocky burrowing marsupial with strong digging ability and high persistence; uses extensive burrows that can influence local microhabitats.,Tamas,Sattva,Nocturnal/crepuscular grazer; stubborn persistence; engineering through burrow construction and maintenance.,Earth,Air,burrow-building|stubborn endurance|grounded self-sufficiency|protective sheltering|resource conservation,inertia|resistance to change|territorial stubbornness,Saturn,Burrow keeper,Uttara Bhadrapada,Musculoskeletal system,Medium,Herbivore,Mostly solitary,Walking and digging; short bursts,Powerful digging; defensive biting/scratching; burrow refuge,Ecosystem engineer via burrows affecting soil and shelter availability,unspecified,Australian fauna references; conservation agencies (species varies by wombat species),unspecified,0.72,INFERRED:BIOLOGY,"Kapha is inferred from dense body, sedentary rhythm, and slow steady grazing; Tamas–Sattva reflects inertia balanced by constructive shelter-making. Earth–Air expresses grounded digging that creates breathable subterranean spaces.",The brief cites 'fireproof burrows'; this requires specific sourcing and may depend on context/species/location; add Aboriginal cultural sources only with appropriate permissions.
giant_panda,Giant Panda,Ailuropoda melanoleuca,Palearctic (China),Temperate mountain forests with bamboo understory,Temperate broadleaf and mixed forests (montane China),Kapha,unspecified,unspecified,Large bear specialized on bamboo diet with low reproductive rate; iconic conservation flagship tied to Chinese cultural symbolism.,Tamas,Sattva,Energy-conserving forager with high feeding time; generally non-aggressive; strong habitat specificity.,Earth,Water,gentle endurance|specialized focus|resource conservation|symbolic harmony|quiet persistence,inertia|dietary constraint|habitat dependence,Venus,Paradox nourisher,Purva Phalguni,Digestive system,Large,Herbivore (specialized),Mostly solitary,Quadrupedal walking and climbing,Bite/claws when threatened; avoidance,Bamboo forest flagship; contributes to seed dispersal and habitat conservation focus,Yes,IUCN Red List (Ailuropoda melanoleuca, 2016); Chinese cultural symbolism (varies); conservation organizations,Often used as a symbol of peace/harmony and national identity; cultural meanings are modern and historical and should be disambiguated.,0.83,SYNTHESIS,Kapha derives from heavy stable form and energy-conserving feeding ecology; Tamas–Sattva reflects inertia and gentleness. Earth–Water underscores grounded nourishment expressed through a moisture-rich bamboo niche.,Taxonomy and conservation status messaging can vary by source; ensure IUCN category is current for the dataset version used.
marine_iguana,Galápagos Marine Iguana,Amblyrhynchus cristatus,Neotropical (Galápagos Islands),Rocky shorelines; intertidal and nearshore waters,Coastal lava shore and intertidal marine systems,Kapha,Vata,unspecified,Only extant marine foraging lizard; feeds primarily on algae and is physiologically specialized for salt and temperature stress.,Tamas,Rajas,"Basks to warm then dives/forages; tolerates harsh intertidal cycles; strong site fidelity and seasonal vulnerability (e.g., El Niño).",Water,Earth,adaptive endurance|intertidal rhythm|salt resilience|resource flexibility|stoic persistence,stress collapse under climate extremes|inertia|disease susceptibility,Saturn,Intertidal stoic,Anuradha,Thermoregulatory and renal/osmoregulatory systems,Medium,Herbivore (algae grazer),Loose colonies; males territorial in breeding season,Walking/climbing on rocks; swimming/diving,Biting/whipping tail; group basking; cryptic coloration,Primary grazer of intertidal algae; links marine productivity to terrestrial nutrient cycling,No,IUCN Red List (Amblyrhynchus cristatus and subspecies assessments),Primarily conservation-icon status; indigenous cultural layers are not assumed.,0.78,INFERRED:BIOLOGY,Kapha reflects cold-blooded steadiness and energy conservation; Vata secondary reflects liminal movement between land and sea and high environmental variability. Water–Earth grounds the organism in marine algae with rocky shoreline embodiment.,IUCN has multiple subspecies assessments with differing risk; specify subspecies if the KG requires finer granularity.
european_badger,European Badger,Meles meles,Palearctic (Europe + W/C Asia),Woodland edges; hedgerows; farmland mosaics; setts (burrows),Temperate broadleaf forests; agricultural mosaics,Kapha,Vata,unspecified,Strong-bodied nocturnal mustelid building multi-generation sett systems; omnivorous and highly site-faithful.,Tamas,Sattva,Night-active burrow-based life with long-term home construction; cautious forager; seasonal rhythm.,Earth,Air,home-building persistence|ancestral settlement|protective boundary|nocturnal resourcefulness|patient endurance,stubbornness|territorial rigidity|disease/vector controversies,Saturn,Ancestral sett builder,Anuradha,Integumentary and musculoskeletal systems,Medium,Omnivore,Social groups/clans sharing setts,Walking; digging,Powerful bite; digging; sett retreat; scent marking,Soil disturbance and aeration; predator/prey interactions; seed dispersal via omnivory,Yes,IUCN Red List (Meles meles); European regional folklore (badger as burrow and craft symbol),"Folklore varies by region (e.g., UK, Scandinavia, Eastern Europe) and should be localized before ontology linking.",0.79,SYNTHESIS,Kapha is inferred from stable home-based life and robust body; Vata secondary reflects nocturnal roaming and alertness. Earth–Air expresses burrowing architecture creating subterranean 'space'.,Badger folklore is extensive but fragmented; avoid treating later European moral fables as 'traditional ecology' without context.
