entity_id,name_sanskrit,name_iast,name_english,species_latin,element_primary,element_secondary,guna,dosha_primary,dosha_secondary,graha_primary,graha_secondary,nakshatra_primary,rasa_primary,rasa_secondary,lifecycle_phase,vastu_position,sound_freq_hz_low,sound_freq_hz_high,movement_quality,social_structure,ayurvedic_quality,symbolic_quality,tradition_notes,source_primary,source_secondary,confidence,attestation_status
species_shasha,शशक,Śaśaka,Rabbit,Oryctolagus cuniculus,air,earth,sattva,vata,,moon,venus,anuradha,shringara,shanta,adult,NE,400,2000,bounding,colony,cool_dry,gentleness and devotion,Yoni animal of Anuradha (M) and Jyeshtha (F),BPHS,Panchatantra,0.95,attested_secondary
species_vanara,वानर,Vānara,Monkey,Macaca mulatta,air,fire,rajas,vata,pitta,mercury,mars,purva_ashadha,hasya,vira,adult,E,200,8000,bounding,troop,warm_dry,intelligence and playful service,Yoni animal of Purva Ashadha (M) and Shravana (F),BPHS,Ramayana,0.95,attested_secondary
species_nakula,नकुल,Nakula,Mongoose,Herpestes edwardsii,fire,air,sattva,pitta,,mars,ketu,uttara_ashadha,vira,shanta,adult,SE,500,3000,swift_diagonal,pair,hot_sharp,victory over serpent and purity,Yoni animal of Uttara Ashadha (F),BPHS,Mahabharata,0.95,attested_secondary
species_simha,सिंह,Siṃha,Lion,Panthera leo,fire,earth,rajas,pitta,,sun,mars,dhanishtha,vira,raudra,adult,S,40,460,slow_steady,pack,hot_sharp,royal sovereignty and courage,Yoni animal of Dhanishtha (M) and Purva Bhadrapada (F),BPHS,Puranas,0.95,attested_secondary
species_mayura,मयूर,Mayūra,Peacock,Pavo cristatus,fire,air,rajas,pitta,vata,mars,venus,,shringara,adbhuta,adult,SE,350,2500,vertical_display,pair,warm_dry,beauty conquering serpent of ego,Vahana of Murugan/Kartikeya,Skanda Purana,Brihat Samhita,0.92,attested_secondary
species_hamsa,हंस,Haṃsa,Swan,Cygnus olor,ether,air,sattva,vata,,jupiter,venus,,shanta,adbhuta,adult,NE,200,1100,circular,pair,cool_moist,discrimination of milk from water,Vahana of Brahma and Saraswati,Upanishads,Puranas,0.92,attested_secondary
species_garuda,गरुड,Garuḍa,Garuda,mythical,fire,ether,sattva,pitta,,sun,jupiter,,vira,adbhuta,adult,E,150,3000,swift_diagonal,solitary,hot_sharp,speed conquering serpent of maya,Vahana of Vishnu,Garuda Purana,Bhagavata Purana,0.92,attested_secondary
species_nandi,नन्दि,Nandī,Nandi Bull,Bos taurus,earth,water,sattva,kapha,,saturn,jupiter,,shanta,shringara,adult,N,55,400,slow_steady,solitary,cool_moist,dharmic stillness bearing cosmic dance,Vahana of Shiva,Shiva Purana,Linga Purana,0.92,attested_secondary
species_uluka,उलूक,Ulūka,Owl,Bubo bubo,air,earth,tamas,vata,,saturn,rahu,,shanta,bhayanaka,adult,NW,200,4000,circular,solitary,cool_dry,seeing wealth hidden in darkness,Vahana of Lakshmi,Lakshmi Tantra,Puranas,0.92,attested_secondary
species_shuka,शुक,Śuka,Parrot,Psittacula krameri,air,fire,rajas,vata,pitta,venus,mercury,,shringara,hasya,adult,W,500,4000,bounding,pair,warm_dry,repeating the words of love,Vahana of Kamadeva,Kama Sutra,Puranas,0.90,attested_secondary
species_makara,मकर,Makara,Makara,mythical,water,earth,tamas,kapha,,saturn,moon,,adbhuta,bhayanaka,adult,W,20,200,lateral_wave,solitary,cool_moist,oceanic depth and cosmic threshold,Vahana of Varuna and Ganga,Matsya Purana,Puranas,0.90,attested_secondary
species_airavata,ऐरावत,Airāvata,Airavata,mythical,ether,water,sattva,kapha,,jupiter,moon,,adbhuta,shanta,adult,NE,12,300,slow_steady,solitary,cool_moist,sovereignty of cosmic order and rain,Vahana of Indra,Bhagavata Purana,Puranas,0.90,attested_secondary
