signature_id,plant_id,plant_common,plant_part,body_target,body_system,form_correspondence,chemistry_correspondence,traditional_use_confirms,dhatu_correspondence,graha_correspondence,nakshatra_source,archetype_shared,tradition_sources,confidence,attestation,notes,attestation_status
SIG011,plant_shatavari,Shatavari,root_pair,pelvis,urinary,paired tubers curved deep = bilateral kidney form,shatavari specifically kidney-supportive,yes,D001;D004,chandra;guru,none,vesica,Ayurveda,0.83,OBSERVED:TRADITIONAL,paired fasciculated roots mirror renal form,inferred_coherent
SIG012,plant_vetiver,Vetiver,root_mass,fascia_network,nervous,dense tangled root mass = nerve plexus,vetiver compounds neurologically active (khusimol),yes,D006,budha;rahu,none,branching;tensegrity,Ayurveda;folk_medicine,0.72,SYNTHESIS,vetiver root network = brachial/solar plexus density,inferred_coherent
SIG013,plant_moringa,Moringa,pod,femur,skeletal,long cylindrical drumstick = long bone shaft,moringa calcium = bone mineral,yes,D005,shani;mangala,none,parabolic,Ayurveda;African_traditional,0.80,SYNTHESIS,moringa drumstick pod = femoral diaphysis,inferred_coherent
SIG014,plant_moringa,Moringa,compound_leaf,carpals;phalanges,skeletal,compound leaf leaflets=fingers petiole=palm,moringa supports connective tissue,partial,D003;D005,budha,none,branching,Ayurveda,0.75,SYNTHESIS,moringa compound leaf = hand with spread fingers,inferred_coherent
SIG015,plant_moringa,Moringa,flower,pelvis,skeletal,five petals = five ligament arrangement,anti-inflammatory = joint medicine,yes,D005;D003,mangala;guru,none,radial,Ayurveda,0.77,SYNTHESIS,moringa flower pentagonal = knee ligament star,inferred_coherent
SIG016,plant_arjuna,Arjuna,bark_rings,pelvis,circulatory,concentric rings in cross-section = iliac crest rings,arjuna specifically cardiac + musculoskeletal,yes,D003;D005,shani;surya,Swati,circular;tensegrity,Ayurveda,0.72,SYNTHESIS,natal: Swati=Saturn=Arjuna; bark ring = pelvic ring structure,inferred_coherent
SIG017,plant_calamus,Calamus,rhizome,cervical_spine,nervous,gnarled aromatic root connecting root and shoot = brainstem,beta-asarone = neurologically active,yes,D006,budha,none,sinusoidal;branching,Ayurveda;Unani,0.78,OBSERVED:TRADITIONAL,calamus rhizome = brainstem connecting spinal and cranial structures,inferred_coherent
SIG018,plant_ashwagandha,Ashwagandha,berry,eye_socket,nervous,small round berry in calyx = eye in orbital socket,withanolides cross blood-retinal barrier,yes,D006;D005,budha;surya,Ashwini,circular;vesica,Ayurveda,0.75,SYNTHESIS,ashwagandha berry in papery calyx = eyeball in orbit,inferred_coherent
SIG019,plant_ashwagandha,Ashwagandha,root,femur,nervous,large taproot descending = sciatic/femoral nerve,neurological tonic specifically,yes,D006,budha,Ashwini,branching,Ayurveda,0.80,OBSERVED:TRADITIONAL,ashwagandha taproot = major descending nerve trunk,inferred_coherent
SIG020,plant_guggul,Guggul,resin,pelvis;femur,skeletal,sticky aromatic resin at wound = synovial fluid at joint,guggulsterones anti-inflammatory at joints,yes,D004,shani;guru,none,tidal,Ayurveda;Unani,0.87,OBSERVED:PRIMARY_TEXT,Sushruta Samhita: guggul for sandhigata vata (joint disease),inferred_coherent
SIG021,plant_walnut,Walnut,half_kernel,skull_vault,nervous,bilateral lobe wrinkled surface = cortex convolutions,DHA omega-3 = primary brain structural fat,yes,D006,budha;chandra,none,circular;branching,European_herbalism;Unani;Ayurveda,0.88,OBSERVED:TRADITIONAL,most iconic doctrine of signatures example across traditions,inferred_coherent
SIG022,plant_walnut,Walnut,shell,skull_vault,skeletal,hard protective dome encasing soft interior = cranium,walnut shell tannins = cranial protective compounds,partial,D005,shani;surya,none,parabolic,European_herbalism;Unani,0.85,OBSERVED:TRADITIONAL,walnut shell = calvaria bone protecting cerebrum,inferred_coherent
SIG023,plant_walnut,Walnut,whole_nut,pelvis,reproductive,bilateral seed halves=ovarian pair shell=uterine wall,phytoestrogens specifically,yes,D007,shukra;chandra,none,vesica,European_herbalism;Unani,0.82,OBSERVED:TRADITIONAL,walnut whole = uterus + bilateral ovaries,inferred_coherent
SIG024,plant_almond,Almond,seed,pelvis,reproductive,elongated single seed in protective shell = testis,arginine = male reproductive health,yes,D007,shukra,none,vesica,Ayurveda;Unani,0.83,OBSERVED:TRADITIONAL,almond = vrishya (virilizing) in Ayurveda,inferred_coherent
SIG025,plant_almond,Almond,seed_shape,eye_socket,skeletal,almond shape = orbital socket contour,vitamin E specifically ocular protective,yes,D006,surya;budha,none,vesica,Ayurveda;European_herbalism,0.80,OBSERVED:TRADITIONAL,almond-shaped = amygdaloid (Greek anatomical term from almond),inferred_coherent
SIG026,plant_kidney_bean,Kidney bean,whole,pelvis,urinary,literally kidney-shaped bilateral curved,potassium = kidneys primary electrolyte,yes,D001;D004,chandra;guru,none,vesica,universal_cross-cultural,0.92,OBSERVED:TRADITIONAL,strongest morphological match in doctrine of signatures,inferred_coherent
SIG027,plant_carrot,Carrot,cross_section,iris,visual,radial pattern with central circle = iris + pupil,beta-carotene → retinal (the actual eye molecule),yes,D006,surya;mangala,none,radial,European;Chinese;Ayurveda,0.95,OBSERVED:PRIMARY_TEXT,biochemistry directly confirms: beta-carotene → retinol → rhodopsin,inferred_coherent
SIG028,plant_celery,Celery,stalk,humerus;femur,skeletal,long hollow striated cylinder = long bone,organic sodium + silica = bone matrix minerals,yes,D005,shani,none,tensegrity;vertical,European_herbalism,0.85,OBSERVED:TRADITIONAL,celery stalk = cortical bone with medullary hollow,inferred_coherent
SIG029,plant_tomato,Tomato,cross_section,heart_muscle,circulatory,four chambers when cut = four heart chambers,lycopene specifically cardioprotective,yes,D002,surya;mangala,none,radial;circular,European_herbalism;modern_research,0.87,OBSERVED:TRADITIONAL,tomato cross-section = cardiac four-chamber view,inferred_coherent
SIG030,plant_avocado,Avocado,whole_fruit,pelvis,reproductive,pear shape single seed = uterus + ovum,folate critical for uterine + fetal health,yes,D007,shukra;chandra,none,vesica;oval,Mesoamerican_tradition,0.85,OBSERVED:TRADITIONAL,9 months to ripen from flower = gestational period,inferred_coherent
SIG031,plant_grape,Grape,cluster,lung_bronchial,respiratory,clusters of small round units = alveolar sac clusters,resveratrol concentrates in lung tissue,yes,D001,budha;chandra,none,circular;radial,European_herbalism,0.83,OBSERVED:TRADITIONAL,grape cluster = pulmonary acinus (alveolar cluster),inferred_coherent
SIG032,plant_ginger,Ginger,rhizome,ribs,digestive,twisted knobbled root = intestinal convolutions,gingerols specifically GI-active,yes,D001;D003,mangala;surya,none,sinusoidal,universal,0.92,OBSERVED:PRIMARY_TEXT,Charaka Samhita: shunti as agni deepana (digestive fire kindle),inferred_coherent
SIG033,plant_sweet_potato,Sweet potato,tuber,ribs,digestive,elongated nodular = pancreatic form,specific blood sugar regulation,yes,D001;D004,guru,none,concentric,folk_medicine,0.78,SYNTHESIS,sweet potato form mirrors pancreatic body shape,inferred_coherent
SIG034,plant_olive,Olive,drupe,pelvis,reproductive,small oval oil-rich = ovary form and function,oleic acid = reproductive tissue fat,yes,D007;D004,shukra,none,vesica;oval,Mediterranean;Ayurveda,0.80,OBSERVED:TRADITIONAL,Venus/Shukra tradition: olives as reproductive nourishment,inferred_coherent
SIG035,plant_onion,Onion,layers,skin_surface,integumentary,concentric protective layers = cell membrane layers,quercetin = membrane-protective,partial,D001,chandra,none,circular;concentric,European_herbalism,0.75,SYNTHESIS,onion layers = epithelial stratified layers,inferred_coherent
SIG036,plant_mushroom,Mushroom,cap,cochlea,auditory,cup/dome receiver shape = acoustic pinna receiver,nerve growth factor compounds (Lions mane),yes,D006,budha,none,circular;parabolic,Chinese_medicine;European_herbalism,0.82,OBSERVED:TRADITIONAL,mushroom cap form = ear pinna acoustic reflector,inferred_coherent
SIG037,plant_lungwort,Lungwort,leaf,lung_bronchial,respiratory,spotted spongy leaf = alveolar spotted tissue,mucilaginous = lung mucous membrane support,yes,D001,budha;chandra,none,branching,European_herbalism,0.85,OBSERVED:TRADITIONAL,Pulmonaria: named for lung resemblance (spotted leaf = alveoli),inferred_coherent
SIG038,plant_skullcap,Skullcap,flower,skull_vault,nervous,helmet-shaped calyx = cranial dome,scutellarein = neurologically active,yes,D006;D005,budha;shani,none,parabolic;dome,European_herbalism;Chinese_medicine,0.83,OBSERVED:TRADITIONAL,Scutellaria: scutella = little shield = skull cap,inferred_coherent
SIG039,plant_eyebright,Eyebright,flower,iris;eye_socket,visual,flower markings = iris + pupil pattern,specifically ophthalmic compounds,yes,D006,surya;budha,none,radial,European_herbalism;Ayurveda,0.88,OBSERVED:TRADITIONAL,Euphrasia: named for joy of clear sight; Chakshushya category,inferred_coherent
SIG040,plant_fig,Fig,ostiole,skull_vault,skeletal,small opening at base of fig dome = foramen magnum,fig compounds neurologically active,partial,D005;D006,surya;budha,Krittika,circular,Ayurveda;doctrine_of_signatures,0.70,SYNTHESIS,ostiole = the single opening where brainstem exits skull,inferred_coherent
SIG041,plant_tulsi,Tulsi,leaf_pair,lung_bronchial,respiratory,paired opposite leaves = bilateral lung lobes,eugenol specifically broncho-dilating,yes,D001;D002,surya;budha,Anuradha,branching,Ayurveda,0.80,OBSERVED:TRADITIONAL,natal: Anuradha=Jupiter=Tulsi; opposite leaf pairs mirror lung bilaterality,inferred_coherent
SIG042,plant_agarwood,Agarwood,resin_channels,nasal_cavity,respiratory,aromatic resin in wound channels = sinus mucous channels,volatile aromatics specifically sinus-clearing,yes,D001;D006,budha;rahu,Ardra,branching,Ayurveda;Unani;Chinese_medicine,0.76,SYNTHESIS,natal: Ardra=Rahu=Agarwood; resin channels mirror paranasal sinus drainage,inferred_coherent
SIG043,plant_jasmine,Jasmine,flower_form,eye_socket,sensory,star-shaped white flower = radial iris with white sclera,jasmine compounds calm ocular muscle tension,partial,D006,chandra;shukra,Rohini,radial,Ayurveda,0.68,INTERPRETATION,natal: Rohini=lagna=Jasmine; star flower = iris pattern,inferred_coherent
SIG044,plant_arjuna,Arjuna,bark_cross_section,heart_muscle,circulatory,layered bark with radial channels = myocardial fiber layers,arjunolic acid = specific cardiotonic,yes,D002;D003,surya;shani,Swati,radial;tensegrity,Ayurveda,0.90,OBSERVED:PRIMARY_TEXT,Vagbhata: Arjuna as hridayottama (best for heart); natal: Swati=Saturn=Arjuna,inferred_coherent
