metre_id,name_iast,correspondence_type,correspondence_value,secondary_value,weight,attestation_status,source,direction_overlay,vastu_zone_deity,vastu_element,nakshatra_overlay,notes
ved_pankti,Paṅkti,purpose,completion,ritual fullness,0.66,INTERPRETATION,"research_chandas.md",Upper,Brahma,ether,center / ether,"Ten-syllable extension often treated as full or complete"
ved_usnih,Uṣṇih,ritual_set,seven_primary_metres,canonical set,0.7,OBSERVED,"research_chandas.md",Unspecified,Unspecified,Unspecified,Unspecified,"Included in seven-metre ritual configuration"
ved_brhati,Bṛhatī,ritual_set,seven_primary_metres,canonical set,0.7,OBSERVED,"research_chandas.md",Unspecified,Unspecified,Unspecified,Unspecified,"Included in seven-metre ritual configuration"
cls_mandakranta,Mandākrāntā,rasa,śṛṅgāra (vipralambha),longing,0.9,OBSERVED,"Meghadūta scholarship; research_chandas.md",West,Varuna,water,water nakshatras,"Classic love-in-separation metre"
cls_mandakranta,Mandākrāntā,time_of_day,evening,seasonal longing,0.78,INTERPRETATION,"research_chandas.md",West,Varuna,water,water nakshatras,"Evening fits longing/landscape mood"
cls_shardulavikridita,Śārdūlavikrīḍita,purpose,grand praise,majestic address,0.74,INTERPRETATION,"research_chandas.md",South,Yama,fire,fire nakshatras,"Long 19-syllable line suits formal grandeur"
cls_malini,Mālinī,caesura,after_8,obligatory word-break,0.9,OBSERVED,"research_chandas.md",Unspecified,Unspecified,Unspecified,Unspecified,"Important generation constraint"
cls_vasantatilaka,Vasantatilakā,purpose,ornate kāvya,devotional or seasonal praise,0.72,INTERPRETATION,"research_chandas.md",East,Indra,fire,Hasta family,"Classical lyrical ornament"
jat_arya,Āryā,metric_type,mātrā_based,jāti,0.95,OBSERVED,"Macdonell; research_chandas.md",Unspecified,Unspecified,Unspecified,Unspecified,"Backend must count morae not syllables"
jat_vaitaliya,Vaitālīya,metric_type,mātrā_based,jāti,0.95,OBSERVED,"Macdonell; Vṛttaratnākara; research_chandas.md",Unspecified,Unspecified,Unspecified,Unspecified,"Explicitly treated in Vṛttaratnākara"
form_campu,Campū,purpose,mixed narrative,verse peaks in prose flow,0.9,OBSERVED,"research_chandas.md",Center,Brahma,ether,center / ether,"Macro-form not strict metre"
prose_sutra,Sūtra style,purpose,teaching,aphoristic manual,0.85,OBSERVED,"research_chandas.md",North,Kubera,earth,earth nakshatras,"Condensed rule-text"
prose_bhashya,Bhāṣya style,purpose,commentary,interpretive expansion,0.85,OBSERVED,"research_chandas.md",West,Varuna,water,water nakshatras,"Commentarial explanation loop"
prose_agamic,Āgamic prose,purpose,ritual instruction,procedural sequencing,0.9,OBSERVED,"research_chandas.md",East,Indra,fire,Hasta family,"Strong fit for ritual and Vāstu guidance"
vern_chaupai,Chaupāī,purpose,devotional epic,quatrain narrative,0.88,OBSERVED,"research_chandas.md",South,Yama,fire,fire nakshatras,"Core Rāmcaritmānas / Hanuman Chalisa style"
vern_doha,Dohā,purpose,aphorism,section hinge,0.84,OBSERVED,"research_chandas.md",North,Kubera,earth,earth nakshatras,"13+11 mātrā vernacular couplet"
vern_venpa,Veṇpā,purpose,wisdom verse,Tirukkuṟaḷ couplet engine,0.82,OBSERVED,"research_chandas.md",North,Kubera,earth,earth nakshatras,"Separate Tamil prosodic grammar"
vern_kriti,Kṛti / Kīrtana,purpose,devotional performance,pallavi-anupallavi-caraṇam,0.86,OBSERVED,"research_chandas.md",West,Varuna,water,water nakshatras,"Performance-form aligned to rāga/time"
