metre_id,name_iast,name_deva,syllables_per_pada,padas_per_verse,total_syllables,cadence_pattern,caesura_position,deity_correspondence,direction_correspondence,element_correspondence,rasa_primary,rasa_secondary,use_case,time_of_day,attestation_status,source
cls_shardulavikridita,Śārdūlavikrīḍita,शार्दूलविक्रीडित,19,4,76,"gaṇa-defined long classical vṛtta",after_12,unspecified,unspecified,fire,vīra,adbhuta,"grand praise; royal or expansive kāvya",unspecified,OBSERVED,"Vṛttaratnākara; later metrical authorities; research_chandas.md"
jat_arya,Āryā,आर्या,matra_based,4,matra_based,"mātrā-counted jāti metre; not syllable-counted",matra_grouping,unspecified,unspecified,unspecified,nīti,śānta,"gnomic or didactic composition",unspecified,OBSERVED,"Macdonell; research_chandas.md"
jat_vaitaliya,Vaitālīya,वैतालीय,matra_based,4,matra_based,"mātrā-counted jāti metre treated in Vṛttaratnākara",matra_grouping,unspecified,unspecified,air,karuṇā,adbhuta,"specialized jāti composition",night_or_liminal,OBSERVED,"Macdonell; Vṛttaratnākara; research_chandas.md"
form_campu,Campū,चम्पू,mixed,mixed,mixed,"mixed prose and verse macro-form",narrative_breaks,unspecified,unspecified,unspecified,adbhuta,śṛṅgāra,"narrative prose with verse peaks",unspecified,OBSERVED,"research_chandas.md citing campū descriptions"
vern_chaupai,Chaupāī,चौपाई,16_matra,4,64_matra,"vernacular mātrā-counted quatrain",line_end_pause,Rāma-bhakti tradition,unspecified,fire,bhakti,vīra,"devotional epic quatrain; Rāmcaritmānas; Hanuman Chalisa",evening_or_recitation,OBSERVED,"research_chandas.md citing Hindi prosody and Rāmcaritmānas scholarship"
vern_doha,Dohā,दोहा,13_plus_11_matra,2,48_matra,"13+11 mātrā pattern per line-pair; aphoristic hinge form",after_13,unspecified,unspecified,air,nīti,bhakti,"aphorism; devotional hinge between narrative sections",unspecified,OBSERVED,"research_chandas.md citing Hindi prosody"
vern_venpa,Veṇpā,வெண்பா,form_specific,2_or_4,form_specific,"Tamil prosodic grammar; not Sanskrit laghu/guru",tamil_seer_breaks,unspecified,unspecified,earth,śānta,nīti,"Tamil couplet and classical wisdom verse",unspecified,OBSERVED,"research_chandas.md citing Tirukkuṟaḷ / veṇpā material"
vern_kriti,Kṛti / Kīrtana,कृति / कीर्तन,mixed_sections,3_structural_parts,mixed,"pallavi-anupallavi-caraṇam performance form",sectional,devotional deity by composition,unspecified,water,bhakti,śṛṅgāra,"performance-first devotional song form",time_by_raga,OBSERVED,"research_chandas.md citing Carnatic structure"
prose_sutra,Sūtra style,सूत्र,prose,serial_aphorisms,prose,"condensed aphoristic rules; not syllable-governed",none,unspecified,unspecified,earth,nīti,śāstra,"teaching; concise manual; theorem-like statement",unspecified,OBSERVED,"research_chandas.md citing sutra definitions"
prose_bhashya,Bhāṣya style,भाष्य,prose,commentarial_units,prose,"expository commentary; gloss-expansion loop",quotation_breaks,unspecified,unspecified,water,nīti,śāstra,"commentary and interpretive exposition",unspecified,OBSERVED,"research_chandas.md citing bhāṣya definitions"
prose_puranic,Purāṇic prose,पुराणिक गद्य,prose,narrative_units,prose,"frame narrative with embedded tales and formulaic transitions",narrative_breaks,unspecified,unspecified,ether,adbhuta,śānta,"itihāsa-purāṇa narration",unspecified,INTERPRETATION,"research_chandas.md"
prose_agamic,Āgamic prose,आगमिक गद्य,prose,procedural_steps,prose,"technical ritual/procedural prose",stepwise_breaks,ritual deities by āgama,unspecified,fire,nīti,upāsanā,"ritual instruction; temple and worship procedure",ritual_time,OBSERVED,"research_chandas.md citing āgamic descriptions"
