amidha_id,name,link,preview,pacify,aggravate,tridosha,rasa,guna,virya,vipaka,prabhav,attestation_status
A0016,Karpura (Camphor),https://www.amidhaayurveda.com/2025/10/karpura-ayurvedic-uses-benefits-healing.html,"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",Kapha,Pitta,False,Tikta|Katu,Laghu|Ruksha,Sheeta,Katu,Kasahara|Shwasahara|Krimighna,OBSERVED:AMIDHA_CC_BY_4_0
A0017,Pushkarmool,https://www.amidhaayurveda.com/2025/10/pushkarmool-ayurvedic-uses-respiratory.html,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",Vata|Kapha,Pitta,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Kasahara|Shwasahara|Hrudya,OBSERVED:AMIDHA_CC_BY_4_0
A0018,Bakuchi,https://www.amidhaayurveda.com/2025/10/bakuchi-ayurvedic-uses-benefits-healing.html,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",Kapha,Pitta|Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Kushtaghna|Varnya|rasayan,OBSERVED:AMIDHA_CC_BY_4_0
A0019,Vidarikand,https://www.amidhaayurveda.com/2025/10/vidarikand-ayurvedic-uses-rejuvenating.html,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",Vata|Pitta,Kapha,False,Madhura,Guru|Snigdha,Sheeta,Madhura,Balya|rasayan|Vrishya,OBSERVED:AMIDHA_CC_BY_4_0
A0020,Ajmoda,https://www.amidhaayurveda.com/2025/10/ajmoda-ayurvedic-uses-benefits-healing.html,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",Kapha|Vata,Pitta,False,Katu|Tikta,Laghu|Ruksha,Ushna,Katu,Deepana|Pachana|Vatanulomana,OBSERVED:AMIDHA_CC_BY_4_0
A0021,Patola,https://www.amidhaayurveda.com/2025/10/patola-ayurvedic-uses-benefits-healing.html,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",Pitta,Vata,False,Tikta,Laghu|Ruksha,Sheeta,Katu,Raktashodhak|Jwaraghna|Kushtaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0022,Vrikshamla,https://www.amidhaayurveda.com/2025/10/vrikshamla-ayurvedic-uses-weight-loss.html,Helps in weight management and digestion. Rich in hydroxycitric acid.,Kapha,Pitta,False,Amla,Laghu,Ushna,Katu,Lekhana|Deepana|Medohara,OBSERVED:AMIDHA_CC_BY_4_0
A0023,Kumuda,https://www.amidhaayurveda.com/2025/10/kumuda-ayurvedic-uses-benefits-healing.html,"Useful in burning sensation, pitta disorders and fever.",Pitta,Kapha,False,Tikta|Kashaya,Laghu,Sheeta,Katu,Jwaraghna|Raktapittaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0024,Shigru,https://www.amidhaayurveda.com/2025/10/shigru-moringa-ayurvedic-uses-benefits.html,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",Kapha|Vata,Pitta,False,Katu|Tikta,Laghu|Ruksha,Ushna,Katu,Shothahara|Krimighna|Medohara,OBSERVED:AMIDHA_CC_BY_4_0
A0025,Parpataka,https://www.amidhaayurveda.com/2025/10/parpataka-ayurvedic-uses-benefits.html,"Reduces burning sensation, used in fever, acidity and liver ailments.",Pitta,Vata,False,Tikta,Laghu,Sheeta,Katu,Pittaghna|Jwaraghna,OBSERVED:AMIDHA_CC_BY_4_0
A0026,Indrayava,https://www.amidhaayurveda.com/2025/10/indrayava-ayurvedic-uses-digestive.html,"Treats diarrhea, dysentery and helps regulate bowel movements.",Kapha|Pitta,Vata,False,Tikta|Kashaya,Laghu|Ruksha,Sheeta,Katu,Grahi|Krimighna|Raktashodhak,OBSERVED:AMIDHA_CC_BY_4_0
A0027,Kapikachhu,https://www.amidhaayurveda.com/2025/10/kapikachhu-ayurvedic-uses-benefits.html,"Improves fertility, nervous strength and acts as aphrodisiac.",Vata,Kapha,False,Madhura,Snigdha,Ushna,Madhura,Vrishya|Balya|Medhya,OBSERVED:AMIDHA_CC_BY_4_0
A0028,Bala,https://www.amidhaayurveda.com/2025/10/bala-ayurvedic-uses-benefits-healing.html,"Improves strength and stamina, useful in vata disorders and nervous weakness.",Vata,Kapha,False,Madhura,Snigdha|Guru,Sheeta,Madhura,Balya|rasayan|Brimhaniya,OBSERVED:AMIDHA_CC_BY_4_0
A0029,Tamalpatra,https://www.amidhaayurveda.com/2025/10/tamalpatra-ayurvedic-uses-benefits.html,"Bay leaf improves appetite, respiration and balances kapha dosha.",Kapha|Vata,Pitta,False,Tikta|Katu,Laghu,Ushna,Katu,Deepana|Krimighna,OBSERVED:AMIDHA_CC_BY_4_0
A0030,Chitrak,https://www.amidhaayurveda.com/2025/10/chitrak-ayurvedic-uses-benefits-healing.html,"Ignites digestive fire, used in weight loss and ama digestion.",Kapha|Vata,Pitta,False,Katu,Laghu|Tikshna,Ushna,Katu,Deepana|Pachana|Lekhana,OBSERVED:AMIDHA_CC_BY_4_0
A0031,Tagar,https://www.amidhaayurveda.com/2025/10/tagar-ayurvedic-uses-benefits-healing.html,"Relieves stress, induces sleep and calms the nervous system.",Vata|Pitta,Kapha,False,Tikta,Guru,Sheeta,Madhura,Medhya|Nidrajanaka|rasayan,OBSERVED:AMIDHA_CC_BY_4_0
A0032,Khadira,https://www.amidhaayurveda.com/2025/10/khadira-ayurvedic-uses-benefits-healing.html,"Purifies blood, useful in skin diseases, leprosy, and itching.",Kapha|Pitta,Vata,False,Kashaya,Laghu|Ruksha,Sheeta,Katu,Raktashodhak|Kushtaghna|Grahi,OBSERVED:AMIDHA_CC_BY_4_0
A0033,Twak (Cinnamon),https://www.amidhaayurveda.com/2025/10/twak-cinnamon-ayurvedic-uses-benefits.html,"Stimulates digestion, circulation and balances kapha dosha.",Kapha|Vata,Pitta,False,Katu|Tikta,Laghu|Snigdha,Ushna,Katu,Deepana|Lekhana|Kasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0034,Ela,https://www.amidhaayurveda.com/2025/10/ela-ayurvedic-uses-benefits-healing.html,"Improves digestion, relieves nausea and freshens breath.",Kapha|Vata,Pitta,False,Madhura|Tikta,Laghu,Ushna,Katu,Deepana|Hridaya|Vatanulomana,OBSERVED:AMIDHA_CC_BY_4_0
A0035,Sariva,https://www.amidhaayurveda.com/2025/10/sariva-ayurvedic-uses-benefits-healing.html,"Sariva is known for its blood purifying and cooling properties, useful in skin disorders.",Pitta|Vata,Kapha,False,Madhura|Tikta,Guru|Snigdha,Sheeta,Madhura,Raktashodhak|Kushtaghna|Varnya,OBSERVED:AMIDHA_CC_BY_4_0
A0036,Gorakhmundi,https://www.amidhaayurveda.com/2025/10/gorakhmundi-ayurvedic-uses-benefits.html,"Used in urinary tract infections, liver disorders, and as a detoxifying herb.",Kapha|Pitta,Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Mutrala|Raktashodhak|Deepana,OBSERVED:AMIDHA_CC_BY_4_0
A0037,Kokilaksha,https://www.amidhaayurveda.com/2025/10/kokilaksha-ayurvedic-uses-benefits.html,"A nerve tonic and aphrodisiac, used for urinary and reproductive health.",Vata|Pitta,Kapha,False,Tikta,Laghu,Sheeta,Madhura,Vrishya|Balya|Mutrala,OBSERVED:AMIDHA_CC_BY_4_0
A0038,Mahamanjishthadi,/p/mahamanjishthadi.html,Classical Ayurvedic formulation used in blood purification and skin health.,Pitta,Vata|Kapha,False,Tikta|Kashaya,Laghu|Ruksha,Sheeta,Katu,Raktashodhak|Kushtaghna|Varnya,OBSERVED:AMIDHA_CC_BY_4_0
A0039,Yavani,/p/yavani.html,"Relieves abdominal pain, bloating and indigestion; acts as carminative.",Kapha|Vata,Pitta,False,Katu|Tikta,Laghu|Ruksha,Ushna,Katu,Deepana|Pachana|Vatanulomana,OBSERVED:AMIDHA_CC_BY_4_0
A0040,Bhunimba,/p/bhunimba.html,"Bhunimba is a bitter herb helpful in fever, liver disorders, and pitta conditions.",Pitta,Vata,False,Tikta,Laghu,Sheeta,Katu,Jwaraghna|Pittaghna|Raktaprasadak,OBSERVED:AMIDHA_CC_BY_4_0
A0041,Chavya,/p/chavya.html,Promotes digestion and clears ama; excellent for vata and kapha conditions.,Kapha|Vata,Pitta,False,Katu,Laghu|Tikshna,Ushna,Katu,Deepana|Pachana|Krimighna,OBSERVED:AMIDHA_CC_BY_4_0
A0042,Panchatikta Ghrita,/p/panchatikta-ghrita.html,"Classic Ayurvedic formulation used in skin diseases, detox and pitta disorders.",Pitta|Kapha,Vata,False,Tikta,Snigdha|Guru,Sheeta,Madhura,Raktashodhak|Varnya|Kushtaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0043,Palasha,/p/palasha.html,"Known for its anti-helminthic properties, Palasha helps eliminate intestinal parasites.",Kapha|Pitta,Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Krimighna|Raktashodhak|Shothahara,OBSERVED:AMIDHA_CC_BY_4_0
A0044,Karanja,/p/karanja.html,"Used in skin disorders, leprosy, and inflammation due to its detoxifying nature.",Kapha,Pitta|Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Kushtaghna|Vranashodhak|Krimighna,OBSERVED:AMIDHA_CC_BY_4_0
A0045,Ahiphena,/p/ahiphena.html,Processed opium used in Ayurveda for severe pain and diarrhea management under supervision.,Vata,Kapha|Pitta,False,Tikta|Katu,Guru|Snigdha,Ushna,Katu,Vedanasthapana|Grahi,OBSERVED:AMIDHA_CC_BY_4_0
A0046,Danti,/p/danti.html,Strong purgative used in detox and management of constipation and ascites.,Kapha|Vata,Pitta,False,Katu,Tikshna|Laghu,Ushna,Katu,Rechana|Shothahara,OBSERVED:AMIDHA_CC_BY_4_0
A0047,Eranda,/p/eranda.html,"Castor plant used for joint pain, digestive issues and vata-related disorders.",Vata,Pitta|Kapha,False,Madhura|Katu,Snigdha|Guru,Ushna,Madhura,Vatanulomana|Shoolahara,OBSERVED:AMIDHA_CC_BY_4_0
A0048,Guggulu,/p/guggulu.html,"Excellent for arthritis, high cholesterol, and detoxification.",Kapha|Vata,Pitta,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Lekhana|Shothahara|Vranashodhak,OBSERVED:AMIDHA_CC_BY_4_0
A0049,Bhallataka,/p/bhallataka.html,"Powerful digestive and stimulant, used under medical supervision for vata disorders.",Kapha|Vata,Pitta,False,Katu|Tikta,Tikshna|Laghu,Ushna,Katu,Shothahara|Pachana,OBSERVED:AMIDHA_CC_BY_4_0
A0050,Mandura Bhasma,/p/mandura-bhasma.html,"Iron-rich formulation for anemia, liver function, and strength.",Kapha|Pitta,Vata,False,Tikta,Laghu,Sheeta,Madhura,Raktavardhak|rasayana,OBSERVED:AMIDHA_CC_BY_4_0
A0051,Vasaka,/p/vasaka.html,"Effective in bronchitis, asthma and respiratory disorders.",Pitta|Kapha,Vata,False,Tikta|Kashaya,Laghu,Sheeta,Katu,Shwasahara|Kasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0052,Laksha,/p/laksha.html,"Used in bone healing, fractures, and skin diseases.",Pitta|Kapha,Vata,False,Tikta|Kashaya,Ruksha,Sheeta,Katu,Asthisandhanakara|Raktastambhaka,OBSERVED:AMIDHA_CC_BY_4_0
A0053,Talisapatra,/p/talisapatra.html,"Useful in cough, asthma, cold and sore throat.",Kapha|Vata,Pitta,False,Katu,Laghu,Ushna,Katu,Kasahara|Shwasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0054,Tamalaki,/p/tamalaki.html,"Effective in liver diseases, hepatitis, jaundice and digestion.",Pitta|Kapha,Vata,False,Tikta,Laghu,Sheeta,Katu,Yakrituttejaka|Pachana,OBSERVED:AMIDHA_CC_BY_4_0
A0055,Shirisha,/p/shirisha.html,Main anti-allergic herb; used in poisoning and respiratory issues.,Kapha,Pitta|Vata,False,Tikta|Kashaya,Laghu|Ruksha,Sheeta,Katu,Vishaghna|Shwasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0056,Babbula,/p/babbula.html,"Effective in dental issues, bleeding gums, and skin ailments.",Kapha|Pitta,Vata,False,Kashaya,Ruksha|Laghu,Sheeta,Katu,Dantya|Vranashodhak,OBSERVED:AMIDHA_CC_BY_4_0
A0057,Kumkuma,/p/kumkuma.html,"Saffron used for complexion, mood elevation, and female fertility.",Vata|Pitta,Kapha,False,Tikta|Madhura,Laghu,Ushna,Madhura,Varnya|rasayana|Stanyajanana,OBSERVED:AMIDHA_CC_BY_4_0
A0058,Bilva,/p/bilva.html,"Bilva is useful in digestive disorders, diarrhea, and IBS due to its binding effect.",Kapha|Vata,Pitta,False,Kashaya|Tikta,Laghu|Ruksha,Ushna,Katu,Grahi|Deepana,OBSERVED:AMIDHA_CC_BY_4_0
A0059,Shatavari Ksheera,/p/shatavari-ksheera.html,Milk decoction of Shatavari acts as a rejuvenator and fertility enhancer.,Vata|Pitta,Kapha,False,Madhura,Snigdha|Guru,Sheeta,Madhura,rasayana|Stanyajanana,OBSERVED:AMIDHA_CC_BY_4_0
A0060,Ashoka,/p/ashoka.html,"A prime uterine tonic, it regulates menstruation and reduces cramps.",Pitta|Kapha,Vata,False,Tikta|Kashaya,Laghu,Sheeta,Katu,Yonishodhana|Stambhana,OBSERVED:AMIDHA_CC_BY_4_0
A0061,Devadaru,/p/devadaru.html,"Useful in cough, cold and joint pain due to its anti-inflammatory action.",Kapha|Vata,Pitta,False,Tikta,Laghu,Ushna,Katu,Shothahara|Kasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0062,Patala,/p/patala.html,"Used in Dashamoola formulation, helps in vata disorders and pain relief.",Vata,Kapha|Pitta,False,Tikta,Laghu|Snigdha,Ushna,Madhura,Vatanulomana|Shoolahara,OBSERVED:AMIDHA_CC_BY_4_0
A0063,Ashwagandharishta,/p/ashwagandharishta.html,"Ayurvedic tonic used for debility, stress and nerve regeneration.",Vata|Kapha,Pitta,False,Madhura|Tikta,Guru|Snigdha,Ushna,Madhura,rasayana|Balya,OBSERVED:AMIDHA_CC_BY_4_0
A0064,Dhataki,/p/dhataki.html,"Flowers used in fermentation, female health and diarrhea treatment.",Pitta|Kapha,Vata,False,Kashaya|Tikta,Laghu,Sheeta,Katu,Yonishodhana|Grahi,OBSERVED:AMIDHA_CC_BY_4_0
A0065,Agnikumarika,/p/agnikumarika.html,Used in piles and anorectal disorders; balances agni and clears toxins.,Kapha,Pitta,False,Katu|Tikta,Laghu|Tikshna,Ushna,Katu,Pachana|Rechana,OBSERVED:AMIDHA_CC_BY_4_0
A0066,Yava,/p/yava.html,"Barley grain improves digestion, is diuretic and ideal in obesity.",Kapha|Pitta,Vata,False,Kashaya|Madhura,Laghu|Ruksha,Sheeta,Katu,Lekhana|Mutrala,OBSERVED:AMIDHA_CC_BY_4_0
A0067,Masha,/p/masha.html,"Black gram nourishes muscles, increases strength and semen.",Vata,Kapha|Pitta,False,Madhura,Guru|Snigdha,Ushna,Madhura,Balya|Brimhaniya,OBSERVED:AMIDHA_CC_BY_4_0
A0068,Chana,/p/chana.html,Bengal gram is nourishing and helps in muscle building.,Vata,Pitta|Kapha,False,Kashaya,Guru|Ruksha,Sheeta,Katu,Brimhana|Vrishya,OBSERVED:AMIDHA_CC_BY_4_0
A0069,Matulunga,/p/matulunga.html,"Citrus lemon balances vata, aids digestion and appetite.",Vata,Pitta,False,Amla,Laghu,Ushna,Madhura,Agnideepana|Vatanulomana,OBSERVED:AMIDHA_CC_BY_4_0
A0070,Dadima,/p/dadima.html,Pomegranate enhances appetite and relieves burning sensation.,Pitta,Kapha,False,Madhura|Kashaya,Laghu,Sheeta,Madhura,Raktaprasadana|Agnivardhaka,OBSERVED:AMIDHA_CC_BY_4_0
A0071,Tinduka,/p/tinduka.html,"Used in dysentery, ulcers, and excessive menstruation.",Pitta,Kapha|Vata,False,Kashaya,Laghu|Ruksha,Sheeta,Katu,Grahi|Raktastambhaka,OBSERVED:AMIDHA_CC_BY_4_0
A0072,Draksha,/p/draksha.html,"Grapes are nourishing and relieve thirst, fatigue, and constipation.",Vata|Pitta,Kapha,False,Madhura|Amla,Guru|Snigdha,Sheeta,Madhura,rasayana|Balya,OBSERVED:AMIDHA_CC_BY_4_0
A0073,Chakramarda,/p/chakramarda.html,"Effective in skin disorders, ringworm, and constipation.",Kapha,Pitta,False,Tikta|Kashaya,Laghu,Ushna,Katu,Kushtaghna|Rechana,OBSERVED:AMIDHA_CC_BY_4_0
A0074,Amalaki rasayana,/p/amalaki-rasayana.html,Formulation of Amla for rejuvenation and anti-aging.,tridosha,,True,Amla,Laghu|Snigdha,Sheeta,Madhura,rasayana|Varnya|Raktashodhak,OBSERVED:AMIDHA_CC_BY_4_0
A0075,Pashanabheda,/p/pashanabheda.html,"Effective in kidney stones, urinary infections, and painful urination.",Pitta|Kapha,Vata,False,Tikta|Kashaya,Laghu|Ruksha,Sheeta,Katu,Ashmaribhedana|Mutrala,OBSERVED:AMIDHA_CC_BY_4_0
A0076,Lodhra,/p/lodhra.html,"Beneficial in gynecological issues, acne, and bleeding disorders.",Pitta|Kapha,Vata,False,Kashaya,Laghu|Ruksha,Sheeta,Katu,Raktaprasadana|Yonishodhana,OBSERVED:AMIDHA_CC_BY_4_0
A0077,Jati,/p/jati.html,"Useful for joint pain, inflammation and respiratory conditions.",Kapha|Vata,Pitta,False,Katu|Tikta,Laghu|Tikshna,Ushna,Katu,Vedanasthapana|Kasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0078,Shalparni,/p/shalparni.html,"Part of Dashamoola, balances Vata, relieves fatigue and strengthens body.",Vata,Kapha|Pitta,False,Madhura|Tikta,Guru|Snigdha,Sheeta,Madhura,rasayana|Vatanulomana,OBSERVED:AMIDHA_CC_BY_4_0
A0079,Kantakari,/p/kantakari.html,"Effective in asthma, cough, and respiratory diseases.",Vata|Kapha,Pitta,False,Katu|Tikta,Laghu|Ruksha,Ushna,Katu,Shwasahara|Kasahara,OBSERVED:AMIDHA_CC_BY_4_0
A0080,Gambhari,/p/gambhari.html,"Used in Dashamoola; helps with inflammation, pain, and Vata disorders.",Vata,Kapha,False,Tikta|Kashaya,Laghu|Snigdha,Sheeta,Katu,Shothahara|Balya,OBSERVED:AMIDHA_CC_BY_4_0
A0081,Gojihva,/p/gojihva.html,"Cools the body, improves immunity and reduces burning sensation.",Pitta,Kapha,False,Tikta,Laghu,Sheeta,Madhura,Trishnahara|Raktaprasadana,OBSERVED:AMIDHA_CC_BY_4_0
A0082,Satavari Ghrita,/p/satavari-ghrita.html,"Ghee formulation used in female fertility, burning sensation and fatigue.",Vata|Pitta,Kapha,False,Madhura,Guru|Snigdha,Sheeta,Madhura,Stanyajanana|rasayana,OBSERVED:AMIDHA_CC_BY_4_0
A0083,Aparajita,/p/aparajita.html,"Used for skin diseases, swelling, and mental rejuvenation.",Pitta|Kapha,Vata,False,Tikta,Laghu,Sheeta,Katu,Medhya|Kushtaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0084,Meshashringi,/p/meshashringi.html,Known for regulating blood sugar and metabolism.,Kapha|Pitta,Vata,False,Tikta|Katu,Laghu,Sheeta,Katu,Pramehaghna|Medohara,OBSERVED:AMIDHA_CC_BY_4_0
A0085,Ikshu,/p/ikshu.html,"Sugarcane improves energy, acts as diuretic and cooling.",Pitta|Vata,Kapha,False,Madhura,Guru|Snigdha,Sheeta,Madhura,Trishnahara|Mutrala,OBSERVED:AMIDHA_CC_BY_4_0
A0086,Amrita,/p/amrita.html,"Divine herb for immunity, detox and chronic fevers.",tridosha,,True,Tikta|Kashaya,Laghu,Ushna,Madhura,rasayana|Jwaraghna,OBSERVED:AMIDHA_CC_BY_4_0
A0087,Shigru Patra,/p/shigru-patra.html,"Drumstick leaves improve nutrition, blood, and joint health.",Vata|Kapha,Pitta,False,Katu|Tikta,Laghu,Ushna,Katu,Balya|Amapachana,OBSERVED:AMIDHA_CC_BY_4_0
A0088,Haridra,/p/haridra.html,Turmeric is powerful anti-inflammatory and detoxifying herb.,Kapha|Pitta,Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Kushtaghna|Raktashodhak,OBSERVED:AMIDHA_CC_BY_4_0
A0089,Mandukparni,/p/mandukparni.html,"Supports memory, intellect and improves mental function.",Vata|Pitta,Kapha,False,Tikta,Laghu,Sheeta,Madhura,Medhya|rasayana,OBSERVED:AMIDHA_CC_BY_4_0
A0090,Vatsanabha,/p/vatsanabha.html,"Processed aconite, used in fevers, pain and digestion.",Vata,Pitta|Kapha,False,Tikta|Katu,Tikshna|Laghu,Ushna,Katu,Vedanasthapana|Jwaraghna,OBSERVED:AMIDHA_CC_BY_4_0
A0091,Ushira,/p/ushira.html,"Vetiver root is cooling, soothing and diuretic.",Pitta|Vata,Kapha,False,Tikta|Madhura,Laghu|Snigdha,Sheeta,Madhura,Trishnahara|Dahashamana,OBSERVED:AMIDHA_CC_BY_4_0
A0092,Kiratatikta,/p/kiratatikta.html,"Bitter tonic used for fever, appetite, and digestion.",Pitta|Kapha,Vata,False,Tikta,Laghu|Ruksha,Sheeta,Katu,Jwaraghna|Agnideepana,OBSERVED:AMIDHA_CC_BY_4_0
A0093,Shilajit,/p/shilajit.html,Famous rejuvenator and energy booster for all ages.,Kapha|Vata,Pitta,False,Katu|Tikta,Laghu,Ushna,Katu,rasayana|Balya,OBSERVED:AMIDHA_CC_BY_4_0
A0094,Kachnar,/p/kachnar.html,Reduces glandular swelling and improves thyroid function.,Kapha|Pitta,Vata,False,Kashaya,Laghu|Ruksha,Sheeta,Katu,Galaganda|Shothahara,OBSERVED:AMIDHA_CC_BY_4_0
A0095,Kusha,/p/kusha.html,Sacred grass used for purification and urinary issues.,Pitta,Kapha|Vata,False,Tikta,Laghu,Sheeta,Katu,Mutrala|tridoshahara,OBSERVED:AMIDHA_CC_BY_4_0
A0096,Bimbi,/p/bimbi.html,"Used in diabetes, obesity, and blood sugar regulation.",Kapha|Pitta,Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Pramehaghna|Medohara,OBSERVED:AMIDHA_CC_BY_4_0
A0097,Kumud,/p/kumud.html,"Lotus flower, calming for heart and mind.",Pitta|Vata,Kapha,False,Madhura|Tikta,Laghu,Sheeta,Madhura,Hridya|Raktaprasadana,OBSERVED:AMIDHA_CC_BY_4_0
A0098,Bala Mool,/p/bala-mool.html,Root used for strengthening nerves and muscles.,Vata,Kapha,False,Madhura,Snigdha|Guru,Sheeta,Madhura,Balya|Brimhaniya,OBSERVED:AMIDHA_CC_BY_4_0
