entity_id,file_path,status,what_it_does,inputs,outputs,imports_from,imported_by,surprising_findings,recommendation,attestation_status
npu_mudra_graph,npu_engine/mudra_graph.py,partial,Mudra selection from field,,get_mudra_for_field(),,relational_synth,Consumed by relational_synth only,,inferred_coherent
npu_sarangi_voice,npu_engine/sarangi_voice.py,partial,Bowed gut string synthesis,,SarangiVoice,,none,Not wired to any output,Wire to audio output,inferred_coherent
npu_tabla_sampler,npu_engine/tabla_sampler.py,partial,Tabla sample rendering - 7 samples,,render_tala_beat();load_samples(),,om.py,,,inferred_coherent
npu_init,npu_engine/__init__.py,working,Package init - exports FieldState + build_field_state,build_field_state;field_state,,build_field_state;field_state,kernel.py,,,inferred_coherent
npu_sound_engine,npu_engine/sound/sound_engine.py,working,Sound spec derivation - 6 layers,,derive_sound_spec(),,kernel.py(/spine;/sound/spec),6 layers on port 57120 - tension with mix/ 11 layers on 57121,Reconcile sound/ vs mix/ layer models,inferred_coherent
npu_osc_bridge,npu_engine/sound/osc_bridge.py,working,OSC -> SuperCollider bridge,,send_sound_spec(),,kernel.py,Port 57120 - pythonosc,,inferred_coherent
npu_sound_init,npu_engine/sound/__init__.py,working,Sound subpackage init,,,,sound_engine;osc_bridge,,,inferred_coherent
npu_field_intention_engine,npu_engine/field/intention_engine.py,working,Intention-based calendar,,classify_intention();derive_windows();score_moment(),,kernel.py(/intention/*),Reads datasets/views/intention_rules.csv,,inferred_coherent
npu_field_system_engine,npu_engine/field/system_engine.py,working,System self-model + audio route,,derive_system_state();derive_audio_route();check_audio_connections(),,kernel.py(/system/*);start.sh,Reads datasets/system/*.csv and probes running processes,,inferred_coherent
npu_field_code_engine,npu_engine/field/code_engine.py,working,Code analysis engine,,,,not imported by kernel,Not imported by kernel.py,Evaluate if needed,inferred_coherent
npu_field_init,npu_engine/field/__init__.py,working,Field subpackage init,,,,field modules,,,inferred_coherent
npu_engines_init,npu_engine/engines/__init__.py,working,S0-S6 zone engines - 9 ZoneEngine subclasses,base_engine + 8 zone engines,ENGINES;CENTER;ENGINE_MAP,base_engine;action_engine;archetype_engine;body_engine;center_engine;codex_engine;ecology_engine;plant_engine;rhythm_engine;sound_engine,kernel.py,,,inferred_coherent
npu_engines_base_engine,npu_engine/engines/base_engine.py,working,ZoneEngine base class,,ZoneEngine,,engines/__init__.py,,,inferred_coherent
npu_engines_center_engine,npu_engine/engines/center_engine.py,working,CENTER zone (Brahmasthana),,CenterEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_archetype_engine,npu_engine/engines/archetype_engine.py,working,S1 Archetype zone engine,,ArchetypeEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_sound_engine,npu_engine/engines/sound_engine.py,working,S2 Sound zone engine,,SoundEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_rhythm_engine,npu_engine/engines/rhythm_engine.py,working,S3 Rhythm zone engine,,RhythmEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_body_engine,npu_engine/engines/body_engine.py,working,S4 Body/Geometry zone engine,,BodyEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_plant_engine,npu_engine/engines/plant_engine.py,working,S5 Plant zone engine,,PlantEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_ecology_engine,npu_engine/engines/ecology_engine.py,working,S5 Ecology zone engine,,EcologyEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_action_engine,npu_engine/engines/action_engine.py,working,S6 Action zone engine,,ActionEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_engines_codex_engine,npu_engine/engines/codex_engine.py,working,S6 Codex zone engine,,CodexZoneEngine,base_engine,engines/__init__.py,,,inferred_coherent
npu_mix_kernel,npu_engine/mix/mix_kernel.py,working,11-layer relational mixing graph -> OSC (threaded),layer_graph + 6 mix modules,MixKernel.start();.stop();.load_from_field(),layer_graph;authority_mix;deity_mix;guna_mix;nakshatra_mix;sam_mix;mix_osc;mix_history,none,Complete but not instantiated anywhere. Has .start()/.stop()/.load_from_field(),Instantiate in kernel or om.py when SC audio resolves,inferred_coherent
npu_mix_layer_graph,npu_engine/mix/layer_graph.py,working,11-layer graph: tanpura/mantra_drone/vocal_pad/tabla/konnakol/bol/melody/vocal_line/pad/electronic/bija,,LayerGraph;LAYERS,,mix_kernel,Rasa x arc x mode -> weights,,inferred_coherent
npu_mix_authority_mix,npu_engine/mix/authority_mix.py,working,Authority -> confidence mapping (uncertain=more drone),,authority_mix(),,mix_kernel,uncertain=more drone is a beautiful design choice,,inferred_coherent
npu_mix_deity_mix,npu_engine/mix/deity_mix.py,working,Deity -> layer modulation,,deity_mix(),,mix_kernel,,,inferred_coherent
npu_mix_guna_mix,npu_engine/mix/guna_mix.py,working,Guna -> layer modulation,,guna_mix(),,mix_kernel,,,inferred_coherent
npu_mix_nakshatra_mix,npu_engine/mix/nakshatra_mix.py,working,Nakshatra -> layer modulation,,nakshatra_mix(),,mix_kernel,,,inferred_coherent
npu_mix_sam_mix,npu_engine/mix/sam_mix.py,working,Sam-gravity -> layer modulation,,sam_mix(),,mix_kernel,,,inferred_coherent
npu_mix_osc,npu_engine/mix/mix_osc.py,working,OSC output for mix -> port 57121,,send_mix(),,mix_kernel,Port 57121 - different from sound/ port 57120,,inferred_coherent
npu_mix_history,npu_engine/mix/mix_history.py,working,Mix state history / transitions,,MixHistory,,mix_kernel,,,inferred_coherent
npu_mix_graph_seed_data,npu_engine/mix/graph_seed_data.py,working,Seed data for mix layer graph,,SEED_DATA,,mix_kernel,,,inferred_coherent
npu_mix_init,npu_engine/mix/__init__.py,working,Mix subpackage init,,,,mix modules,,,inferred_coherent
npu_rhythm_kernel,npu_engine/rhythm/rhythm_kernel.py,working,Tala/theka -> OSC (threaded),tala_graph + 6 rhythm modules,RhythmKernel.start();.stop();.load_from_field(),tala_graph;theka_engine;tihai_engine;layakari_engine;fill_engine;cross_rhythm_engine;sam_field;rhythm_osc,none,Complete but not instantiated anywhere. 8 talas / 22 bols with rasa+hand+resonance,Instantiate when SC audio resolves,inferred_coherent
npu_rhythm_tala_graph,npu_engine/rhythm/tala_graph.py,working,Tala graph structures - 8 talas,,TALA_GRAPHS;get_tala_graph(),,rhythm_kernel,,,inferred_coherent
npu_rhythm_theka_engine,npu_engine/rhythm/theka_engine.py,working,Theka pattern generation - 22 bols with rasa/hand/resonance,,ThekaEngine;generate_theka(),,rhythm_kernel,22 bols each with rasa/hand/resonance metadata,,inferred_coherent
npu_rhythm_tihai_engine,npu_engine/rhythm/tihai_engine.py,working,Tihai computation - 3P+2G=distance,,TihaiEngine;compute_tihai(),,rhythm_kernel,3P+2G=distance formula for tihai resolution,,inferred_coherent
npu_rhythm_layakari_engine,npu_engine/rhythm/layakari_engine.py,working,Layakari smoothing,,LayakariEngine;apply_layakari(),,rhythm_kernel,,,inferred_coherent
npu_rhythm_fill_engine,npu_engine/rhythm/fill_engine.py,working,Fill patterns,,FillEngine;generate_fill(),,rhythm_kernel,,,inferred_coherent
npu_rhythm_cross_rhythm_engine,npu_engine/rhythm/cross_rhythm_engine.py,working,Cross-rhythm with LCM resolution,,CrossRhythmEngine;compute_cross(),,rhythm_kernel,Uses LCM for cross-rhythm resolution,,inferred_coherent
npu_rhythm_sam_field,npu_engine/rhythm/sam_field.py,working,Sam-gravity field for rhythm,,SamField;compute_sam_gravity(),,rhythm_kernel,Sam-gravity permeates the entire rhythm subsystem,,inferred_coherent
npu_rhythm_osc,npu_engine/rhythm/rhythm_osc.py,working,OSC output for rhythm,,send_rhythm(),,rhythm_kernel,,,inferred_coherent
npu_rhythm_graph_seed_data,npu_engine/rhythm/graph_seed_data.py,working,Seed data for tala graph,,SEED_DATA,,rhythm_kernel,,,inferred_coherent
npu_rhythm_init,npu_engine/rhythm/__init__.py,working,Rhythm subpackage init,,,,rhythm modules,,,inferred_coherent
npu_sympathetic_kernel,npu_engine/sympathetic/sympathetic_kernel.py,working,13 JI-tuned taraf strings -> OSC (threaded),string_model;excitation;sympathetic_osc,SympatheticKernel.start();.stop();.load_from_field(),string_model;excitation;sympathetic_osc,none,Complete but not instantiated. 13 strings / cross-source excitation / 30Hz processing,Instantiate when SC audio resolves,inferred_coherent
npu_sympathetic_string_model,npu_engine/sympathetic/string_model.py,working,13 JI-tuned sympathetic string model,,StringModel;STRINGS,,sympathetic_kernel,13 strings tuned to just intonation ratios,,inferred_coherent
npu_sympathetic_excitation,npu_engine/sympathetic/excitation.py,working,Cross-source excitation: melody>vocal>dayan>bayan,,ExcitationModel;compute_excitation(),,sympathetic_kernel,Cascade priority: melody > vocal > dayan > bayan,,inferred_coherent
npu_sympathetic_osc,npu_engine/sympathetic/sympathetic_osc.py,working,OSC output for sympathetic strings,,send_sympathetic(),,sympathetic_kernel,,,inferred_coherent
npu_sympathetic_init,npu_engine/sympathetic/__init__.py,working,Sympathetic subpackage init,,,,sympathetic modules,,,inferred_coherent
npu_vocal_kernel,npu_engine/vocal/vocal_kernel.py,working,Formant vocal engine (threaded),bhava_engine + 5 vocal modules,VocalKernel.start();.stop();.load_from_field(),bhava_engine;gamaka_engine;phoneme_graph;svara_voice;syllable_sequencer;breath_engine;vocal_osc,none,NOT YET WIRED. 49 matrika phonemes with formants citing Peterson & Barney 1952,Wire to audio output - this is real substantial work,inferred_coherent
npu_vocal_bhava_engine,npu_engine/vocal/bhava_engine.py,working,8 bhava states -> vocal expression,,BhavaEngine;BHAVAS,,vocal_kernel,8 bhava states mapped to vocal parameters,,inferred_coherent
npu_vocal_gamaka_engine,npu_engine/vocal/gamaka_engine.py,working,12 gamaka types for vocal ornamentation,,GamakaEngine;GAMAKA_TYPES,,vocal_kernel,12 gamaka types - full ornament system,,inferred_coherent
npu_vocal_phoneme_graph,npu_engine/vocal/phoneme_graph.py,working,49 matrika phonemes with formant data,,PhonemeGraph;MATRIKA,,vocal_kernel,Cites Peterson & Barney 1952 for formant values. Authority->timing: shastra=0ms / inference=50ms,,inferred_coherent
npu_vocal_svara_voice,npu_engine/vocal/svara_voice.py,working,Svara -> vocal pitch mapping,,SvaraVoice,,vocal_kernel,,,inferred_coherent
npu_vocal_syllable_sequencer,npu_engine/vocal/syllable_sequencer.py,working,Syllable sequencing for vocal output,,SyllableSequencer,,vocal_kernel,,,inferred_coherent
npu_vocal_breath_engine,npu_engine/vocal/breath_engine.py,working,Breath modeling for vocal realism,,BreathEngine,,vocal_kernel,,,inferred_coherent
npu_vocal_osc,npu_engine/vocal/vocal_osc.py,working,OSC output for vocal,,send_vocal(),,vocal_kernel,,,inferred_coherent
npu_vocal_graph_seed_data,npu_engine/vocal/graph_seed_data.py,working,Seed data for vocal phoneme graph,,SEED_DATA,,vocal_kernel,,,inferred_coherent
npu_vocal_init,npu_engine/vocal/__init__.py,working,Vocal subpackage init,,,,vocal modules,,,inferred_coherent
npu_tests_init,npu_engine/tests/__init__.py,stub,Empty file - 0 bytes,,,,,,Write tests,inferred_coherent
npu_tests_test_toroid,npu_engine/tests/test_toroid.py,stub,Empty file - 0 bytes,,,,,,Write toroidal_field tests,inferred_coherent
