plant_id,latin_name,common_name,family,layer,guild_function_primary,nitrogen_fixer,succession_role,water_relationship,root_architecture,allelopathic,allelopathic_target,good_companions,conflict_plants,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,ecoregion,hardiness_zone_min,hardiness_zone_max,edibility_rating,medicinal_rating,other_uses_rating,mature_height_m,soil,shade,moisture,attestation,source,attestation_status
GM018,Apios americana,Ground Nut,Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,drought_tolerant,tuber,no,,,,no,no,no,no,no,no,eastern_woodlands,3,7,5,1,3,1.2,LM,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM019,Apios priceana,Traveler's delight,Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,mesic,tuber,no,,,,no,no,no,no,no,no,eastern_woodlands,6,9,5,0,3,3.0,LM,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM020,Aralia nudicaulis,Wild Sarsaparilla,Araliaceae,groundcover,groundcover,no,mid_successional,mesic,rhizomatous,no,,,,no,no,no,no,no,no,appalachian,4,8,4,3,3,0.4,LMH,FS,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM021,Artocarpus altilis,Breadfruit,Moraceae,canopy,pest_confuser,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,pacific_nw,10,12,5,4,4,18.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM022,Astragalus canadensis,"Canadian Milkvetch, Shorttooth Canadian milkvetch, Morton's Canadian milkvetch",Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,drought_tolerant,rhizomatous,no,,,,no,no,no,no,no,no,great_plains,7,10,3,2,3,1.0,LM,N,D,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM023,Astragalus crassicarpus,"Ground Plum, Groundplum milkvetch",Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,6,9,4,1,3,0.5,LM,N,D,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM024,Cajanus cajan,"Pigeon Pea, Puerto Rico Bean, Gandul, Dhal, Congo Pea",Fabaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,yes,no,no,eastern_woodlands,9,12,4,2,4,4.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM025,Camassia quamash,"Quamash, Small camas, Utah small camas, Walpole's small camas",Hyacinthaceae,root,pollinator_attractor,no,mid_successional,drought_tolerant,rhizomatous,no,,,,no,no,no,no,no,no,pacific_nw,3,7,5,1,3,0.3,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM026,Canavalia gladiata,Sword Bean,Fabaceae,groundcover,nitrogen_fixer,yes,mid_successional,drought_tolerant,deep_taproot,no,,,,yes,no,no,no,yes,no,great_plains,10,12,3,2,3,10.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM027,Cannabis sativa,"Hemp, Marijuana",Cannabidaceae,groundcover,pollinator_attractor,no,pioneer,moisture_loving,fibrous_shallow,no,,,,yes,yes,yes,yes,yes,yes,great_plains,8,11,4,4,4,2.5,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM028,Caragana arborescens,"Siberian Pea Tree, Siberian peashrub",Fabaceae or Leguminosae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,2,7,5,1,4,6.0,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM029,Carica papaya,"Papaya, Mamo, Melon Tree",Caricaceae,understory,support,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,9,12,5,3,3,8.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM030,Ceanothus americanus,"New Jersey Tea, Wild Snowball",Rhamnaceae,shrub,nitrogen_fixer,yes,early_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,gulf_coast,4,9,3,3,3,1.2,LM,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM031,Citrus x meyeri,Lemon,Rutaceae,shrub,pest_confuser,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,pacific_nw,8,11,3,5,5,3.0,MH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM032,Cocos nucifera,"Coconut Palm, Coconut",Arecaceae,canopy,pest_confuser,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,5,2,5,25.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM033,Comptonia peregrina,Sweet Fern,Myricaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,3,6,3,3,3,1.5,LM,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM034,Comptonia peregrina asplenifolia,Sweet Fern,Myricaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,4,8,3,3,3,1.2,LM,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM035,Crataegus ellwangeriana,Scarlet Hawthorn,Rosaceae,understory,support,no,mid_successional,moisture_loving,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,5,7,5,2,2,6.0,LMH,SN,MWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM036,Dioscorea batatas,Chinese Yam,Dioscoreaceae,groundcover,support,no,mid_successional,mesic,tuber,no,,,,no,no,no,no,no,no,pacific_nw,4,11,5,5,3,3.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM037,Elaeagnus angustifolia,"Oleaster, Russian olive",Elaeagnaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,2,7,4,2,4,7.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM038,Elaeagnus commutata,Silverberry,Elaeagnaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,2,6,3,2,4,3.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM039,Elaeagnus multiflora,"Goumi, Cherry silverberry",Elaeagnaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,pacific_nw,5,9,5,2,3,3.0,LMH,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM040,Elaeagnus pungens,"Elaeagnus, Thorny olive, Thorny Elaeagnus, Oleaster, Silverberry,  Silverthorn, Pungent  Elaeagnus",Elaeagnaceae,shrub,nitrogen_fixer,yes,early_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,6,10,5,2,3,4.0,LMH,FSN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM041,Erythronium americanum,"Trout Lily, Dogtooth violet",Liliaceae,root,groundcover,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,gulf_coast,3,7,4,1,3,0.2,LM,S,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM042,Fagopyrum esculentum,Buckwheat,Polygonaceae,groundcover,pollinator_attractor,no,pioneer,drought_tolerant,fibrous_shallow,no,,,,yes,yes,yes,yes,yes,yes,great_plains,6,12,4,3,4,1.5,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM043,Glycyrrhiza lepidota,American Liquorice,Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,mesic,rhizomatous,no,,,,no,no,no,no,no,no,desert_sw,3,8,4,3,3,1.0,LM,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM044,Helianthus annuus,"Sunflower, Common sunflower",Asteraceae or Compositae,groundcover,dynamic_accumulator,no,mid_successional,drought_tolerant,deep_taproot,no,,,,no,no,no,no,no,no,eastern_woodlands,6,9,5,2,5,3.0,LMH,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM045,Hippophae rhamnoides,"Sea Buckthorn, Seaberry",Elaeagnaceae,shrub,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,Elaeagnus angustifolia;Symphytum officinale;Fragaria virginiana,,no,no,no,no,no,no,great_plains,3,7,5,5,5,6.0,LMH,N,DMWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM046,Hymenaea courbaril,West Indian Locust,Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,10,12,3,3,4,30.0,MH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM047,Inga edulis,"Ice Cream Bean, Monkey Tamarind",Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,wetland,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,9,12,4,2,3,18.0,LMH,SN,DMWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM048,Ipomoea batatas,"Sweet Potato, Black Sweet Potato, Sweet Potato Vine",Convolvulaceae,vine,groundcover,no,mid_successional,mesic,tuber,no,,,,no,no,no,no,no,no,great_plains,10,12,5,0,3,3.0,LM,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM049,Lagenaria siceraria,Bottle Gourd,Cucurbitaceae,vine,climber,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,3,2,5,9.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM050,Lens culinaris,Lentil,Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,7,12,5,1,3,0.5,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM051,Leucaena leucocephala,"Leucaena, Lead Tree, White Tamarind",Fabaceae,canopy,nitrogen_fixer,yes,pioneer,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,9,12,3,2,4,10.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM052,Mangifera indica,"Mango, Bowen Mango",Anacardiaceae,canopy,pest_confuser,no,mid_successional,drought_tolerant,deep_taproot,no,,,,no,no,no,no,no,no,great_plains,10,12,5,3,3,25.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM053,Manilkara zapota,"Sapodilla, Nispero",Sapotaceae,canopy,canopy,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,10,12,5,2,4,25.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM054,Morinda citrifolia,"Noni, Indian Mulberry",Rubiaceae,understory,support,no,pioneer,drought_tolerant,deep_taproot,no,,,,no,no,no,no,no,no,eastern_woodlands,10,12,3,4,4,6.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM055,Moringa oleifera,"Horseradish Tree, Moringa,",Moringaceae,understory,windbreak,no,mid_successional,moisture_loving,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,10,12,4,4,5,8.0,LMH,N,,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM056,Myrica cerifera,"Wax Myrtle - Bayberry Wild Cinnamon, Southern Bayberry, Wax Myrtle, Southern Wax Myrtle",Myricaceae,shrub,nitrogen_fixer,yes,mid_successional,wetland,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,7,11,3,3,4,9.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM057,Pachyrhizus erosus,"Yam Bean, Jicama, Mexican Yam",Fabaceae,vine,nitrogen_fixer,yes,mid_successional,mesic,tuber,no,,,,no,no,no,no,no,no,desert_sw,9,12,4,0,2,6.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM058,Parkinsonia aculeata,Jerusalem Thorn,Fabaceae,understory,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,yes,yes,yes,yes,yes,yes,great_plains,9,11,3,2,3,7.5,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM059,Persea americana,"Avocado, Alligator Pear",Lauraceae,canopy,canopy,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,9,12,5,3,3,15.0,MH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM060,Phragmites australis,"Common Reed,  American common reed, Hybrid common reed,  European common reed, Subtropical common re",Poaceae or Gramineae,groundcover,support,no,mid_successional,wetland,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,4,10,5,2,4,3.6,LMH,SN,MWeWa,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM061,Pinus cembroides,"Mexican Pine Nut, Pinyon Pine",Pinaceae,understory,support,no,early_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,5,8,4,2,4,8.0,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM062,Pithecellobium dulce,"Manila Tamarind, Madras Thorn",Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,yes,yes,yes,yes,yes,yes,desert_sw,10,12,4,2,3,15.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM063,Prosopis glandulosa,Honeypod mesquite. Glandular mesquite,Fabaceae,understory,nitrogen_fixer,yes,mid_successional,drought_tolerant,deep_taproot,no,,,,yes,yes,yes,yes,yes,yes,desert_sw,8,11,3,2,4,7.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM064,Prosopis juliflora,"Mesquite, Honey Mesquite",Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,deep_taproot,no,,,,no,no,no,no,no,no,desert_sw,7,12,3,2,4,10.0,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM065,Prunus laurocerasus,"Cherry Laurel, English Laurel",Rosaceae,shrub,groundcover,no,mid_successional,moisture_loving,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,6,8,4,3,5,6.0,LMH,FSN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM066,Psidium guajava,"Guava, Tropical Guava, Goiaba, Araçá-goiaba",Myrtaceae,canopy,pest_confuser,no,mid_successional,drought_tolerant,deep_taproot,no,,,,no,no,no,no,no,no,desert_sw,9,12,5,2,5,10.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM067,Psoralea esculenta,"Breadroot, Large Indian breadroot",Fabaceae or Leguminosae,groundcover,nitrogen_fixer,yes,mid_successional,mesic,tuber,no,,,,no,no,no,no,no,no,desert_sw,4,8,5,1,3,0.3,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM068,Robinia pseudoacacia,"Black Locust, Yellow Locust",Fabaceae or Leguminosae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,Rubus idaeus;Fragaria virginiana;Symphytum officinale,,no,no,no,no,no,no,appalachian,4,9,3,2,4,25.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM069,Rumex acetosa,"Sorrel, Garden sorrel",Polygonaceae,groundcover,dynamic_accumulator,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,3,7,5,3,4,0.6,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM070,Saccharum officinarum,"Sugarcane, Purple Sugar Cane",Poaceae,groundcover,nitrogen_fixer,yes,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,8,12,4,2,3,6.0,LMH,N,MWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM071,Salvia officinalis,"Sage, Kitchen sage, Small Leaf Sage, Garden  Sage",Lamiaceae or Labiatae,shrub,pest_confuser,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,5,10,4,5,5,0.6,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM072,Samanea saman,"Rain Tree, False Powder Puff, Monkey Pod",Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,deep_taproot,no,,,,yes,yes,yes,yes,yes,yes,great_plains,10,12,3,2,4,20.0,LMH,SN,DMWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM073,Sassafras albidum,"Sassafras, Common Sassafras",Lauraceae,canopy,pest_confuser,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,5,9,5,3,3,25.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM074,Sechium edule,"Chayote, Mirliton, Cho Ko, Cho-Cho, Vegetable Pear",Cucurbitaceae,vine,climber,no,mid_successional,drought_tolerant,tuber,no,,,,no,no,no,no,no,no,desert_sw,9,12,4,2,3,12.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM075,Sesbania grandiflora,"Vegetable Hummingbird, Agati,",Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,9,12,3,2,4,12.0,LMH,N,MWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM076,Tamarindus indica,Tamarind,Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,4,3,3,20.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM077,Theobroma cacao,"Cacao, Cocoa Tree",Malvaceae,understory,support,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,yes,no,no,desert_sw,10,12,5,3,3,8.0,MH,FSN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM078,Thymus serpyllum,Wild Thyme,Lamiaceae or Labiatae,shrub,pest_confuser,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,5,9,4,3,5,0.1,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM079,Thymus vulgaris,"Common Thyme, Garden thyme, Wild Thyme",Lamiaceae or Labiatae,shrub,pollinator_attractor,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,desert_sw,5,11,4,3,5,0.2,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM080,Urtica dioica,"Stinging Nettle, California nettle",Urticaceae,groundcover,dynamic_accumulator,no,pioneer,mesic,rhizomatous,no,,,,no,no,no,no,no,no,eastern_woodlands,3,10,5,5,4,1.2,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM081,Vigna radiata,"Mung Bean, Thai Mung Bean",Fabaceae,groundcover,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,4,2,2,0.8,LMH,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM082,Vigna unguiculata unguiculata,Black-Eyed Pea,Fabaceae,vine,nitrogen_fixer,yes,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,4,2,2,4.0,LMH,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM083,Vitis vinifera,"Grape, Wine grape, Purpleleaf Grape, Common Grape",Vitaceae,vine,climber,no,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,6,10,5,2,2,15.0,LMH,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
