
plant_id,common_name,latin_name,ecoregion,layer,succession_role,mature_height_m,canopy_spread_m,root_architecture,water_relationship,nitrogen_fixer,nitrogen_rate,guild_function_primary,guild_function_secondary,good_companions,conflict_plants,allelopathic_target,allelopathy_radius_m,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,pollinator_type,pollinator_season,soil_ph_min,soil_ph_max,hardiness_zone_min,hardiness_zone_max,notes,attestation,source
western_red_cedar,Western Red Cedar,Thuja plicata,Pacific Northwest,canopy,climax,50,10,shallow fibrous roots,moist to wet forests,no,,timber and cedar bark,habitat tree,red alder; salmonberry; sword fern,dry site intolerance,,0,low,low,low,low,low,low,wind,spring,5.0,7.5,5,8,Long lived conifer with aromatic wood and medicinal inner bark,SYNTHESIS,https://plants.usda.gov/
ponderosa_pine,Ponderosa Pine,Pinus ponderosa,Interior West,canopy,climax,40,12,deep taproot with spreading roots,drought tolerant on dry slopes,no,,timber tree,windbreak,sagebrush; yarrow; blue grama,none,,0,low,low,low,low,low,low,wind,spring,5.5,7.5,3,8,Drought tolerant pine with long needles and thick bark,SYNTHESIS,https://plants.usda.gov/
blue_oak,Blue Oak,Quercus douglasii,California Mediterranean,canopy,mid,15,12,deep root system,drought tolerant chaparral,no,,habitat tree and acorn,soil stabiliser,manzanita; ceanothus; wild oats,none,,0,low,low,low,medium,low,low,wind,spring,6.0,8.0,6,9,California oak adapted to hot dry hills with bluish leaves,SYNTHESIS,https://plants.usda.gov/
valley_oak,Valley Oak,Quercus lobata,California Mediterranean,canopy,mid,30,20,deep taproot with lateral roots,moist valley floors and floodplains,no,,habitat tree and acorn,riparian buffer,toyon; redbud; elderberry,none,,0,low,low,low,medium,low,low,wind,spring,5.5,7.5,6,9,Largest California oak providing habitat and rich acorns,SYNTHESIS,https://plants.usda.gov/
mesquite,Mesquite,Prosopis glandulosa,Desert Southwest,canopy,pioneer,12,10,deep taproot up to 50 m,drought tolerant arid soils,yes,high,nitrogen fixer and fodder tree,soil improver,desert willow; prickly pear; blue grama,none,,0,medium,low,medium,high,low,low,bees,late spring,7.0,8.5,7,10,Thorny legume tree with sweet pods and soil improving roots,SYNTHESIS,https://plants.usda.gov/
paloverde,Palo Verde,Parkinsonia species,Desert Southwest,canopy,pioneer,8,8,deep taproot and nitrogen nodules,drought tolerant washes,yes,medium,nitrogen fixer and nurse tree,pollinator support,saguaro cactus; brittlebush; mesquite,none,,0,low,low,low,medium,low,low,bees,early spring,7.0,8.5,7,10,Green bark tree fixing nitrogen and blooming brightly in spring,SYNTHESIS,https://plants.usda.gov/
persimmon,Persimmon,Diospyros virginiana,Eastern Woodlands,canopy,mid,15,12,deep taproot with lateral roots,mesic to dry uplands,no,,fruit tree,wildlife food,pawpaw; hazelnut; clover,black walnut,,0,low,low,low,medium,low,low,insects and wind,spring,5.5,7.5,4,9,Native persimmon producing sweet orange fruits loved by wildlife,SYNTHESIS,https://plants.usda.gov/
serviceberry,Serviceberry,Amelanchier species,Various,understory,early,6,4,fibrous shallow roots,moist well drained soils,no,,fruit and pollinator shrub,ornamental,oaks; red cedar; comfrey,none,,0,low,low,low,low,low,low,bees and insects,early spring,5.0,7.5,3,8,Early blooming shrub or small tree producing edible berries,SYNTHESIS,https://plants.usda.gov/
hawthorn,Hawthorn (Washington),Crataegus phaenopyrum,Eastern Woodlands,understory,mid,8,6,deep root system,drought tolerant once established,no,,thorny fruit tree,pollinator support,clover; comfrey; wild strawberry,apple trees (disease host),,0,low,low,low,low,low,low,bees,spring,6.0,7.5,4,8,Hedgerow tree with showy flowers and red fruits that feed birds,SYNTHESIS,https://plants.usda.gov/
wild_plum,Wild Plum,Prunus americana,Great Plains & Eastern Woodlands,understory,early,7,5,suckering root system,moist to dry soils,no,,fruit tree,thicket former,clover; partridge pea; hazelnut,none,,0,low,low,low,low,low,low,insects,spring,5.5,7.5,3,8,Spreading thicket forming plum with tart fruit for preserves,SYNTHESIS,https://plants.usda.gov/
chokecherry,Chokecherry,Prunus virginiana,Great Plains & Woodlands,understory,early,6,5,suckering roots,moist soils and streambanks,no,,fruit and wildlife shrub,hedgerow,alder; serviceberry; bluestem,none,,0,low,low,low,low,low,low,insects,spring,5.5,7.5,3,8,Bitter cherry used in jams; foliage contains cyanogenic compounds toxic to livestock,SYNTHESIS,https://plants.usda.gov/
crabapple,Crabapple,Malus species,Various,understory,mid,6,5,fibrous roots,moist to mesic soils,no,,pollinator tree and fruit,ornamental,clover; comfrey; serviceberry,cedar trees (rust host),,0,low,low,low,low,low,low,insects,spring,6.0,7.5,4,8,Small ornamental fruit tree used as pollinator for apple orchards,SYNTHESIS,https://plants.usda.gov/
redbud,Redbud,Cercis canadensis,Eastern Woodlands,understory,early,10,8,deep taproot with lateral roots,mesic soils; shade tolerant,yes,low,nitrogen fixer and ornamental,pollinator support,oaks; pawpaw; spicebush,none,,0,low,low,low,low,low,low,bees,early spring,6.0,7.5,4,9,Small tree with pink flowers and heart shaped leaves that fixes nitrogen,SYNTHESIS,https://plants.usda.gov/
cascara,Cascara,Rhamnus purshiana,Pacific Northwest,understory,mid,6,4,deep root,moist coastal forests,no,,medicinal bark tree,wildlife food,salal; redwood; huckleberry,none,,0,low,low,low,low,low,low,insects,late spring,5.0,7.5,6,9,Bark yields laxative; berries feed birds; grows in shady moist sites,SYNTHESIS,https://plants.usda.gov/
toyon,Toyon,Heteromeles arbutifolia,California Mediterranean,understory,mid,5,4,deep roots,drought tolerant chaparral,no,,berry shrub,pollinator support,manzanita; ceanothus; blue oak,none,,0,low,low,low,low,low,low,insects and birds,late summer,6.0,8.0,7,9,Evergreen shrub with bright red berries important for wildlife,SYNTHESIS,https://plants.usda.gov/
desert_willow,Desert Willow,Chilopsis linearis,Desert Southwest,understory,early,7,4,deep root,drought tolerant arroyos,no,,flowering tree,pollinator attractor,mesquite; blue grama; prickly pear,none,,0,low,low,low,low,low,low,bees and hummingbirds,late spring,6.5,8.5,7,11,Small tree with trumpet shaped flowers attracting pollinators,SYNTHESIS,https://plants.usda.gov/
blue_elderberry,Blue Elderberry,Sambucus nigra subsp. cerulea,California & Pacific Northwest,understory,mid,8,6,shallow fibrous roots,moist to mesic soils,no,,fruit and pollinator shrub,erosion control,hazelnut; redwood; salal,none,,0,low,low,low,low,low,low,insects and birds,summer,5.5,7.5,5,9,Large shrub producing dark blue berries rich in antioxidants,SYNTHESIS,https://plants.usda.gov/
elderberry,Elderberry,Sambucus canadensis,Eastern Woodlands,shrub,mid,5,4,shallow fibrous roots,moist soils and floodplains,no,,fruit and medicine,erosion control,groundnut; serviceberry; redbud,none,,0,low,low,low,low,low,low,insects and birds,summer,5.0,7.5,4,9,Produces vitamin rich berries and tolerates juglone under walnuts,SYNTHESIS,https://plants.usda.gov/
gooseberry,Gooseberry,Ribes species,Eastern & Northern,shrub,early,1.5,1,fibrous shallow roots,moist woodland edges,no,,berry shrub,pollinator support,hazelnut; serviceberry; strawberries,white pine (blister rust host),,0,low,low,low,low,low,low,insects,spring,5.5,7.5,3,8,Spiny shrub with tart berries; host for white pine blister rust,SYNTHESIS,https://plants.usda.gov/
black_currant,Black Currant,Ribes nigrum,Northern,shrub,early,1.5,1,fibrous roots,moist rich soils,no,,berry shrub,pollinator support,serviceberry; hazelnut; clover,white pine (blister rust host),,0,low,low,low,low,low,low,insects,spring,5.5,7.0,3,7,Sweet dark berries used for jams; restricted in some regions due to rust,SYNTHESIS,https://plants.usda.gov/
hazelnut,Hazelnut,Corylus americana,Eastern & Midwest,shrub,mid,4,4,fibrous roots,mesic soils,no,,nut shrub,wildlife habitat,serviceberry; elderberry; comfrey,none,,0,low,low,low,medium,low,low,wind and insects,early spring,5.5,7.5,4,9,Forms thickets producing edible nuts and providing wildlife cover,SYNTHESIS,https://plants.usda.gov/
spicebush,Spicebush,Lindera benzoin,Eastern Woodlands,shrub,early,3,3,fibrous roots,moist rich soils,no,,aromatic shrub,pollinator support,pawpaw; redbud; hazelnut,none,,0,low,low,low,low,low,low,insects and birds,early spring,5.5,6.5,4,9,Aromatic leaves and berries; host plant for spicebush swallowtail,SYNTHESIS,https://plants.usda.gov/
buttonbush,Buttonbush,Cephalanthus occidentalis,South & East wetlands,shrub,mid,2,2,fibrous roots,wetland margins,no,,pollinator shrub,wildlife habitat,swamp white oak; cattail; blue flag iris,dry sites,,0,low,low,low,low,low,low,bees and butterflies,summer,5.0,7.5,4,9,Spherical flower heads feed bees; tolerant of flooding,SYNTHESIS,https://plants.usda.gov/
indigo_bush,Indigo Bush,Amorpha fruticosa,Central & Southern US,shrub,mid,3,3,deep roots with nitrogen nodules,moist alluvial soils,yes,medium,nitrogen fixer and pollinator shrub,soil stabiliser,willow; buttonbush; switchgrass,none,,0,low,low,low,low,low,low,bees,late spring,6.0,8.0,4,9,Thicket forming legume fixing nitrogen and stabilising streambanks,SYNTHESIS,https://plants.usda.gov/
wild_bergamot,Wild Bergamot,Monarda fistulosa,Northern & Central prairies,shrub,early,1,1,fibrous roots,dry to mesic prairies,no,,pollinator herb,dynamic accumulator,black eyed susan; little bluestem; clover,none,,0,low,low,low,low,low,low,bees and butterflies,summer,6.0,8.0,3,8,Aromatic mint with purple flowers attracting bees and butterflies,SYNTHESIS,https://plants.usda.gov/
new_jersey_tea,New Jersey Tea,Ceanothus americanus,Midwest & Eastern prairies,shrub,early,1,1,deep taproot,dry to mesic prairies,yes,low,nitrogen fixer and tea herb,pollinator support,little bluestem; lead plant; asters,none,,0,low,low,low,low,low,low,bees,late spring,5.0,7.5,4,8,Low shrub whose leaves were used as tea during the American Revolution,SYNTHESIS,https://plants.usda.gov/
lead_plant,Lead Plant,Amorpha canescens,Great Plains prairies,shrub,early,1,1,deep roots with nitrogen nodules,dry prairie,yes,medium,nitrogen fixer and pollinator shrub,soil stabiliser,little bluestem; prairie dropseed; wild lupine,none,,0,low,low,low,low,low,low,bees,summer,6.0,8.0,3,8,Gray leafed prairie shrub fixing nitrogen and supporting pollinators,SYNTHESIS,https://plants.usda.gov/
sagebrush,Sagebrush,Artemisia tridentata,Great Basin & High Plains,shrub,mid,1.5,1.5,deep taproot with fibrous roots,dry alkaline soils,no,,aromatic shrub and wildlife cover,erosion control,bunchgrasses; rabbitbrush; bitterbrush,sensitive forbs,some allelopathy,1,low,low,low,low,low,low,insects and wind,summer,7.0,8.5,4,9,Drought tolerant shrub with allelopathic effects on nearby forbs,SYNTHESIS,https://plants.usda.gov/
fourwing_saltbush,Four-wing Saltbush,Atriplex canescens,Southwest deserts,shrub,early,2,2,deep roots with nitrogen association,dry saline soils,yes,medium,nitrogen fixer and forage,erosion control,blue grama; buffalo grass; winterfat,none,,0,medium,medium,medium,medium,low,low,wind,summer,7.0,9.0,4,10,Salt tolerant shrub providing forage and soil stabilisation,SYNTHESIS,https://plants.usda.gov/
sea_buckthorn,Sea Buckthorn,Hippophae rhamnoides,Temperate & Boreal,shrub,mid,4,3,deep root with nitrogen nodules,drought tolerant sandy soils,yes,medium,berry producer,nitrogen fixer,black locust; willow; comfrey,none,,0,low,low,low,low,medium,medium,insects,summer,6.0,7.5,3,7,Thorny shrub with vitamin rich berries and nitrogen fixing roots,SYNTHESIS,https://plants.usda.gov/
siberian_pea_shrub,Siberian Pea Shrub,Caragana arborescens,Northern Plains & Rockies,shrub,early,5,3,deep roots with nitrogen nodules,drought tolerant well drained soils,yes,medium,nitrogen fixer and fodder shrub,pollinator support,apple; pear; cherry,none,,0,low,low,low,medium,high,medium,bees,late spring,6.0,7.5,2,7,Cold hardy shrub producing protein rich seeds used for poultry feed,SYNTHESIS,https://plants.usda.gov/
wolfberry,Wolfberry (Goji),Lycium barbarum,Various,shrub,mid,2,2,fibrous roots,drought tolerant and adaptable,no,,superfruit shrub,pollinator support,clover; oregano; sage,none,,0,low,low,low,low,low,low,insects,summer,6.0,8.0,5,9,Goji berry shrub valued for nutritious fruit and drought tolerance,SYNTHESIS,https://plants.usda.gov/
alder_red,Red Alder,Alnus rubra,Pacific Northwest,nitrogen fixer,early,25,10,shallow fibrous roots with nodules,moist riparian soils,yes,high,nitrogen fixer and pioneer,timber,salmonberry; red cedar; sword fern,dry sites,,0,low,low,low,low,low,low,wind,spring,5.5,7.5,5,8,Fast growing nitrogen fixing tree improving soil on disturbed sites,SYNTHESIS,https://plants.usda.gov/
alder_speckled,Speckled Alder,Alnus incana rugosa,Northern wetlands,nitrogen fixer,early,10,6,shallow roots with nodules,wet bogs and streambanks,yes,medium,nitrogen fixer and stabiliser,wildlife cover,willow; dogwood; sedges,dry uplands,,0,low,low,low,low,low,low,wind,spring,5.0,7.5,2,6,Small wetland tree fixing nitrogen and stabilising streambanks,SYNTHESIS,https://plants.usda.gov/
wild_lupine,Wild Lupine,Lupinus perennis,Eastern & Midwest prairies,nitrogen fixer,early,0.6,0.5,deep taproot,dry sandy soils,yes,medium,nitrogen fixer and pollinator,host plant,lead plant; bluestem; butterfly weed,shady conditions,,0,low,low,low,low,low,low,bees and butterflies,late spring,5.0,7.0,3,8,Perennial legume feeding pollinators and acting as host for Karner blue,SYNTHESIS,https://plants.usda.gov/
ground_plum,Ground Plum,Astragalus crassicarpus,Great Plains,nitrogen fixer,early,0.3,0.3,deep roots,dry prairie soils,yes,low,nitrogen fixer and groundcover,pollinator support,buffalo grass; blue grama; yucca,none,,0,low,low,low,low,low,low,bees,spring,6.0,8.0,3,8,Low growing legume with edible pods and nitrogen fixing ability,SYNTHESIS,https://plants.usda.gov/
blue_wild_indigo,Blue Wild Indigo,Baptisia australis,Eastern & Central,nitrogen fixer,mid,1,1,deep taproot,dry to mesic well drained soils,yes,medium,nitrogen fixer and ornamental,pollinator support,oak; lead plant; prairie dropseed,none,,0,low,low,low,low,low,low,bees and butterflies,late spring,5.5,7.5,3,9,Showy blue flowered legume fixing nitrogen and adding structure,SYNTHESIS,https://plants.usda.gov/
partridge_pea,Partridge Pea,Chamaecrista fasciculata,Central & Southern prairies,nitrogen fixer,early,0.5,0.3,fibrous roots,dry to mesic sandy soils,yes,low,nitrogen fixer and cover crop,pollinator support,oak; hickory; prairie grasses,none,,0,low,low,low,low,low,low,bees and butterflies,summer,5.5,7.5,4,9,Annual legume providing nectar for bees and adding nitrogen,SYNTHESIS,https://plants.usda.gov/
groundnut_vine,Groundnut (vine),Apios americana vine,Eastern wetlands,vine,early,3,0.5,twining vine with tubers,moist streambanks and thickets,yes,medium,nitrogen fixer and edible tuber,pollinator support,corn; elderberry; willow,none,,0,low,low,low,medium,low,low,bees,summer,5.5,7.0,4,8,Climbing legume producing edible tubers and fixing nitrogen,SYNTHESIS,https://plants.usda.gov/
autumn_olive,Autumn Olive,Elaeagnus umbellata,Various,nitrogen fixer,mid,6,5,deep roots with nodules,drought tolerant and poor soils,yes,medium,nitrogen fixer and berry,soil improvement,orchard trees; willow; black locust,none,,0,low,low,low,medium,low,low,insects,spring,5.0,8.0,4,9,Invasive shrub producing tasty berries and enriching soil,SYNTHESIS,https://plants.usda.gov/
comfrey,Comfrey,Symphytum officinale,Various,groundcover,mid,0.6,0.6,deep taproot,moist fertile soils,no,,dynamic accumulator and fodder,medicinal herb,fruit trees; berries; nut trees,none,,0,high,high,high,high,high,medium,bees,late spring,6.0,7.5,3,9,Deep rooted herb accumulating nutrients and providing high protein fodder,SYNTHESIS,https://plants.usda.gov/
yarrow,Yarrow,Achillea millefolium,Various,groundcover,early,0.5,0.5,rhizomatous roots,dry to mesic soils,no,,dynamic accumulator and pest repellent,pollinator support,fruit trees; vegetables; herbs,none,,0,low,low,low,low,low,low,bees and butterflies,summer,5.5,7.5,3,8,Hardy aromatic herb attracting beneficial insects and improving soil,SYNTHESIS,https://plants.usda.gov/
goldenrod,Goldenrod,Solidago species,Various,groundcover,mid,1,0.6,rhizomatous roots,dry to mesic soils,no,,pollinator plant,dynamic accumulator,asters; grasses; sunflowers,competitive plants,some allelopathy,1,low,low,low,low,low,low,bees and butterflies,late summer,5.0,7.5,3,9,Late season nectar source with mild allelopathic effects on nearby plants,SYNTHESIS,https://plants.usda.gov/
wild_strawberry,Wild Strawberry,Fragaria virginiana,Various,groundcover,early,0.15,0.3,stoloniferous roots,mesic soils,no,,groundcover and edible fruit,pollinator support,apple; serviceberry; hazelnut,none,,0,low,low,low,low,low,low,insects,late spring,5.5,7.0,3,8,Low spreading plant forming mats and producing small sweet berries,SYNTHESIS,https://plants.usda.gov/
white_clover,White Clover,Trifolium repens,Various,groundcover,early,0.1,0.3,stoloniferous roots,mesic pasture soils,yes,medium,nitrogen fixer and groundcover,fodder crop,fruit trees; grasses; vegetables,none,,0,high,high,high,high,high,high,bees,late spring,6.0,7.5,3,9,Mat forming legume fixing nitrogen and providing fodder for livestock,SYNTHESIS,https://plants.usda.gov/
red_clover,Red Clover,Trifolium pratense,Various,groundcover,early,0.5,0.5,deep taproot,mesic soils,yes,medium,nitrogen fixer and hay,dynamic accumulator,orchard trees; vegetables; berries,none,,0,medium,medium,medium,medium,medium,medium,bees,late spring,6.0,7.5,3,9,Perennial clover used for soil improvement and livestock forage,SYNTHESIS,https://plants.usda.gov/
hairy_vetch,Hairy Vetch,Vicia villosa,Various,groundcover,early,0.6,0.6,fibrous roots,mesic soils,yes,high,nitrogen fixer and cover crop,dynamic accumulator,fruit trees; grains; vegetables,none,,0,medium,medium,medium,medium,medium,medium,bees and insects,late spring,5.5,7.5,4,9,Winter hardy cover crop fixing nitrogen but can smother other plants,SYNTHESIS,https://plants.usda.gov/
broadleaf_plantain,Broadleaf Plantain,Plantago major,Various,groundcover,early,0.2,0.3,fibrous roots,moist disturbed soils,no,,dynamic accumulator and medicinal herb,groundcover,grasses; vegetables; herbs,none,,0,low,low,low,low,low,low,insects,summer,5.0,7.5,3,8,Common lawn plant with edible leaves and soil healing properties,SYNTHESIS,https://plants.usda.gov/
stinging_nettle,Stinging Nettle,Urtica dioica,Various,groundcover,mid,1,0.5,rhizomatous roots,moist rich soils,no,,dynamic accumulator and fodder,pollinator support,fruit trees; berries; comfrey,none,,0,high,high,high,high,high,high,insects,summer,5.0,8.0,3,9,Nutrient rich herb used dried as livestock feed and soil improver,SYNTHESIS,https://plants.usda.gov/
dandelion,Dandelion,Taraxacum officinale,Various,groundcover,early,0.3,0.3,deep taproot,mesic lawns and fields,no,,dynamic accumulator and pollinator plant,edible greens,orchard trees; vegetables; herbs,none,,0,low,low,low,low,low,low,insects,early spring,5.0,7.5,3,9,Common weed with edible leaves and taproot drawing nutrients upward,SYNTHESIS,https://plants.usda.gov/
prairie_dropseed,Prairie Dropseed,Sporobolus heterolepis,Great Plains prairie,groundcover,mid,0.5,0.6,fibrous deep roots,dry well drained soils,no,,ornamental prairie grass,erosion control,lead plant; little bluestem; wild bergamot,none,,0,low,low,low,low,low,low,wind,summer,5.0,7.5,3,8,Bunchgrass forming graceful mounds and providing habitat for insects,SYNTHESIS,https://plants.usda.gov/
buffalo_grass,Buffalo Grass,Bouteloua dactyloides,Great Plains prairie,groundcover,early,0.1,0.3,fibrous roots,dry shortgrass prairie,no,,grazing grass,groundcover,blue grama; prairie clover; yucca,shade intolerant,,0,medium,medium,medium,medium,medium,medium,wind,summer,6.0,8.0,3,9,Drought tolerant turf and forage grass native to Great Plains,SYNTHESIS,https://plants.usda.gov/
blue_grama,Blue Grama,Bouteloua gracilis,Great Plains prairie,groundcover,early,0.3,0.3,fibrous roots,dry shortgrass prairie,no,,grazing grass,groundcover,buffalo grass; little bluestem; prairie dropseed,none,,0,medium,medium,medium,medium,medium,medium,wind,summer,6.0,8.0,3,9,Tufted warm season grass valuable for rangeland forage,SYNTHESIS,https://plants.usda.gov/
kinnikinnick,Kinnikinnick,Arctostaphylos uva-ursi,Northern forests,groundcover,mid,0.2,0.6,shallow roots,dry sandy soils,no,,evergreen groundcover,erosion control,pine; spruce; juniper,none,,0,low,low,low,low,low,low,bees,spring,4.5,6.5,2,6,Low evergreen plant with edible berries used by indigenous peoples,SYNTHESIS,https://plants.usda.gov/
wild_ginger,Wild Ginger,Asarum canadense,Eastern forests,groundcover,mid,0.2,0.5,rhizomatous roots,moist shaded soils,no,,groundcover and spice,medicinal root,maple trees; sugar maple; trillium,none,,0,low,low,low,low,low,low,flies,late spring,5.0,7.5,3,8,Heart shaped leaves and aromatic rhizomes used as spice,SYNTHESIS,https://plants.usda.gov/
wild_grape,Wild Grape,Vitis riparia,Various,vine,mid,15,2,fibrous roots with tendrils,moist woods and streams,no,,climbing vine and fruit,pollinator support,oaks; hickory; serviceberry,competition shading,,0,low,low,low,low,low,low,insects,late spring,5.0,7.5,4,9,Cold hardy grape producing small fruits and providing wildlife food,SYNTHESIS,https://plants.usda.gov/
virginia_creeper,Virginia Creeper,Parthenocissus quinquefolia,Various,vine,mid,20,2,fibrous roots with clinging disks,moist to dry woods,no,,climbing vine and groundcover,wildlife cover,oaks; maples; pines,can damage structures,,0,low,low,low,low,low,low,insects,summer,5.0,7.5,3,9,Five leafed vine turning red in fall used to cover trellises,SYNTHESIS,https://plants.usda.gov/
groundnut_vine2,Groundnut Vine (Apios),Apios americana vine,Eastern wetlands,vine,mid,3,1,tuberous vine,moist thickets and riverbanks,yes,medium,nitrogen fixing vine,edible tuber,corn; elderberry; willow,none,,0,low,low,low,medium,low,low,insects,summer,5.5,7.0,4,8,Edible tuber vine climbing on supports and fixing nitrogen,SYNTHESIS,https://plants.usda.gov/
maypop,Maypop,Passiflora incarnata,Southeastern,vine,mid,4,2,rhizomatous vine,moist to mesic soils,no,,fruit vine,pollinator plant,black locust; comfrey; goldenrod,none,,0,low,low,low,low,low,low,bees and butterflies,summer,6.0,7.5,6,10,Hardy passionflower producing edible fruits and attracting pollinators,SYNTHESIS,https://plants.usda.gov/
climbing_prairie_rose,Climbing Prairie Rose,Rosa setigera,Central US,vine,mid,4,2,fibrous roots,mesic soils,no,,climbing rose,pollinator plant,black locust; oak; redbud,none,,0,low,low,low,low,low,low,bees and insects,spring,5.0,7.5,4,8,Native climbing rose with fragrant pink flowers,SYNTHESIS,https://plants.usda.gov/
american_hops,American Hops,Humulus lupulus var. lupuloides,Northern & Eastern,vine,mid,6,2,rhizomatous vine,moist rich soils,no,,vine for hops production,pollinator plant,apple; pear; maple,none,,0,low,low,low,low,low,low,insects,summer,6.0,7.5,4,8,Perennial vine used for brewing and providing shade,SYNTHESIS,https://plants.usda.gov/
american_wisteria,American Wisteria,Wisteria frutescens,Southeast,vine,mid,10,3,twining vine with nitrogen nodules,moist soils,yes,medium,nitrogen fixing ornamental climber,pollinator plant,strong trees; pergolas; fences,none,,0,low,low,low,low,low,low,bees and butterflies,late spring,6.0,7.5,5,9,Native wisteria less aggressive than Asian species and fixes nitrogen,SYNTHESIS,https://plants.usda.gov/
wild_yam,Wild Yam,Dioscorea villosa,Eastern forests,vine,mid,3,1,tuberous vine,moist woodlands,no,,medicinal vine,groundcover,maple; oak; spicebush,none,,0,low,low,low,low,low,low,insects,summer,5.0,7.5,4,9,Vine with edible tubers historically used for medicine,SYNTHESIS,https://plants.usda.gov/
