
subject_entity,relation,object_entity,source,notes
Lohavana,borders,Mahāvanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=This%20is%20the%20most%20enchanting,the%20demon%20into%20two%20partshttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,Lohavana is adjacent to the large forest of Mahavana.
Ashtakala sequence,precedes,Nishanta‑līlā → Prātaḥ‑līlā,Sequence of eight periodshttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=,Dandas%20of%2024%20minutes%20each,Each period flows into the next in the eternal day.
Prātaḥ‑līlā,precedes,Pūrvāhna‑līlāhttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=In%20the%20morning%20%2C%20Lord,river%2C%20then%20worships%20Lord%20Vishnu,—
Pūrvāhna‑līlā,precedes,Madhyāhna‑līlāhttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=At%20midday%2C%20Lord%20Gauranga%20enjoys,the%20bank%20of%20the%20Ganga,—
Madhyāhna‑līlā,precedes,Aparāhna‑līlāhttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=with%20all%20the%20residents,—
Aparāhna‑līlā,precedes,Sāyana‑līlāhttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=,Dandas%20of%2024%20minutes%20each,—
Sāyana‑līlā,precedes,Pradoṣa‑līlāhttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=8%3A24%20,Dandas%20of%2024%20minutes%20each,—
Pradoṣa‑līlā,precedes,Niśā‑līlāhttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=In%20the%20evening%20%2C%20Lord,names%20and%20dance%20in%20ecstasy,—
Yamunā,flows_between,Eastern forests and Western forestshttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=https://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,The river Yamunā runs between the seven eastern and five western forests, separating Madhuvana through Vrindavana from Bhadravana through Mahavana.
Lalitā‑sakhī,serves_in,Unchāgaon (near Vṛndāvana)https://hariharji.blogspot.com/2008/09/ashtasakhis.html#:~:text=Sites%20of%20Braj%20Bhoomi%20Closely,Related%20to%20Sri%20Lalita,Lalitā’s kuñja is located here; she often guides Radha‑Krishna meetings in the central forest.
Tuṅgavidyā‑sakhī,serves_in,Tuṅgavidyā‑kuñja near Govardhanahttps://thegaudiyatreasuresofbengal.com/2021/08/07/ashta-sakhi-of-sri-radha-eight-gopis-of-vrindavan/#:~:text=Tungavidya%20is%20the%20fifth%20of,Her%20husband%E2%80%99s%20name%20is%20Balisa,She performs music and leads messengers in the groves near Govardhana.
Indulekhā‑sakhī,serves_in,Anubhata‑kuñja near Yāvaṭahttps://thegaudiyatreasuresofbengal.com/2021/08/07/ashta-sakhi-of-sri-radha-eight-gopis-of-vrindavan/#:~:text=,She guards the treasury and prepares ornaments in her grove.
Raṅgadevī‑sakhī,serves_in,Varṣāṇā regionhttps://thegaudiyatreasuresofbengal.com/2021/08/07/ashta-sakhi-of-sri-radha-eight-gopis-of-vrindavan/#:~:text=Rangadevi%20is%20the%20seventh%20Gopi,and%20her%20mother%20is%20Karuna,Rangadevī manages lamp‑offering and dance performances near Varṣāṇā.
Sudevī‑sakhī,serves_in,Yāvaṭahttps://thegaudiyatreasuresofbengal.com/2021/08/07/ashta-sakhi-of-sri-radha-eight-gopis-of-vrindavan/#:~:text=Rangadevi%20is%20the%20seventh%20Gopi,and%20her%20mother%20is%20Karuna,Sudevī assists in decorating and arranging boat festivals near Yāvaṭa.
Niśā‑līlā,occurs_in,Secluded nikuñjas of Vṛndāvanahttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=NISHA%20LILA%3A%20Night%20Pastimes%3A%2010%3A48,Dandas%20of%2024%20minutes%20each,Rādhā and Kṛṣṇa’s rāsa‑dance and amorous pastimes take place here.
Madhyāhna‑līlā,occurs_in,Bhāṇḍīravan and Rādhā‑kuṇḍahttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=with%20all%20the%20residents,The Divine Couple meet secretly at these sacred sites during midday.
Prātaḥ‑līlā,occurs_in,Nanda‑bhavana and Yāvaṭahttps://nimaipandit.ning.com/profiles/blogs/gauranga-ashta-kaliya-lila#:~:text=In%20the%20morning%20%2C%20Lord,river%2C%20then%20worships%20Lord%20Vishnu,Morning activities like bathing and worship occur here.
