name_iast,body_region,count,size_angula,category,element,dosha,chakra_nearest,nadi,raga_therapeutic,herb_primary,herb_secondary,treatment_approach,path,source_text,attestation_status
Hṛdaya,heart,1,4,sadyaḥ-prāṇahara,ether,Prāṇa Vāta,Anāhata,Suṣumnā,Bhairavī,Tulāsī,Arjuna,cardiac,dakṣiṇa,Suśruta SS.6,attested_secondary
Stanāmūla,breast root,2,1,kālāntara-prāṇahara,water,Kapha,Anāhata,Gāndhārī,Kāfī,Śatāvarī,Shatapuṣpā,nourishment,dakṣiṇa,Suśruta SS.6,attested_secondary
Stanaroḥita,above breast,2,0.5,kālāntara-prāṇahara,ether,Prāṇa Vāta,Anāhata,Hastijihvā,Yaman,Vacā,Brahmi,prana flow,dakṣiṇa,Suśruta SS.6,attested_secondary
Apālapa,armpit-side,2,0.5,kālāntara-prāṇahara,air,Vyāna Vāta,Anāhata,Viśvodarā,Mārvā,Guggulu,Śallakī,side breath,dakṣiṇa,Suśruta SS.6,attested_secondary
Apastambha,chest-side channels,2,0.5,kālāntara-prāṇahara,ether,Prāṇa Vāta,Viśuddha,Suṣumnā,Darbārī,Vacā,Kaṇṭakārī,bronchial,dakṣiṇa,Suśruta SS.6,attested_secondary
Kaṭīkataruṇa,sacro-iliac,2,0.5,kālāntara-prāṇahara,earth,Apāna Vāta,Mūlādhāra,Gāndhārī,Bhairavī,Balā,Eraṇḍa,lower back,dakṣiṇa,Suśruta SS.6,attested_secondary
Kukuṇḍara,sacral dimples,2,0.5,vaikalyakara,earth,Apāna Vāta,Mūlādhāra,Kuhū,Bhimpalāsī,Eraṇḍa,Gudūcī,pelvis,dakṣiṇa,Suśruta SS.6,attested_secondary
Nitamba,buttock,2,0.5,kālāntara-prāṇahara,earth,Kapha+Vāta,Mūlādhāra,Yaśasvinī,Kāfī,Balā,Aśvagandhā,grounding,dakṣiṇa,Suśruta SS.6,attested_secondary
Parṣva-sandhi,side-trunk joint,2,0.5,kālāntara-prāṇahara,air,Vyāna Vāta,Maṇipūra,Pūṣā,Yaman,Pippalī,Harītakī,lateral breath,dakṣiṇa,Suśruta SS.6,attested_secondary
Bṛhatī,upper back,2,0.5,kālāntara-prāṇahara,ether,Vyāna Vāta,Anāhata,Viśvodarā,Mārvā,Devadāru,Śāla,back lung,dakṣiṇa,Suśruta SS.6,attested_secondary
Aṃśaphalaka,scapula,2,0.5,vaikalyakara,air,Vyāna Vāta,Anāhata,Hastijihvā,Khamāj,Guggulu,Śallakī,shoulder,dakṣiṇa,Suśruta SS.6,attested_secondary
Aṃśa,shoulder,2,0.5,vaikalyakara,air,Vyāna Vāta,Viśuddha,Hastijihvā,Bāgeshṛī,Aśvagandhā,Śāla,arm mobility,dakṣiṇa,Suśruta SS.6,attested_secondary
Phāṇā,side of nose,2,0.5,vaikalyakara,ether,Prāṇa Vāta,Ājñā,Suṣumnā,Tōḍī,Kaṇṭakārī,Vacā,sinus,dakṣiṇa,Suśruta SS.6,attested_secondary
Apāṅga,outer eye corner,2,0.5,vaikalyakara,ether,Ālochaka Pitta,Ājñā,Suṣumnā,Yaman,Triphala,Śatāvarī,vision,dakṣiṇa,Suśruta SS.6,attested_secondary
Nīlā-dhamanī,throat veins,2,0.5,vaikalyakara,ether,Udāna Vāta,Viśuddha,Alambuṣā,Darbārī,Vacā,Brahmi,speech,dakṣiṇa,Suśruta SS.6,attested_secondary
Maṇyā,nape vessels,2,0.5,vaikalyakara,ether,Udāna Vāta,Viśuddha,Hastijihvā,Kāfī,Brahmi,Jyotiṣmatī,neck-brain,dakṣiṇa,Suśruta SS.6,attested_secondary
Śṛṅgataka,hard palate junction,4,0.5,sadyaḥ-prāṇahara,ether,Prāṇa Vāta,Sahasrāra,Suṣumnā,Bihāg,Brahmi,Vacā,crown entry,dakṣiṇa,Suśruta SS.6,attested_secondary
Simanta,cranial sutures,5,0.5,kālāntara-prāṇahara,ether,Prāṇa Vāta,Sahasrāra,Suṣumnā,Mārvā,Brahmi,Śaṅkhapuṣpī,consciousness,dakṣiṇa,Suśruta SS.6,attested_secondary
Adhipati,crown of head,1,0.5,sadyaḥ-prāṇahara,ether,Prāṇa Vāta,Sahasrāra,Suṣumnā,all rāgas,Brahmi,Śaṅkhapuṣpī,highest prāṇa,dakṣiṇa,Suśruta SS.6,attested_secondary
Utkṣepa,temporal,2,0.5,viśalyāghna,ether,Prāṇa Vāta,Ājñā,Suṣumnā,Yaman,Brahmi,Harītakī,trauma,dakṣiṇa,Suśruta SS.6,attested_secondary
Sthāpanī,glabella,1,0.5,viśalyāghna,ether,Ālochaka Pitta,Ājñā,Suṣumnā,Tōḍī,Brahmi,Vacā,third eye,dakṣiṇa,Suśruta SS.6,attested_secondary
