herb_name,class_id,class_name,notes,attestation_status
lotus seed,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
centella (gotu kola),C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
peppermint,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
lemon balm,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
lavender,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
basil,C3,WIND-AIR (Vayu),tulsi/hot basil can go here or C1,TRADITIONAL/INTERPRETIVE
fennel,C3,WIND-AIR (Vayu),also digestive,TRADITIONAL/INTERPRETIVE
chamomile,C3,WIND-AIR (Vayu),flower,TRADITIONAL/INTERPRETIVE
skullcap,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
passionflower,C3,WIND-AIR (Vayu),also C5,TRADITIONAL/INTERPRETIVE
violet flower,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
chrysanthemum flower,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
schisandra,C3,WIND-AIR (Vayu),astringent + adaptogenic; mixed,TRADITIONAL/INTERPRETIVE
sage,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
thyme,C3,WIND-AIR (Vayu),shared with C1,TRADITIONAL/INTERPRETIVE
yarrow,C3,WIND-AIR (Vayu),flower,TRADITIONAL/INTERPRETIVE
calendula flower,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
hops,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
rosemary flower tops,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
holy basil flower spikes,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
anise seed,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
dill seed,C3,WIND-AIR (Vayu),from report example list,TRADITIONAL/INTERPRETIVE
ashwagandha root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
burdock root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
dandelion root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
codonopsis root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
astragalus root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
ginseng root,C4,EARTH-ROOT (Prithvi),climate-limited in Florida,TRADITIONAL/INTERPRETIVE
eleuthero root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
haritaki/bibhitaki,C4,EARTH-ROOT (Prithvi),fruits but deep building/clearing; mixed,TRADITIONAL/INTERPRETIVE
yellow dock root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
maca,C4,EARTH-ROOT (Prithvi),if added later,TRADITIONAL/INTERPRETIVE
shilajit,C4,EARTH-ROOT (Prithvi),mineral; if modeled,TRADITIONAL/INTERPRETIVE
rehmannia,C4,EARTH-ROOT (Prithvi),root,TRADITIONAL/INTERPRETIVE
licorice root,C4,EARTH-ROOT (Prithvi),overlaps C2,TRADITIONAL/INTERPRETIVE
nettle root,C4,EARTH-ROOT (Prithvi),if used,TRADITIONAL/INTERPRETIVE
gotu kola,C4,EARTH-ROOT (Prithvi),if used as grounding,TRADITIONAL/INTERPRETIVE
chicory root,C4,EARTH-ROOT (Prithvi),from report example list,TRADITIONAL/INTERPRETIVE
ginger family rhizomes,C4,EARTH-ROOT (Prithvi),shared,TRADITIONAL/INTERPRETIVE
turmeric rhizome,C4,EARTH-ROOT (Prithvi),shared,TRADITIONAL/INTERPRETIVE
galangal rhizome,C4,EARTH-ROOT (Prithvi),shared,TRADITIONAL/INTERPRETIVE
ashwagandha,C4,EARTH-ROOT (Prithvi),root-tonic duplicate emphasis from report bucket,TRADITIONAL/INTERPRETIVE
brahmi,C5,ETHER-NERVINE (Akasha),bacopa,TRADITIONAL/INTERPRETIVE
gotu kola,C5,ETHER-NERVINE (Akasha),centella,TRADITIONAL/INTERPRETIVE
shankhpushpi,C5,ETHER-NERVINE (Akasha),if later,TRADITIONAL/INTERPRETIVE
reishi,C5,ETHER-NERVINE (Akasha),from report example list,TRADITIONAL/INTERPRETIVE
lion's mane,C5,ETHER-NERVINE (Akasha),if later,TRADITIONAL/INTERPRETIVE
tulsi,C5,ETHER-NERVINE (Akasha),spiritual tonifier,TRADITIONAL/INTERPRETIVE
lavender,C5,ETHER-NERVINE (Akasha),shared,TRADITIONAL/INTERPRETIVE
lemon balm,C5,ETHER-NERVINE (Akasha),shared,TRADITIONAL/INTERPRETIVE
passionflower,C5,ETHER-NERVINE (Akasha),from report example list,TRADITIONAL/INTERPRETIVE
valerian,C5,ETHER-NERVINE (Akasha),from report example list,TRADITIONAL/INTERPRETIVE
skullcap,C5,ETHER-NERVINE (Akasha),shared,TRADITIONAL/INTERPRETIVE
schisandra,C5,ETHER-NERVINE (Akasha),shen stabilization,TRADITIONAL/INTERPRETIVE
peony,C5,ETHER-NERVINE (Akasha),spirit/blood,TRADITIONAL/INTERPRETIVE
saffron,C5,ETHER-NERVINE (Akasha),if later,TRADITIONAL/INTERPRETIVE
blue lotus,C5,ETHER-NERVINE (Akasha),if later,TRADITIONAL/INTERPRETIVE
ashwagandha,C5,ETHER-NERVINE (Akasha),medhya/balya overlap,TRADITIONAL/INTERPRETIVE
guduchi,C5,ETHER-NERVINE (Akasha),rasayana adaptogen,TRADITIONAL/INTERPRETIVE
rhodiola,C5,ETHER-NERVINE (Akasha),climate-limited,TRADITIONAL/INTERPRETIVE
holy basil,C5,ETHER-NERVINE (Akasha),from report example list,TRADITIONAL/INTERPRETIVE
ginseng,C5,ETHER-NERVINE (Akasha),if used as cognition tonifier,TRADITIONAL/INTERPRETIVE
