site_id,site_name,lat,lon,tradition,body_correspondence,element,graha,s_layer,attestation,notes,location,site_type,indigenous_nation,water_type,cosmological_significance,source,astronomical_alignment,culture,geometry,period
,Rio Grande,,,,,,,,OBSERVED:ETHNOGRAPHIC,,Southwest US/Mexico,water_body,Pueblo/Tigua,river,Sacred boundary water between worlds,Project Documentation Help(3) + traditional sources,,,,
,Niagara Falls,,,,,,,,OBSERVED:ETHNOGRAPHIC,,New York/Ontario,water_body,Haudenosaunee/Iroquois,waterfall,Thunder beings — cosmological portal between upper and lower worlds,Project Documentation Help(3) + traditional sources,,,,
,Columbia River,,,,,,,,OBSERVED:ETHNOGRAPHIC,,Pacific Northwest,water_body,Chinook/Yakama/Umatilla,river,Salmon ceremonial river — first salmon ceremony,Project Documentation Help(3) + traditional sources,,,,
,Lake Titicaca,,,,,,,,OBSERVED:ETHNOGRAPHIC,,Peru/Bolivia,water_body,Aymara/Quechua,lake,Origin place — Viracocha emerged from waters,Project Documentation Help(3) + traditional sources,,,,
,Ganges (Gaṅgā),,,,,,,,OBSERVED:ETHNOGRAPHIC,,India,water_body,Hindu,river,Descends from heaven through Shiva's hair — purification,Project Documentation Help(3) + traditional sources,,,,
,Sarasvatī,,,,,,,,OBSERVED:ETHNOGRAPHIC,,India (ancient),water_body,Vedic,river,Lost sacred river — goddess of knowledge and flow,Project Documentation Help(3) + traditional sources,,,,
,Yamunā,,,,,,,,OBSERVED:ETHNOGRAPHIC,,India,water_body,Hindu,river,Dark river — beloved of Krishna — twin of death (Yama),Project Documentation Help(3) + traditional sources,,,,
,Poverty Point,32.6372,-91.4068,,,,,,OBSERVED:ARCHAEOLOGICAL,,Louisiana,earthwork,,,layered cosmology — sky/earth/underworld,,spring/fall equinox sunset alignment,Archaic,concentric C-shaped ridges + mound,1650-1100 BCE
,Cahokia,38.6551,-90.0625,,,,,,OBSERVED:ARCHAEOLOGICAL,,Illinois,platform_mound_city,,,largest pre-Columbian city north of Mexico — cosmogram city,,Woodhenge solar observatory — solstice/equinox posts,Mississippian,"120+ mounds, Monks Mound 30m",1050-1350 CE
,Serpent Mound,39.0253,-83.4304,,,,,,OBSERVED:ARCHAEOLOGICAL,,Ohio,effigy_mound,,,great serpent swallowing egg — cosmic renewal,,head aligns with summer solstice sunset,Fort Ancient/Adena,411m serpent effigy,300 BCE - 1100 CE
,Newark Earthworks,40.0503,-82.4216,,,,,,OBSERVED:ARCHAEOLOGICAL,,Ohio,geometric_earthwork,,,precise lunar observatory — ceremony + pilgrimage,,lunar standstill cycle (18.6 year),Hopewell,octagon + circle + square enclosures,100 BCE - 500 CE
,Etowah Mounds,34.1251,-84.8060,,,,,,OBSERVED:ARCHAEOLOGICAL,,Georgia,platform_mound,,,elite mortuary center — falcon warrior cosmology,,cardinal orientation,Mississippian,3 platform mounds + plaza,1000-1550 CE
,Ocmulgee,32.8385,-83.6066,,,,,,OBSERVED:ARCHAEOLOGICAL,,Georgia,platform_mound,,,creation narrative — people emerged from earth,,earth lodge entrance faces east (equinox sunrise),Mississippian,7 mounds + earth lodge,900-1100 CE
,Effigy Mounds,43.0869,-91.1891,,,,,,OBSERVED:ARCHAEOLOGICAL,,Iowa,effigy_mound,,,clan animal identity — bear/bird/water spirit moieties,,ridge-top orientation following landform,Effigy Mound tradition,bear + bird effigy forms,700-1200 CE
