pitha_id,site_name,modern_location,country,lat,lon,body_part,devi_name,bhairava_name,element,direction,source_text,source_chapter,confidence,attestation,notes
ratnavali,Ratnavali (Anandamayee),"Hooghly, West Bengal",India,22.9,88.39,Right shoulder,Kumari,Shiva,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Near Khanakul-Krishnanagar on Ratnakar river.
bhraamari,Bhraamari,"Boda, Jalpaiguri",India,26.39,89.3,Left leg,Bhraamari,Ambar,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,On Teesta river; also called Trishrota.
manas,Manas,"Lake Manasarovar, Tibet",Tibet,30.6667,81.1333,Right hand,Dakshayani,Amar,N/A,North,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Stone at Manasarovar; part of Kailash region.
manibandh,Manibandh,"Gayatri Hills, Pushkar",India,26.4241,74.6417,Two bracelets,Gayatri,Sarvanand,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Near Ajmer; associated with Gayatri mantra.
mithila,Mithila,"Janakpur, Nepal",Nepal,26.72,85.92,Left shoulder,Uma,Mahodar,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Birthplace of Sita (Janaki).
nainativu,Nainativu (Nagapooshani),"Nainativu, Sri Lanka",Sri Lanka,9.62,79.6333,Anklets (silambu),Indrakshi (Nagapooshani),Rakshaseshwar (Nayanair),Water,South,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Nagapooshani Amman temple on island.
nalhati,Nalhati,"Nalhati, Birbhum",India,24.27,87.8215,Vocal chord,Kalika Devi,Yogesh,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Also called Nalateshwari.
guhyeshwari,Guhyeshwari,"Kathmandu, Nepal",India,27.7167,85.3486,Groin,Guhyeshwari,Kapali,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Near Pashupatinath temple.
chandranath,Chandranath,"Sitakunda, Chittagong",Bangladesh,22.5983,91.909,Right arm,Bhawani,Chandrashekhar,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Temple atop Chandranath hill.
padmavati,Padmavati,"Panna, Madhya Pradesh",India,24.6333,80.1635,Padma (lotus or navel?),Padmavati,Kapalbhairav,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Near Padmavatipuri Dham; some variant of lotus body part.
panchsagar,Panchsagar,Near Haridwar,India,29.95,78.15,Lower teeth,Varahi,Maharudra,N/A,N/A,Pitha Nirnaya,N/A,0.6,OBSERVED:TRADITIONAL,Exact location uncertain; near Haridwar.
patan,Patan Devi,"Patna, Bihar",India,25.611,85.2219,Left shoulder and cloth,Badi Patan Devi,Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Two temples (Chhoti & Badi) in Patna.
prabhas,Prabhas,"Somnath (Veraval), Gujarat",India,20.888,70.401,Stomach,Chandrabhaga,Vakratund,N/A,West,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Near Somnath Jyotirlinga.
prayag,Prayag (Alopi Devi),"Allahabad (Prayagraj), Uttar Pradesh",India,25.4358,81.8463,Finger,Alopi Devi (Madhaveswari),Bhava,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Site at Sangam; finger or hand fell here.
savitri,Savitri/Bhadra Kali,"Thanesar, Kurukshetra",India,29.9696,76.8711,Ankle bone,Savitri/Bhadra Kali,Sthanu,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Temple near Kurukshetra.
ramgiri,Ramgiri (Shivani),"Chitrakoot, Uttar Pradesh",India,25.2019,80.8945,Right breast,Shivani,Chanda,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Located at Chitrakuta.
sainthia,Sainthia (Nandikeshwari),"Sainthia, Birbhum",India,23.95,87.5664,Necklace,Nandini,Nandikeshwar,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Temple under banyan tree.
sarvashail,Sarvashail,"Rajahmundry, Andhra Pradesh",India,17.015,81.795,Cheeks,Rakini (Vishweshwari),Vatsnabh,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Near Kotilingeswar temple on Godavari bank.
shivaharkaray,Shivaharkaray,Karachi region,Pakistan,24.942,67.1244,Eyes,Mahishamardini,Krodhish,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Near Sukkur or Karachi; contested location.
shondesh,Shondesh,"Amarkantak, Madhya Pradesh",India,22.6739,81.7499,Right buttock,Narmada,Bhadrasen,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Source of Narmada river.
shri_parvat,Shri Parvat,Srisailam or Ladakh,India,15.8794,78.8656,Right anklet,Shrisundari,Sundaranand,N/A,N/A,Pitha Nirnaya,N/A,0.6,OBSERVED:TRADITIONAL,Location debated; also near Srisailam.
shri_shail,Shri Shail,"Joinpur, Sylhet",Bangladesh,24.9045,91.8687,Neck,Mahalaxmi,Sambaranand,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Shakti Peetha near Sylhet town.
shuchi,Shuchi,"Suchindrum, Tamil Nadu",India,8.154,77.4892,Upper teeth,Narayani,Sanhar,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Within Suchindram temple complex.
sugandha,Sugandha,"Shikarpur, Barisal",Bangladesh,22.8,90.222,Nose,Sugandha,Trayambak,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,On Sonda River banks.
tripura_sundari,Tripura Sundari,"Udaipur, Tripura",India,23.517,91.4821,Right leg,Tripura Sundari,Tripuresh,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,At top of hills near Udaipur town.
tripurmalini,Tripurmalini,"Jalandhar, Punjab",India,31.326,75.5762,Left breast,Tripurmalini,Bhutesh/Bhishan,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Devi Talab Mandir area.
ujani,Ujani (Mangal Chandika),"Ujani (near Guskara), West Bengal",India,23.5,87.8,Right wrist,Mangal Chandika,Kapilambar,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Also called Capalishvari.
vajreshwari,Vajreshwari,"Kangra, Himachal Pradesh",India,31.999,76.3529,Left breast,Vajreshwari,Kal Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Also called Bajreshwari Devi.
varanasi,Varanasi (Vishalakshi),"Manikarnika Ghat, Varanasi",India,25.282,83.0092,Earring (kundal),Vishalakshi & Manikarni,Kalbhairav,N/A,N/A,Pitha Nirnaya,N/A,0.85,OBSERVED:PRIMARY_TEXT,Earring of Sati fell; associated with Kashi Vishwanath.
vibhash,Vibhash (Tamluk),"Tamluk, Purba Medinipur",India,22.3,87.916,Left ankle,Kapalini (Bhimarupa),Sarvanand,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Temple near Rupnarayan river.
virat,Virat,"Bharatpur, Rajasthan",India,27.2125,77.4895,Left toes,Ambika,Amriteshwar,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Also known as Brij; location near Virat Nagar?
vrindavan,Vrindavan (Katyayani),"Vrindavan, Uttar Pradesh",India,27.5806,77.7009,Hair (ringlets),Uma (Katyayani),Bhutesh,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Within Bhuteshwar Mahadev temple.
dantakali,Dantakali,"Dharan, Nepal",India,26.8127,87.283,Teeth,Dantakali Devi,Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,"In Dharan, Sunsari district."
chandi_memari,Chandi Mandir (Memari),"Memari, West Bengal",India,23.37,88.12,Intestines (small),Maa Chandi,Shiva,N/A,N/A,Pitha Nirnaya,N/A,0.6,OBSERVED:TRADITIONAL,Near Memari railway station.
surkanda,Sirkhanda/Surkanda,"Dhanaulti, Uttarakhand",India,30.3855,78.1616,Head,Ma Surkanda,Kal Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Located near Mussoorie; also called Surkanda Devi.
tarapith,Tarapith,"Tarapith, Birbhum",India,23.76,87.4114,Third eye,Ugra Tara,Chandrachur,N/A,N/A,Kalika Purana,Chapter on Tara,0.85,OBSERVED:PRIMARY_TEXT,Famed for Tantric Tara sadhana.
