activity,nadi,element,recommendation,knowledge_status,source_text,attestation_status
eating,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
eating,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,ida,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
sleep,ida,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
sleep,ida,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
sleep,ida,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
sleep,ida,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,pingala,earth,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,pingala,water,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,pingala,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
sleep,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
sleep,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
sleep,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
sleep,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
travel,ida,earth,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,ida,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
travel,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,pingala,fire,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,pingala,air,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
travel,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
travel,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
travel,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
travel,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
travel,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
hunting,ida,earth,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,ida,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
hunting,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,pingala,fire,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,pingala,air,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
hunting,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
hunting,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
hunting,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
hunting,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
hunting,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
warfare,ida,earth,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,ida,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
warfare,ida,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
warfare,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,pingala,fire,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
warfare,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
warfare,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
warfare,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
warfare,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
warfare,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
amiable_work,ida,earth,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,ida,water,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
amiable_work,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
amiable_work,pingala,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
amiable_work,pingala,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
amiable_work,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
amiable_work,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
amiable_work,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
amiable_work,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
amiable_work,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
fixed_construction,ida,earth,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
fixed_construction,ida,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
fixed_construction,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
fixed_construction,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
fixed_construction,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
fixed_construction,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
fixed_construction,pingala,water,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
fixed_construction,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
fixed_construction,pingala,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
fixed_construction,pingala,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
fixed_construction,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
fixed_construction,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
fixed_construction,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
fixed_construction,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
fixed_construction,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
prosperity_ritual,ida,earth,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,ida,water,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
prosperity_ritual,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
prosperity_ritual,pingala,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
prosperity_ritual,pingala,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
prosperity_ritual,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
prosperity_ritual,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
prosperity_ritual,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
prosperity_ritual,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
prosperity_ritual,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
study,ida,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,ida,water,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,ida,air,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,pingala,earth,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
study,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
study,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
study,pingala,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
study,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
study,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
study,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
study,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
study,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
trade,ida,earth,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,ida,water,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,ida,air,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
trade,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
trade,pingala,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
trade,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
trade,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
trade,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
trade,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
trade,sushumna,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
healing,ida,earth,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,ida,water,strongly_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,pingala,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
healing,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
healing,pingala,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
healing,pingala,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
healing,sushumna,earth,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
healing,sushumna,water,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
healing,sushumna,fire,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
healing,sushumna,air,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
