id,name_iast,name_english,body_region,element,guna,dosha,chakra_affinity,nakshatra_affinity,tissue_type,function,therapeutic_note,measurement_anguli,attestation_status
marma:ani,Āṇī,Knee joint,leg,earth,rajas,pitta,Manipura,"Punarvasu,Vishakha,Poorva Bhadrapada",snayu,"Manages movement of knee ligaments and synovial fluid, supporting locomotion.",Stimulation reduces knee pain and improves flexibility.,1.0,attested_secondary
marma:urvi,Ūrvi,Mid‑thigh,leg,earth,rajas,pitta,Manipura,"Punarvasu,Vishakha,Poorva Bhadrapada",mamsa,"Nourishes femoral muscles and nerves, coordinating leg strength and circulation.","Massaging this point benefits the kidneys, bladder and reproductive organs.",4.0,attested_secondary
marma:lohitaksha,Lohitākṣa,Thigh‑knee line,leg,earth,rajas,pitta,Manipura,"Punarvasu,Vishakha,Poorva Bhadrapada",sira,"Regulates blood flow between thigh and knee, ensuring circulation to lower leg.",Stimulating this point improves circulation in the lower extremities.,2.0,attested_secondary
marma:kshipra,Kṣipra,Between toes,foot,earth,tamas,vata,Muladhara,"Mrigashira,Chitra,Dhanishtha",snayu,"Activates reflex pathways linking feet to brain, influencing pranic circulation.",Pressure here rapidly relieves headaches and awakens brain function.,1.0,attested_secondary
marma:talahridaya,Talahridaya,Palm centre,hand,air,rajas,vata,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",mamsa,"Coordinates hand nerves and circulation, reflecting the heart’s energy.",Pressing this point stimulates circulation and calms the heart.,0.5,attested_secondary
marma:kurcca,Kurcca,Foot arch,foot,earth,tamas,vata,Muladhara,"Mrigashira,Chitra,Dhanishtha",snayu,"Supports arches and tendons of the foot, grounding the body and stabilising gait.",Applying pressure relieves plantar pain and increases stability.,1.0,attested_secondary
marma:kurccashira,Kurccashira,Top of foot arch,foot,earth,tamas,vata,Muladhara,"Mrigashira,Chitra,Dhanishtha",snayu,"Balances the anterior ankle tendons and nerves, aiding foot flexion.",Stimulation improves ankle mobility and relieves tension in the dorsum of the foot.,1.0,attested_secondary
marma:indravasti,Indravaṣṭi,Calf centre,leg,earth,rajas,pitta,Manipura,"Punarvasu,Vishakha,Poorva Bhadrapada",mamsa,"Relates to muscles and nerves of the calf, balancing emotional disturbances and stabilising the mind.",Massaging this point calms emotional stress and supports circulation in the legs.,1.0,attested_secondary
marma:gulpha,Gulpha,Ankle joint,foot,earth,rajas,vata,Muladhara,"Mrigashira,Chitra,Dhanishtha",sandhi,"Supports weight-bearing and mobility at the ankle, connecting the leg to the foot.",Massaging this point relieves ankle stiffness and improves balance.,1.0,attested_secondary
marma:manibandha,Maṇibandha,Wrist joint,hand,air,rajas,vata,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",sandhi,"Connects forearm and hand bones, facilitating dexterity and circulation.",Gentle rotation improves flexibility and reduces wrist pain.,1.0,attested_secondary
marma:kurpara,Kurpara,Elbow joint,arm,air,rajas,vata,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",sandhi,"Serves as hinge for the arm, controlling forearm movements and nerve supply.",Applying pressure soothes elbow pain and improves range of motion.,2.0,attested_secondary
marma:kakshadhara,Kakṣādhara,Axillary fold,arm,air,rajas,pitta,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",mamsa,"Supports shoulder and axillary lymph nodes, influencing arm circulation and immune function.",Massaging this area relieves shoulder tension and stimulates lymphatic flow.,2.0,attested_secondary
marma:simanta,Simānta,Cranial sutures,head,ether,sattva,vata,Sahasrara,"Rohini,Hasta,Shravana",asthi,"Represents the five sutural joints of the skull, governing cranial nerve and cerebrospinal fluid flow.",Light touch releases cranial tension and supports brain health.,1.0,attested_secondary
