entity_id,number,name_chinese,name_pinyin,name_english,symbol,lower_trigram,upper_trigram,wilhelm_judgment,wilhelm_image,karcher_name,element_lower,element_upper,field_quality,lifecycle_phase,guna_primary,rasa_primary,vastu_lower,vastu_upper,graha_primary,graha_secondary,body_region,season,torus_theta,torus_phi,longing_quality,approaching_or_receding,king_wen_sequence_number,notes,attestation_status
hexagram_11,11,泰,tai,peace,䷊,trigram_qian,trigram_kun,Peace — the small departs the great approaches,Heaven and earth unite,Pervading,ether,earth,perfect_harmony,bloom,sattva,shanta,NW,SW,surya,chandra,head,late_autumn,1.57,0.00,approaching,approaching,11,Heaven descends earth rises — perfect interpenetration,inferred_coherent
hexagram_12,12,否,pi,standstill,䷋,trigram_kun,trigram_qian,Standstill — evil people do not further the perseverance of the superior man,Heaven and earth do not unite,Obstruction,earth,ether,stagnation_separation,dormancy,tamas,bibhatsa,SW,NW,shani,surya,belly,late_summer,1.57,3.14,receding,receding,12,Earth below heaven — heaven and earth drift apart,inferred_coherent
hexagram_13,13,同人,tong_ren,fellowship,䷌,trigram_li,trigram_qian,Fellowship with Men in the open — success,Heaven together with fire,Concording_People,fire,ether,open_communion,bloom,sattva,shringara,S,NW,surya,mangala,eye,summer,0.20,0.98,approaching,approaching,13,Fire below heaven — light ascending to heaven,inferred_coherent
hexagram_14,14,大有,da_you,great_possession,䷍,trigram_qian,trigram_li,Great Possession — supreme success,Fire in heaven above,Great_Possessing,ether,fire,abundant_radiance,bloom,sattva,adbhuta,NW,S,surya,mangala,head,summer,0.20,1.57,approaching,approaching,14,Heaven below fire — the sun at its zenith,inferred_coherent
hexagram_15,15,謙,qian_2,modesty,䷎,trigram_gen,trigram_kun,Modesty creates success — the superior man carries things through,Within the earth a mountain,Humbling,earth,earth,hidden_greatness,fruit,sattva,shanta,NE,SW,guru,chandra,hand,early_spring,1.18,0.79,orbiting,approaching,15,Mountain within earth — great kept hidden within the low,inferred_coherent
hexagram_16,16,豫,yu,enthusiasm,䷏,trigram_kun,trigram_zhen,Enthusiasm — it furthers one to install helpers and to set armies marching,Thunder comes resounding out of the earth,Providing_For,earth,fire,joyful_movement,bloom,rajas,hasya,SW,E,mangala,chandra,belly,spring,0.59,2.36,approaching,approaching,16,Earth below thunder — devotion finds its voice,inferred_coherent
hexagram_17,17,隨,sui,following,䷐,trigram_zhen,trigram_dui,Following has supreme success — perseverance furthers,Thunder in the midst of the lake,Following,fire,water,adaptive_movement,growth,rajas,shringara,E,W,shukra,mangala,foot,spring,0.59,1.18,orbiting,approaching,17,Thunder below lake — joy follows the arousing,inferred_coherent
hexagram_18,18,蠱,gu,work_on_the_decayed,䷑,trigram_xun,trigram_gen,Work on What Has Been Spoiled has supreme success,Wind blows low on the mountain,Corrupting,air,earth,repair_renewal,fruit,rajas,karuna,SE,NE,budha,guru,thigh,late_spring,0.98,1.57,threshold,approaching,18,Wind below mountain — decay at the base must be corrected,inferred_coherent
hexagram_19,19,臨,lin,approach,䷒,trigram_dui,trigram_kun,Approach has supreme success — perseverance furthers,Earth above the lake,Nearing,water,earth,growing_influence,growth,sattva,shringara,W,SW,chandra,shukra,mouth,autumn,0.98,0.39,approaching,approaching,19,Lake below earth — the great approaches gently,inferred_coherent
hexagram_20,20,觀,guan,contemplation,䷓,trigram_kun,trigram_xun,Contemplation — the ablution has been made but not yet the offering,Wind blows over the earth,Viewing,earth,air,watchful_seeing,rest,sattva,shanta,SW,SE,budha,chandra,belly,late_summer,0.59,0.79,orbiting,orbiting,20,Earth below wind — observing from the tower,inferred_coherent
hexagram_21,21,噬嗑,shi_ke,biting_through,䷔,trigram_zhen,trigram_li,Biting Through has success — it is favorable to let justice be administered,Thunder and lightning,Gnawing_Bite,fire,fire,decisive_action,bloom,rajas,raudra,E,S,mangala,surya,foot,spring,0.39,1.57,threshold,approaching,21,Thunder below fire — obstacles bitten through,inferred_coherent
hexagram_22,22,賁,bi_2,grace,䷕,trigram_li,trigram_gen,Grace has success — in small matters it is favorable to undertake something,Fire at the foot of the mountain,Adorning,fire,earth,beauty_form,bloom,sattva,shringara,S,NE,surya,guru,eye,summer,0.79,0.98,orbiting,approaching,22,Fire below mountain — grace illuminates the still,inferred_coherent
hexagram_23,23,剝,bo,splitting_apart,䷖,trigram_kun,trigram_gen,Splitting Apart — it does not further one to go anywhere,Mountain rests on the earth,Stripping,earth,earth,dissolution,dormancy,tamas,bhayanaka,SW,NE,shani,guru,belly,late_summer,1.18,2.75,receding,receding,23,Earth below mountain — the mountain crumbles from below,inferred_coherent
hexagram_24,24,復,fu,return,䷗,trigram_zhen,trigram_kun,Return — success — going out and coming in without error,Thunder within the earth,Returning,fire,earth,renewal_cycle,seed,sattva,adbhuta,E,SW,mangala,chandra,foot,spring,1.18,0.39,approaching,approaching,24,Thunder below earth — the turning point — light returns,inferred_coherent
hexagram_25,25,無妄,wu_wang,innocence,䷘,trigram_zhen,trigram_qian,Innocence — supreme success through perseverance,Under heaven thunder rolls,Without_Embroiling,fire,ether,spontaneous_truth,seed,sattva,adbhuta,E,NW,surya,mangala,foot,spring,0.20,1.18,approaching,approaching,25,Thunder below heaven — natural movement without guile,inferred_coherent
hexagram_26,26,大畜,da_xu,taming_power_of_the_great,䷙,trigram_qian,trigram_gen,The Taming Power of the Great — perseverance furthers,Heaven within the mountain,Great_Accumulating,ether,earth,great_restraint,rest,sattva,vira,NW,NE,guru,surya,head,late_autumn,0.79,0.39,orbiting,approaching,26,Heaven below mountain — great power held in stillness,inferred_coherent
hexagram_27,27,頤,yi,nourishment,䷚,trigram_zhen,trigram_gen,Nourishment — perseverance brings good fortune,Thunder at the foot of the mountain,Swallowing,fire,earth,sustenance,growth,sattva,shringara,E,NE,guru,mangala,foot,spring,0.79,1.18,orbiting,approaching,27,Thunder below mountain — nourishment through stillness and movement,inferred_coherent
hexagram_28,28,大過,da_guo,great_preponderance,䷛,trigram_xun,trigram_dui,Preponderance of the Great — the ridgepole sags to the breaking point,Lake over wind — the image of Preponderance,Great_Exceeding,air,water,extraordinary_pressure,bloom,rajas,bhayanaka,SE,W,shukra,budha,thigh,autumn,0.59,2.75,threshold,receding,28,Wind below lake — the beam bends under weight,inferred_coherent
hexagram_29,29,坎,kan_2,the_abysmal,䷜,trigram_kan,trigram_kan,The Abysmal repeated — if you are sincere you have success in your heart,Water flows on and reaches the goal,Gorge,water,water,danger_depth,dormancy,tamas,bhayanaka,N,N,shani,rahu,ear,winter,1.57,3.14,receding,receding,29,Water upon water — the abyss doubled — danger,inferred_coherent
hexagram_30,30,離,li_2,the_clinging,䷝,trigram_li,trigram_li,The Clinging — perseverance furthers — success — care of the cow brings good fortune,That which is bright rises twice,Radiance,fire,fire,clarity_illumination,bloom,rajas,adbhuta,S,S,surya,mangala,eye,summer,1.57,0.00,approaching,approaching,30,Fire upon fire — brightness doubled — clarity,inferred_coherent
hexagram_31,31,咸,xian,influence,䷞,trigram_gen,trigram_dui,Influence — success — perseverance furthers — to take a maiden to wife brings good fortune,Lake on the mountain,Conjoining,earth,water,mutual_attraction,bloom,sattva,shringara,NE,W,shukra,guru,hand,early_spring,0.98,0.59,approaching,approaching,31,Mountain below lake — attraction between stillness and joy,inferred_coherent
hexagram_32,32,恆,heng,duration,䷟,trigram_xun,trigram_zhen,Duration — success — no blame — perseverance furthers,Thunder and wind,Persevering,air,fire,enduring_constancy,growth,sattva,shanta,SE,E,mangala,budha,thigh,late_spring,0.98,1.57,orbiting,orbiting,32,Wind below thunder — enduring through movement and penetration,inferred_coherent
hexagram_33,33,遯,dun,retreat,䷠,trigram_gen,trigram_qian,Retreat — success — in what is small perseverance furthers,Mountain under heaven,Retiring,earth,ether,strategic_withdrawal,dormancy,sattva,shanta,NE,NW,guru,surya,hand,early_spring,0.39,2.36,receding,receding,33,Mountain below heaven — the great withdraws from the small,inferred_coherent
hexagram_34,34,大壯,da_zhuang,great_power,䷡,trigram_qian,trigram_zhen,The Power of the Great — perseverance furthers,Thunder in heaven above,Great_Invigorating,ether,fire,vigorous_strength,bloom,rajas,vira,NW,E,mangala,surya,head,spring,0.39,1.18,approaching,approaching,34,Heaven below thunder — the creative power breaks forth,inferred_coherent
hexagram_35,35,晉,jin,progress,䷢,trigram_kun,trigram_li,Progress — the powerful prince is honored with horses in large numbers,Fire comes up over the earth,Prospering,earth,fire,steady_advance,growth,rajas,adbhuta,SW,S,surya,chandra,belly,summer,0.59,0.39,approaching,approaching,35,Earth below fire — the sun rises over the earth,inferred_coherent
hexagram_36,36,明夷,ming_yi,darkening_of_the_light,䷣,trigram_li,trigram_kun,Darkening of the Light — in adversity it furthers one to be persevering,The light has sunk into the earth,Brightness_Hiding,fire,earth,hidden_light,dormancy,tamas,karuna,S,SW,shani,surya,eye,summer,0.59,2.75,receding,receding,36,Fire below earth — the sun sinks beneath the earth,inferred_coherent
hexagram_37,37,家人,jia_ren,the_family,䷤,trigram_li,trigram_xun,The Family — the perseverance of the woman furthers,Wind comes forth from fire,Dwelling_People,fire,air,domestic_order,growth,sattva,shringara,S,SE,budha,surya,eye,summer,0.39,0.98,orbiting,approaching,37,Fire below wind — warmth creates the family hearth,inferred_coherent
hexagram_38,38,睽,kui,opposition,䷥,trigram_dui,trigram_li,Opposition — in small matters good fortune,Fire above and the lake below,Polarizing,water,fire,creative_tension,bloom,rajas,raudra,W,S,mangala,shukra,mouth,autumn,0.79,2.36,threshold,receding,38,Lake below fire — fire and water in tension,inferred_coherent
hexagram_39,39,蹇,jian,obstruction,䷦,trigram_gen,trigram_kan,Obstruction — the southwest furthers — the northeast does not further,Water on the mountain,Limping,earth,water,difficulty_path,dormancy,tamas,karuna,NE,N,shani,guru,hand,winter,0.98,2.75,receding,receding,39,Mountain below water — dangerous water above the still,inferred_coherent
hexagram_40,40,解,xie,deliverance,䷧,trigram_kan,trigram_zhen,Deliverance — the southwest furthers,Thunder and rain arise,Taking_Apart,water,fire,release_relief,seed,rajas,hasya,N,E,mangala,shani,ear,spring,0.98,0.79,approaching,approaching,40,Water below thunder — the thunderstorm clears the air,inferred_coherent
hexagram_41,41,損,sun,decrease,䷨,trigram_dui,trigram_gen,Decrease combined with sincerity brings about supreme good fortune,Lake at the foot of the mountain,Diminishing,water,earth,sacrifice_giving,fruit,tamas,karuna,W,NE,guru,shukra,mouth,autumn,1.18,1.57,orbiting,approaching,41,Lake below mountain — the lake diminishes to nourish the mountain,inferred_coherent
hexagram_42,42,益,yi_2,increase,䷩,trigram_zhen,trigram_xun,Increase — it furthers one to undertake something,Wind and thunder — the image of Increase,Augmenting,fire,air,expansion_growth,growth,sattva,adbhuta,E,SE,budha,mangala,foot,spring,1.18,0.39,approaching,approaching,42,Thunder below wind — decrease above increases below,inferred_coherent
hexagram_43,43,夬,guai,breakthrough,䷪,trigram_qian,trigram_dui,Breakthrough — one must resolutely make the matter known at the court of the king,Lake has risen up to heaven,Displacement,ether,water,decisive_resolve,bloom,rajas,vira,NW,W,shukra,surya,head,autumn,0.39,1.96,threshold,approaching,43,Heaven below lake — the lake overflows heaven,inferred_coherent
hexagram_44,44,姤,gou,coming_to_meet,䷫,trigram_xun,trigram_qian,Coming to Meet — the maiden is powerful — one should not marry such a maiden,Under heaven wind,Coupling,air,ether,unexpected_encounter,bloom,rajas,shringara,SE,NW,surya,budha,thigh,late_spring,0.39,2.36,threshold,approaching,44,Wind below heaven — the dark force approaches,inferred_coherent
hexagram_45,45,萃,cui,gathering_together,䷬,trigram_kun,trigram_dui,Gathering Together — success — the king approaches his temple,Lake over the earth,Clustering,earth,water,congregation,growth,sattva,shringara,SW,W,shukra,chandra,belly,autumn,0.79,0.59,approaching,approaching,45,Earth below lake — water gathers on earth,inferred_coherent
hexagram_46,46,升,sheng,pushing_upward,䷭,trigram_xun,trigram_kun,Pushing Upward has supreme success,Within the earth wood grows,Ascending,air,earth,steady_rise,growth,sattva,vira,SE,SW,guru,budha,thigh,late_spring,0.79,0.98,approaching,approaching,46,Wind below earth — the seed pushes upward,inferred_coherent
hexagram_47,47,困,kun_2,oppression,䷮,trigram_kan,trigram_dui,Oppression — success — perseverance — the great man brings about good fortune,Lake with no water,Confining,water,water,exhaustion_endurance,dormancy,tamas,karuna,N,W,shani,shukra,ear,winter,1.18,2.75,receding,receding,47,Water below lake — the lake drained — exhaustion,inferred_coherent
hexagram_48,48,井,jing,the_well,䷯,trigram_xun,trigram_kan,The Well — the town may be changed but the well cannot be changed,Water over wood,Welling,air,water,inexhaustible_source,rest,sattva,shanta,SE,N,shani,budha,thigh,winter,1.18,0.79,orbiting,orbiting,48,Wind below water — wood draws water upward — the eternal well,inferred_coherent
hexagram_49,49,革,ge,revolution,䷰,trigram_li,trigram_dui,Revolution — on your own day you are believed — supreme success,Fire in the lake,Skinning,fire,water,radical_change,seed,rajas,raudra,S,W,mangala,shukra,eye,summer,0.59,1.96,threshold,approaching,49,Fire below lake — fire and water transform each other,inferred_coherent
hexagram_50,50,鼎,ding,the_caldron,䷱,trigram_xun,trigram_li,The Caldron — supreme good fortune — success,Fire over wood,Holding,air,fire,sacred_vessel,bloom,sattva,adbhuta,SE,S,surya,budha,thigh,summer,0.59,0.59,approaching,approaching,50,Wind below fire — wood feeds fire — the sacrificial vessel,inferred_coherent
hexagram_51,51,震,zhen_2,the_arousing,䷲,trigram_zhen,trigram_zhen,Shock brings success — shock comes — oh oh — laughing words — ha ha,Thunder repeated,Shake,fire,fire,shock_awakening,seed,rajas,bhayanaka,E,E,mangala,rahu,foot,spring,1.57,1.57,threshold,approaching,51,Thunder upon thunder — shock doubled — awakening,inferred_coherent
hexagram_52,52,艮,gen_2,keeping_still,䷳,trigram_gen,trigram_gen,Keeping Still — keeping his back still so that he no longer feels his body,Mountains standing close together,Bound,earth,earth,meditation_stillness,rest,tamas,shanta,NE,NE,guru,ketu,hand,early_spring,1.57,1.57,orbiting,orbiting,52,Mountain upon mountain — absolute stillness,inferred_coherent
hexagram_53,53,漸,jian_2,development,䷴,trigram_gen,trigram_xun,Development — the maiden is given in marriage — good fortune,On the mountain a tree grows,Infiltrating,earth,air,gradual_progress,growth,sattva,shringara,NE,SE,budha,guru,hand,early_spring,0.79,0.79,orbiting,approaching,53,Mountain below wind — the tree grows slowly on the mountain,inferred_coherent
hexagram_54,54,歸妹,gui_mei,the_marrying_maiden,䷵,trigram_dui,trigram_zhen,The Marrying Maiden — undertakings bring misfortune,Thunder over the lake,Converting_the_Maiden,water,fire,subordinate_position,growth,rajas,karuna,W,E,mangala,shukra,mouth,spring,0.79,2.36,threshold,receding,54,Lake below thunder — joy follows the arousing but in wrong order,inferred_coherent
hexagram_55,55,豐,feng,abundance,䷶,trigram_li,trigram_zhen,Abundance has success — the king attains abundance — be not sad be like the sun at midday,Thunder and lightning come,Abounding,fire,fire,fullness_peak,bloom,rajas,adbhuta,S,E,surya,mangala,eye,summer,0.39,0.98,approaching,approaching,55,Fire below thunder — the zenith of brightness and power,inferred_coherent
hexagram_56,56,旅,lu_2,the_wanderer,䷷,trigram_gen,trigram_li,The Wanderer — success through smallness — perseverance brings good fortune to the wanderer,Fire on the mountain,Sojourning,earth,fire,transient_seeking,growth,rajas,karuna,NE,S,surya,guru,hand,summer,0.98,1.96,orbiting,receding,56,Mountain below fire — fire on the mountain — the traveler,inferred_coherent
hexagram_57,57,巽,xun_2,the_gentle,䷸,trigram_xun,trigram_xun,The Gentle — success through what is small — it furthers one to have somewhere to go,Winds following one upon the other,Ground,air,air,subtle_penetration,growth,sattva,shringara,SE,SE,budha,rahu,thigh,late_spring,1.57,0.79,orbiting,approaching,57,Wind upon wind — gentle penetration doubled,inferred_coherent
hexagram_58,58,兌,dui_2,the_joyous,䷹,trigram_dui,trigram_dui,The Joyous — success — perseverance is favorable,Lakes resting one on the other,Open,water,water,shared_joy,bloom,sattva,hasya,W,W,shukra,chandra,mouth,autumn,1.57,0.39,approaching,approaching,58,Lake upon lake — joy shared and doubled,inferred_coherent
hexagram_59,59,渙,huan,dispersion,䷺,trigram_kan,trigram_xun,Dispersion — success — the king approaches his temple,Wind drives over water,Dispersing,water,air,dissolving_barriers,seed,sattva,shanta,N,SE,budha,shani,ear,winter,0.59,1.18,orbiting,approaching,59,Water below wind — wind scatters the water,inferred_coherent
hexagram_60,60,節,jie,limitation,䷻,trigram_dui,trigram_kan,Limitation — success — galling limitation must not be persevered in,Water over lake,Articulating,water,water,necessary_boundary,rest,sattva,shanta,W,N,shani,shukra,mouth,winter,0.98,1.18,orbiting,orbiting,60,Lake below water — water held within banks,inferred_coherent
hexagram_61,61,中孚,zhong_fu,inner_truth,䷼,trigram_dui,trigram_xun,Inner Truth — pigs and fishes — good fortune,Wind over lake,Centre_Confirming,water,air,sincere_resonance,rest,sattva,shanta,W,SE,budha,shukra,mouth,autumn,0.59,0.39,approaching,approaching,61,Lake below wind — the wind stirs the lake through inner truth,inferred_coherent
hexagram_62,62,小過,xiao_guo,small_preponderance,䷽,trigram_gen,trigram_zhen,Preponderance of the Small — success — perseverance furthers — small things but not great things,Thunder on the mountain,Small_Exceeding,earth,fire,careful_attention,growth,rajas,karuna,NE,E,mangala,guru,hand,spring,1.18,1.96,orbiting,approaching,62,Mountain below thunder — thunder on the mountain — careful in small things,inferred_coherent
hexagram_63,63,既濟,ji_ji,after_completion,䷾,trigram_li,trigram_kan,After Completion — success in small matters — perseverance furthers,Water over fire,Already_Fording,fire,water,achieved_order,fruit,sattva,shanta,S,N,shani,surya,eye,summer,1.57,0.79,orbiting,orbiting,63,Fire below water — everything in its place — but entropy begins,inferred_coherent
hexagram_64,64,未濟,wei_ji,before_completion,䷿,trigram_kan,trigram_li,Before Completion — success — but if the little fox nearly completed the crossing gets his tail in the water there is nothing that would further,Fire over water,Not_Yet_Fording,water,fire,unfinished_potential,seed,rajas,adbhuta,N,S,surya,shani,ear,winter,1.57,2.36,threshold,approaching,64,Water below fire — not yet across — everything still to be done,inferred_coherent
