id,dice_1,dice_2,dice_3,total,name,sanskrit,quality,body_region,graha,rasa,field_reading
33,3,1,1,5,Kaumārī,कौमारी,good,right_foot,Mars,kaṭu,Youthful energy. The field carries the enthusiasm of the warrior. Move with courage and speed.
34,3,1,2,6,Māheśvarī,माहेश्वरी,excellent,left_foot,Moon,madhura,Śiva's śakti moves in the field. What is destroyed makes way for what has never existed.
35,3,1,3,7,Cāmuṇḍā,चामुण्डा,mixed,right_sole,Saturn,tikta,The fierce one. The field strips illusion. Face what you have been avoiding — it holds your power.
36,3,1,4,8,Nārasiṃhī,नारसिंही,mixed,left_sole,Sun,kaṭu,Ferocious protection. The field guards the threshold. What threatens you cannot cross this line.
37,3,2,1,6,Śāntā,शान्ता,very_good,top_of_head,Moon,madhura,Peace descends. The field is still. This is not inaction — it is the calm of deep alignment.
38,3,2,2,7,Priyā,प्रिया,good,back_of_head,Venus,madhura,Beloved. The field carries the fragrance of devotion. What you love is what you become.
39,3,2,3,8,Nandā,नन्दा,good,right_temple,Jupiter,madhura,Joy. The field is in a moment of celebration. Receive it fully — do not qualify happiness.
40,3,2,4,9,Bhadrā,भद्रा,mixed,left_temple,Mercury,amla,Auspicious but complex. The field holds both blessing and challenge. Navigate carefully.
41,3,3,1,7,Jayantī,जयन्ती,excellent,right_cheek,Sun,kaṭu,The victorious one. The field is charged with triumph. What seemed impossible now yields.
42,3,3,2,8,Maṅgalā,मङ्गला,very_good,left_cheek,Mars,kaṭu,Auspiciousness on all sides. The field is fully supportive. Begin all new endeavors now.
43,3,3,3,9,Aparājitā,अपराजिता,excellent,chin,Jupiter,tikta,The unconquered. The field is invincible. No force can stop what moves with this energy.
44,3,3,4,10,Vijayā,विजया,good,neck,Venus,madhura,Victory through beauty and grace. The field rewards elegance not force. Soften to succeed.
45,3,4,1,8,Raudrī,रौद्री,mixed,upper_back,Mars,kaṭu,Fierce energy that demands outlet. The field is combustible. Direct this force or it burns you.
46,3,4,2,9,Bhīmā,भीमा,mixed,middle_back,Saturn,tikta,Tremendous force. The field bears tremendous weight. Set down what does not serve — travel light.
47,3,4,3,10,Ugratārā,उग्रतारा,mixed,lower_back,Rahu,tikta,The fierce star. The field carries an intensity that cuts. What is cut away was blocking the view.
48,3,4,4,11,Mahiṣāsuramardinī,महिषासुरमर्दिनी,good,sacrum,Mars,kaṭu,The buffalo demon is slain. The field is clear of a long obstruction. Move forward freely.
49,4,1,1,6,Śubhā,शुभा,very_good,right_side,Venus,madhura,Auspiciousness. The field is favorable. All that is undertaken with pure intention succeeds.
50,4,1,2,7,Varadā,वरदा,good,left_side,Jupiter,madhura,Boon-giving. The field is generous. Ask clearly and specifically — the answer is yes.
51,4,1,3,8,Abhayā,अभया,good,right_collarbone,Mars,kaṭu,Fearlessness. The field holds no threat. What you fear is already behind you — turn around.
52,4,1,4,9,Śaraṇā,शरणा,mixed,left_collarbone,Moon,madhura,Refuge. The field offers sanctuary. Rest before the next movement — restoration is the task.
53,4,2,1,7,Tārā,तारा,excellent,sternum,Moon,madhura,The star goddess navigates. The field is a vast ocean — you have a guide. Trust the stars.
54,4,2,2,8,Bhuvaneśvarī,भुवनेश्वरी,excellent,diaphragm,Moon,madhura,Sovereign of worlds. The field is vast and benevolent. You are held in something much larger.
55,4,2,3,9,Tripurā,त्रिपुरा,good,solar_plexus,Venus,madhura,Three cities — body speech mind aligned. The field is integrated. Act from wholeness not fragment.
56,4,2,4,10,Mātaṅgī,मातङ्गी,mixed,spleen,Rahu,amla,Outcast wisdom. The field holds what the orthodox excludes. Look where others refuse to look.
57,4,3,1,8,Bagalāmukhī,बगलामुखी,mixed,liver,Mars,kaṭu,The paralyzer. The field freezes opposition. What has been blocking you is now immobilized.
58,4,3,2,9,Dhūmāvatī,धूमावती,mixed,gallbladder,Saturn,kaṣāya,The widow smoke goddess. The field carries loss. What has ended must be honored before moving on.
59,4,3,3,10,Chinnamastā,छिन्नमस्ता,mixed,kidneys,Mars,tikta,Self-sacrifice for life. The field demands giving what you hold most precious. This is the gift.
60,4,3,4,11,Ṣoḍaśī,षोडशी,good,adrenals,Sun,madhura,The sixteen-year-old perfection. The field is at the peak of beauty. This is the moment — enter it fully.
61,4,4,1,9,Annapūrṇā,अन्नपूर्णा,excellent,intestines,Moon,madhura,Full nourishment. The field feeds all who approach. Share what you have — abundance returns.
62,4,4,2,10,Saṅkarṣaṇī,सङ्कर्षणी,good,bladder,Saturn,kaṣāya,Drawing in. The field is contracting to concentrate power. Gather — do not scatter now.
63,4,4,3,11,Vāruṇī,वारुणी,mixed,reproductive,Venus,amla,The intoxicating one. The field carries altered states. Perception is shifted — use this carefully.
64,4,4,4,12,Mahāvidyā,महाविद्या,excellent,whole_body,Jupiter,madhura,The great wisdom. All ten Mahāvidyās present simultaneously. The field is complete. You already have what you seek.
