hexagram_id,raga_id,resonance_reason,time_of_day_match,rasa_match,element_match,notes,attestation_status
hexagram_05,raga_des,shared element water + time-season alignment night/late_autumn,night,,water,waiting expressed through des,inferred_coherent
hexagram_05,raga_khamaj,shared element water + time-season alignment night/late_autumn,night,,water,waiting expressed through khamaj,inferred_coherent
hexagram_05,raga_jaunpuri,shared element water,,,water,waiting expressed through jaunpuri,inferred_coherent
hexagram_05,raga_hindol,shared element ether,,,ether,waiting expressed through hindol,inferred_coherent
hexagram_05,raga_purvi,shared rasa shanta + shared element ether + time-season alignment evening/late_autumn,evening,shanta,ether,waiting expressed through purvi,inferred_coherent
hexagram_05,raga_bairagi,shared element ether,,,ether,waiting expressed through bairagi,inferred_coherent
hexagram_05,raga_ahir_bhairav,shared element water,,,water,waiting expressed through ahir_bhairav,inferred_coherent
hexagram_05,raga_hansadhwani,shared element ether + time-season alignment evening/late_autumn,evening,,ether,waiting expressed through hansadhwani,inferred_coherent
hexagram_05,raga_charukeshi,shared element water + time-season alignment night/late_autumn,night,,water,waiting expressed through charukeshi,inferred_coherent
hexagram_05,raga_kirwani,shared element water + time-season alignment night/late_autumn,night,,water,waiting expressed through kirwani,inferred_coherent
hexagram_05,raga_chandrakauns,shared rasa shanta + shared element water + time-season alignment night/late_autumn,night,shanta,water,waiting expressed through chandrakauns,inferred_coherent
hexagram_05,raga_shankara,shared element ether + time-season alignment night/late_autumn,night,,ether,waiting expressed through shankara,inferred_coherent
hexagram_06,raga_bhairavi,shared element water + direct season match winter,,,water,conflict expressed through bhairavi,inferred_coherent
hexagram_06,raga_todi,shared element water,,,water,conflict expressed through todi,inferred_coherent
hexagram_06,raga_yaman,shared element ether,,,ether,conflict expressed through yaman,inferred_coherent
hexagram_06,raga_darbari,time-season alignment night/winter + direct season match winter,night,,,conflict expressed through darbari,inferred_coherent
hexagram_06,raga_malkauns,time-season alignment night/winter + direct season match winter,night,,,conflict expressed through malkauns,inferred_coherent
hexagram_06,raga_bageshri,shared element water + time-season alignment night/winter,night,,water,conflict expressed through bageshri,inferred_coherent
hexagram_06,raga_puriya,shared element ether,,,ether,conflict expressed through puriya,inferred_coherent
hexagram_06,raga_lalit,shared element ether,,,ether,conflict expressed through lalit,inferred_coherent
hexagram_06,raga_miyan_ki_malhar,shared element water,,,water,conflict expressed through miyan_ki_malhar,inferred_coherent
hexagram_06,raga_des,shared element water + time-season alignment night/winter,night,,water,conflict expressed through des,inferred_coherent
hexagram_06,raga_khamaj,shared element water + time-season alignment night/winter,night,,water,conflict expressed through khamaj,inferred_coherent
hexagram_06,raga_jaunpuri,shared element water + direct season match winter,,,water,conflict expressed through jaunpuri,inferred_coherent
hexagram_06,raga_hindol,shared element ether,,,ether,conflict expressed through hindol,inferred_coherent
hexagram_06,raga_purvi,shared element ether,,,ether,conflict expressed through purvi,inferred_coherent
hexagram_06,raga_bairagi,shared element ether,,,ether,conflict expressed through bairagi,inferred_coherent
hexagram_06,raga_ahir_bhairav,shared element water,,,water,conflict expressed through ahir_bhairav,inferred_coherent
hexagram_06,raga_hansadhwani,shared element ether,,,ether,conflict expressed through hansadhwani,inferred_coherent
hexagram_06,raga_charukeshi,shared element water + time-season alignment night/winter + direct season match winter,night,,water,conflict expressed through charukeshi,inferred_coherent
hexagram_06,raga_kirwani,shared element water + time-season alignment night/winter + direct season match winter,night,,water,conflict expressed through kirwani,inferred_coherent
hexagram_06,raga_chandrakauns,shared element water + time-season alignment night/winter + direct season match winter,night,,water,conflict expressed through chandrakauns,inferred_coherent
hexagram_06,raga_shankara,shared element ether + time-season alignment night/winter + direct season match winter,night,,ether,conflict expressed through shankara,inferred_coherent
hexagram_07,raga_bhairava,shared rasa vira,,vira,,the army expressed through bhairava,inferred_coherent
hexagram_07,raga_bhairavi,shared element water,,,water,the army expressed through bhairavi,inferred_coherent
hexagram_07,raga_todi,shared element water,,,water,the army expressed through todi,inferred_coherent
hexagram_07,raga_marwa,shared rasa vira,,vira,,the army expressed through marwa,inferred_coherent
hexagram_07,raga_darbari,shared element earth,,,earth,the army expressed through darbari,inferred_coherent
hexagram_07,raga_malkauns,shared element earth,,,earth,the army expressed through malkauns,inferred_coherent
hexagram_07,raga_bageshri,shared element water,,,water,the army expressed through bageshri,inferred_coherent
hexagram_07,raga_miyan_ki_malhar,shared rasa vira + shared element water + time-season alignment monsoon/late_summer,monsoon,vira,water,the army expressed through miyan_ki_malhar,inferred_coherent
hexagram_07,raga_kedar,shared element earth,,,earth,the army expressed through kedar,inferred_coherent
hexagram_07,raga_des,shared element water,,,water,the army expressed through des,inferred_coherent
hexagram_07,raga_khamaj,shared element water,,,water,the army expressed through khamaj,inferred_coherent
hexagram_07,raga_jaunpuri,shared element water,,,water,the army expressed through jaunpuri,inferred_coherent
hexagram_07,raga_durga,shared rasa vira,,vira,,the army expressed through durga,inferred_coherent
hexagram_07,raga_ahir_bhairav,shared element water,,,water,the army expressed through ahir_bhairav,inferred_coherent
hexagram_07,raga_charukeshi,shared element water,,,water,the army expressed through charukeshi,inferred_coherent
hexagram_07,raga_kirwani,shared element water,,,water,the army expressed through kirwani,inferred_coherent
hexagram_07,raga_chandrakauns,shared element water,,,water,the army expressed through chandrakauns,inferred_coherent
hexagram_07,raga_sarang,shared rasa vira,,vira,,the army expressed through sarang,inferred_coherent
hexagram_08,raga_bhairavi,shared element water + direct season match winter,,,water,holding together expressed through bhairavi,inferred_coherent
hexagram_08,raga_todi,shared element water,,,water,holding together expressed through todi,inferred_coherent
hexagram_08,raga_yaman,shared rasa shringara,,shringara,,holding together expressed through yaman,inferred_coherent
hexagram_08,raga_bhimpalasi,shared rasa shringara,,shringara,,holding together expressed through bhimpalasi,inferred_coherent
hexagram_08,raga_darbari,shared element earth + time-season alignment night/winter + direct season match winter,night,,earth,holding together expressed through darbari,inferred_coherent
hexagram_08,raga_malkauns,shared element earth + time-season alignment night/winter + direct season match winter,night,,earth,holding together expressed through malkauns,inferred_coherent
hexagram_08,raga_bageshri,shared rasa shringara + shared element water + time-season alignment night/winter,night,shringara,water,holding together expressed through bageshri,inferred_coherent
hexagram_08,raga_lalit,shared rasa shringara,,shringara,,holding together expressed through lalit,inferred_coherent
hexagram_08,raga_miyan_ki_malhar,shared element water,,,water,holding together expressed through miyan_ki_malhar,inferred_coherent
hexagram_08,raga_kedar,shared rasa shringara + shared element earth + time-season alignment night/winter,night,shringara,earth,holding together expressed through kedar,inferred_coherent
hexagram_08,raga_bihag,shared rasa shringara + time-season alignment night/winter,night,shringara,,holding together expressed through bihag,inferred_coherent
hexagram_08,raga_des,shared rasa shringara + shared element water + time-season alignment night/winter,night,shringara,water,holding together expressed through des,inferred_coherent
hexagram_08,raga_khamaj,shared rasa shringara + shared element water + time-season alignment night/winter,night,shringara,water,holding together expressed through khamaj,inferred_coherent
hexagram_08,raga_jaunpuri,shared element water + direct season match winter,,,water,holding together expressed through jaunpuri,inferred_coherent
hexagram_08,raga_hindol,shared rasa shringara,,shringara,,holding together expressed through hindol,inferred_coherent
hexagram_08,raga_shree,shared rasa shringara,,shringara,,holding together expressed through shree,inferred_coherent
hexagram_08,raga_ahir_bhairav,shared rasa shringara + shared element water,,shringara,water,holding together expressed through ahir_bhairav,inferred_coherent
hexagram_08,raga_tilak_kamod,shared rasa shringara + time-season alignment night/winter,night,shringara,,holding together expressed through tilak_kamod,inferred_coherent
hexagram_08,raga_rageshri,shared rasa shringara + time-season alignment night/winter,night,shringara,,holding together expressed through rageshri,inferred_coherent
hexagram_08,raga_charukeshi,shared element water + time-season alignment night/winter + direct season match winter,night,,water,holding together expressed through charukeshi,inferred_coherent
hexagram_08,raga_kirwani,shared element water + time-season alignment night/winter + direct season match winter,night,,water,holding together expressed through kirwani,inferred_coherent
hexagram_08,raga_chandrakauns,shared element water + time-season alignment night/winter + direct season match winter,night,,water,holding together expressed through chandrakauns,inferred_coherent
hexagram_08,raga_shankara,time-season alignment night/winter + direct season match winter,night,,,holding together expressed through shankara,inferred_coherent
hexagram_09,raga_yaman,shared rasa shringara + shared element ether,,shringara,ether,taming power of the small expressed through yaman,inferred_coherent
hexagram_09,raga_bhimpalasi,shared rasa shringara + shared element air,,shringara,air,taming power of the small expressed through bhimpalasi,inferred_coherent
hexagram_09,raga_bageshri,shared rasa shringara,,shringara,,taming power of the small expressed through bageshri,inferred_coherent
hexagram_09,raga_puriya,shared element ether,,,ether,taming power of the small expressed through puriya,inferred_coherent
hexagram_09,raga_lalit,shared rasa shringara + shared element ether,,shringara,ether,taming power of the small expressed through lalit,inferred_coherent
hexagram_09,raga_kedar,shared rasa shringara,,shringara,,taming power of the small expressed through kedar,inferred_coherent
hexagram_09,raga_bihag,shared rasa shringara + shared element air,,shringara,air,taming power of the small expressed through bihag,inferred_coherent
hexagram_09,raga_des,shared rasa shringara,,shringara,,taming power of the small expressed through des,inferred_coherent
hexagram_09,raga_khamaj,shared rasa shringara,,shringara,,taming power of the small expressed through khamaj,inferred_coherent
hexagram_09,raga_hindol,shared rasa shringara + shared element ether,,shringara,ether,taming power of the small expressed through hindol,inferred_coherent
hexagram_09,raga_shree,shared rasa shringara,,shringara,,taming power of the small expressed through shree,inferred_coherent
hexagram_09,raga_purvi,shared element ether,,,ether,taming power of the small expressed through purvi,inferred_coherent
hexagram_09,raga_multani,shared element air,,,air,taming power of the small expressed through multani,inferred_coherent
hexagram_09,raga_bairagi,shared element ether,,,ether,taming power of the small expressed through bairagi,inferred_coherent
hexagram_09,raga_ahir_bhairav,shared rasa shringara,,shringara,,taming power of the small expressed through ahir_bhairav,inferred_coherent
hexagram_09,raga_tilak_kamod,shared rasa shringara + shared element air,,shringara,air,taming power of the small expressed through tilak_kamod,inferred_coherent
hexagram_09,raga_rageshri,shared rasa shringara + shared element air,,shringara,air,taming power of the small expressed through rageshri,inferred_coherent
hexagram_09,raga_hansadhwani,shared element ether,,,ether,taming power of the small expressed through hansadhwani,inferred_coherent
hexagram_09,raga_shankara,shared element ether,,,ether,taming power of the small expressed through shankara,inferred_coherent
hexagram_10,raga_bhairavi,shared element water,,,water,treading expressed through bhairavi,inferred_coherent
hexagram_10,raga_todi,shared element water,,,water,treading expressed through todi,inferred_coherent
hexagram_10,raga_yaman,shared element ether + time-season alignment evening/autumn + direct season match autumn,evening,,ether,treading expressed through yaman,inferred_coherent
hexagram_10,raga_marwa,time-season alignment evening/autumn + direct season match autumn,evening,,,treading expressed through marwa,inferred_coherent
hexagram_10,raga_bageshri,shared element water + time-season alignment night/autumn + direct season match autumn,night,,water,treading expressed through bageshri,inferred_coherent
hexagram_10,raga_puriya,shared element ether + time-season alignment evening/autumn + direct season match autumn,evening,,ether,treading expressed through puriya,inferred_coherent
hexagram_10,raga_lalit,shared element ether,,,ether,treading expressed through lalit,inferred_coherent
hexagram_10,raga_miyan_ki_malhar,shared element water,,,water,treading expressed through miyan_ki_malhar,inferred_coherent
hexagram_10,raga_kedar,time-season alignment night/autumn + direct season match autumn,night,,,treading expressed through kedar,inferred_coherent
hexagram_10,raga_bihag,time-season alignment night/autumn + direct season match autumn,night,,,treading expressed through bihag,inferred_coherent
hexagram_10,raga_des,shared element water + time-season alignment night/autumn,night,,water,treading expressed through des,inferred_coherent
hexagram_10,raga_khamaj,shared element water + time-season alignment night/autumn,night,,water,treading expressed through khamaj,inferred_coherent
hexagram_10,raga_jaunpuri,shared element water,,,water,treading expressed through jaunpuri,inferred_coherent
hexagram_10,raga_durga,time-season alignment night/autumn + direct season match autumn,night,,,treading expressed through durga,inferred_coherent
hexagram_10,raga_hindol,shared element ether,,,ether,treading expressed through hindol,inferred_coherent
hexagram_10,raga_shree,time-season alignment evening/autumn + direct season match autumn,evening,,,treading expressed through shree,inferred_coherent
hexagram_10,raga_purvi,shared element ether + time-season alignment evening/autumn + direct season match autumn,evening,,ether,treading expressed through purvi,inferred_coherent
hexagram_10,raga_bairagi,shared element ether,,,ether,treading expressed through bairagi,inferred_coherent
hexagram_10,raga_ahir_bhairav,shared element water,,,water,treading expressed through ahir_bhairav,inferred_coherent
hexagram_10,raga_tilak_kamod,time-season alignment night/autumn + direct season match autumn,night,,,treading expressed through tilak_kamod,inferred_coherent
hexagram_10,raga_rageshri,time-season alignment night/autumn + direct season match autumn,night,,,treading expressed through rageshri,inferred_coherent
hexagram_10,raga_hansadhwani,shared element ether + time-season alignment evening/autumn + direct season match autumn,evening,,ether,treading expressed through hansadhwani,inferred_coherent
hexagram_10,raga_charukeshi,shared element water + time-season alignment night/autumn,night,,water,treading expressed through charukeshi,inferred_coherent
hexagram_10,raga_kirwani,shared element water + time-season alignment night/autumn,night,,water,treading expressed through kirwani,inferred_coherent
hexagram_10,raga_chandrakauns,shared element water + time-season alignment night/autumn,night,,water,treading expressed through chandrakauns,inferred_coherent
hexagram_10,raga_shankara,shared element ether + time-season alignment night/autumn,night,,ether,treading expressed through shankara,inferred_coherent
hexagram_11,raga_yaman,shared element ether + time-season alignment evening/late_autumn,evening,,ether,peace expressed through yaman,inferred_coherent
hexagram_11,raga_darbari,shared element earth + time-season alignment night/late_autumn,night,,earth,peace expressed through darbari,inferred_coherent
hexagram_11,raga_malkauns,shared rasa shanta + shared element earth + time-season alignment night/late_autumn,night,shanta,earth,peace expressed through malkauns,inferred_coherent
hexagram_11,raga_puriya,shared element ether + time-season alignment evening/late_autumn,evening,,ether,peace expressed through puriya,inferred_coherent
hexagram_11,raga_lalit,shared element ether,,,ether,peace expressed through lalit,inferred_coherent
hexagram_11,raga_kedar,shared element earth + time-season alignment night/late_autumn,night,,earth,peace expressed through kedar,inferred_coherent
hexagram_11,raga_hindol,shared element ether,,,ether,peace expressed through hindol,inferred_coherent
hexagram_11,raga_purvi,shared rasa shanta + shared element ether + time-season alignment evening/late_autumn,evening,shanta,ether,peace expressed through purvi,inferred_coherent
hexagram_11,raga_bairagi,shared element ether,,,ether,peace expressed through bairagi,inferred_coherent
hexagram_11,raga_hansadhwani,shared element ether + time-season alignment evening/late_autumn,evening,,ether,peace expressed through hansadhwani,inferred_coherent
hexagram_11,raga_chandrakauns,shared rasa shanta + time-season alignment night/late_autumn,night,shanta,,peace expressed through chandrakauns,inferred_coherent
hexagram_11,raga_shankara,shared element ether + time-season alignment night/late_autumn,night,,ether,peace expressed through shankara,inferred_coherent
hexagram_12,raga_yaman,shared element ether,,,ether,standstill expressed through yaman,inferred_coherent
hexagram_12,raga_darbari,shared element earth,,,earth,standstill expressed through darbari,inferred_coherent
hexagram_12,raga_malkauns,shared element earth,,,earth,standstill expressed through malkauns,inferred_coherent
hexagram_12,raga_puriya,shared element ether,,,ether,standstill expressed through puriya,inferred_coherent
hexagram_12,raga_lalit,shared element ether,,,ether,standstill expressed through lalit,inferred_coherent
hexagram_12,raga_kedar,shared element earth,,,earth,standstill expressed through kedar,inferred_coherent
hexagram_12,raga_hindol,shared element ether,,,ether,standstill expressed through hindol,inferred_coherent
hexagram_12,raga_purvi,shared element ether,,,ether,standstill expressed through purvi,inferred_coherent
hexagram_12,raga_bairagi,shared element ether,,,ether,standstill expressed through bairagi,inferred_coherent
hexagram_12,raga_hansadhwani,shared element ether,,,ether,standstill expressed through hansadhwani,inferred_coherent
hexagram_12,raga_shankara,shared element ether,,,ether,standstill expressed through shankara,inferred_coherent
hexagram_13,raga_bhairava,shared element fire,,,fire,fellowship expressed through bhairava,inferred_coherent
hexagram_13,raga_yaman,shared rasa shringara + shared element ether,,shringara,ether,fellowship expressed through yaman,inferred_coherent
hexagram_13,raga_bhimpalasi,shared rasa shringara + time-season alignment afternoon/summer + direct season match summer,afternoon,shringara,,fellowship expressed through bhimpalasi,inferred_coherent
hexagram_13,raga_marwa,shared element fire,,,fire,fellowship expressed through marwa,inferred_coherent
hexagram_13,raga_bageshri,shared rasa shringara,,shringara,,fellowship expressed through bageshri,inferred_coherent
hexagram_13,raga_puriya,shared element ether,,,ether,fellowship expressed through puriya,inferred_coherent
hexagram_13,raga_lalit,shared rasa shringara + shared element ether,,shringara,ether,fellowship expressed through lalit,inferred_coherent
hexagram_13,raga_miyan_ki_malhar,time-season alignment monsoon/summer + direct season match summer,monsoon,,,fellowship expressed through miyan_ki_malhar,inferred_coherent
hexagram_13,raga_kedar,shared rasa shringara,,shringara,,fellowship expressed through kedar,inferred_coherent
hexagram_13,raga_bihag,shared rasa shringara,,shringara,,fellowship expressed through bihag,inferred_coherent
hexagram_13,raga_des,shared rasa shringara,,shringara,,fellowship expressed through des,inferred_coherent
hexagram_13,raga_khamaj,shared rasa shringara + direct season match summer,,shringara,,fellowship expressed through khamaj,inferred_coherent
hexagram_13,raga_durga,shared element fire,,,fire,fellowship expressed through durga,inferred_coherent
hexagram_13,raga_hindol,shared rasa shringara + shared element ether,,shringara,ether,fellowship expressed through hindol,inferred_coherent
hexagram_13,raga_shree,shared rasa shringara + shared element fire,,shringara,fire,fellowship expressed through shree,inferred_coherent
hexagram_13,raga_purvi,shared element ether,,,ether,fellowship expressed through purvi,inferred_coherent
hexagram_13,raga_multani,time-season alignment afternoon/summer + direct season match summer,afternoon,,,fellowship expressed through multani,inferred_coherent
hexagram_13,raga_bairagi,shared element ether,,,ether,fellowship expressed through bairagi,inferred_coherent
hexagram_13,raga_ahir_bhairav,shared rasa shringara,,shringara,,fellowship expressed through ahir_bhairav,inferred_coherent
hexagram_13,raga_tilak_kamod,shared rasa shringara,,shringara,,fellowship expressed through tilak_kamod,inferred_coherent
hexagram_13,raga_rageshri,shared rasa shringara,,shringara,,fellowship expressed through rageshri,inferred_coherent
hexagram_13,raga_hansadhwani,shared element ether,,,ether,fellowship expressed through hansadhwani,inferred_coherent
hexagram_13,raga_shankara,shared element ether,,,ether,fellowship expressed through shankara,inferred_coherent
hexagram_13,raga_sarang,shared element fire + time-season alignment midday/summer + direct season match summer,midday,,fire,fellowship expressed through sarang,inferred_coherent
hexagram_14,raga_bhairava,shared element fire,,,fire,great possession expressed through bhairava,inferred_coherent
hexagram_14,raga_yaman,shared element ether,,,ether,great possession expressed through yaman,inferred_coherent
hexagram_14,raga_bhimpalasi,time-season alignment afternoon/summer + direct season match summer,afternoon,,,great possession expressed through bhimpalasi,inferred_coherent
hexagram_14,raga_marwa,shared element fire,,,fire,great possession expressed through marwa,inferred_coherent
hexagram_14,raga_puriya,shared element ether,,,ether,great possession expressed through puriya,inferred_coherent
hexagram_14,raga_lalit,shared element ether,,,ether,great possession expressed through lalit,inferred_coherent
hexagram_14,raga_miyan_ki_malhar,time-season alignment monsoon/summer + direct season match summer,monsoon,,,great possession expressed through miyan_ki_malhar,inferred_coherent
hexagram_14,raga_durga,shared element fire,,,fire,great possession expressed through durga,inferred_coherent
hexagram_14,raga_hindol,shared element ether,,,ether,great possession expressed through hindol,inferred_coherent
hexagram_14,raga_shree,shared element fire,,,fire,great possession expressed through shree,inferred_coherent
hexagram_14,raga_purvi,shared element ether,,,ether,great possession expressed through purvi,inferred_coherent
hexagram_14,raga_multani,time-season alignment afternoon/summer + direct season match summer,afternoon,,,great possession expressed through multani,inferred_coherent
hexagram_14,raga_bairagi,shared element ether,,,ether,great possession expressed through bairagi,inferred_coherent
hexagram_14,raga_hansadhwani,shared rasa adbhuta + shared element ether,,adbhuta,ether,great possession expressed through hansadhwani,inferred_coherent
hexagram_14,raga_shankara,shared rasa adbhuta + shared element ether,,adbhuta,ether,great possession expressed through shankara,inferred_coherent
hexagram_14,raga_sarang,shared element fire + time-season alignment midday/summer + direct season match summer,midday,,fire,great possession expressed through sarang,inferred_coherent
hexagram_15,raga_darbari,shared element earth,,,earth,modesty expressed through darbari,inferred_coherent
hexagram_15,raga_malkauns,shared rasa shanta + shared element earth,,shanta,earth,modesty expressed through malkauns,inferred_coherent
hexagram_15,raga_kedar,shared element earth,,,earth,modesty expressed through kedar,inferred_coherent
hexagram_15,raga_purvi,shared rasa shanta,,shanta,,modesty expressed through purvi,inferred_coherent
hexagram_15,raga_chandrakauns,shared rasa shanta,,shanta,,modesty expressed through chandrakauns,inferred_coherent
hexagram_16,raga_bhairava,shared element fire + time-season alignment morning/spring + direct season match spring,morning,,fire,enthusiasm expressed through bhairava,inferred_coherent
hexagram_16,raga_marwa,shared element fire,,,fire,enthusiasm expressed through marwa,inferred_coherent
hexagram_16,raga_darbari,shared element earth,,,earth,enthusiasm expressed through darbari,inferred_coherent
hexagram_16,raga_malkauns,shared element earth,,,earth,enthusiasm expressed through malkauns,inferred_coherent
hexagram_16,raga_lalit,time-season alignment dawn/spring + direct season match spring,dawn,,,enthusiasm expressed through lalit,inferred_coherent
hexagram_16,raga_kedar,shared element earth,,,earth,enthusiasm expressed through kedar,inferred_coherent
hexagram_16,raga_durga,shared element fire,,,fire,enthusiasm expressed through durga,inferred_coherent
hexagram_16,raga_hindol,time-season alignment morning/spring + direct season match spring,morning,,,enthusiasm expressed through hindol,inferred_coherent
hexagram_16,raga_shree,shared element fire,,,fire,enthusiasm expressed through shree,inferred_coherent
